,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,,
1,Soil moisture: 1. water table,1.02,high,,,
2,Waterlogging tolerance,1.021,3.337,�0.22,,
3,Soil moisture: 2. drainage,1.03,free draining,,,
4,Soil pH: 2. extreme minimum,1.07,2,,,
5,Soil pH: 3. typical maximum,1.08,7,,,
6,Soil pH: 4. typical minimum,1.09,4.5,,,
7,Shade tolerance,1.101,3.6,�0.31,,
8,First historical record: 1. date,2.04,1959,,1725 cultivation,
9,Stems: 1. woodiness,3.01,woody,,,
10,Stems: 2. support,3.02,self supporting,,,
11,Height: 1. extreme maximum (cm),3.03,3000,,,
12,Leaf shape: 1. type,3.09,simple,,,
13,Leaf shape: 2. outline,3.1,lobed,doubly serrate,,
14,Leaf shape: 3. pointed/round,3.11,pointed,,,
15,Leaf shape: 4. length versus breadth,3.12,length > breadth,,,
16,Leaf shape: 5. leaf base,3.13,truncate,cordate,,
17,Leaf shape: 6. petiole,3.14,petiolate,,,
18,Leaf shape: 7. minimum petiole length (mm),3.15,80,,,
19,Leaf shape: 8. maximum petiole length (mm),3.16,130,,,
20,Stomata: 2. density on lower surface(no/mm2),3.2,418.8,,,
21,Leaf longevity: 1. type,3.22,aestival,,,
22,Root system,3.24,fibrous,,,
23,Root depth: 1. type,3.25,shallow,,,
24,Root depth: 2. depth (cm),3.26,140,,,
25,Seedling growth rate - maximum (/d),4.01,25.2,,,
26,Drought Tolerance,4.081,2.88,�0.12,,
27,Longevity of stems (yrs),5.02,100-500,125,,
28,Age at first flowering,5.03,20,,,
29,Fertilization,5.19,cross and self,,,
30,Chromosome number(s): 1. number,5.25,52,,,
31,Appendages on dispersal unit,5.27,wings,,,
32,Time of seed dispersal (season),5.28,winter,,,
33,Seed size - length of longest axis (mm),5.31,42.5�7.5,,,
34,Seed weight: 3. mean (mg),5.34,201,,,
35,Seed weight: 3. mean (mg),5.34,254.8,,,
36,Seed weight: 3. mean (mg),5.34,75.9,,,
37,Seed production: 1. maximum (/flower),5.35,2,,,
38,Seed production: 2. typical range (/flower),5.36,1-10,,,
39,Dispersal agent,5.38,water,,,
40,Dispersal agent,5.38,wind,,,
41,Normal method of propagation,5.52,seed,,,
42,Flower colour,5.58,green,,,
43,Petal no,5.59,0,,,
44,Petal (sepal) size (cm),5.6,0.4,,,
45,Stigma number,5.61,2,,,
46,Stamen number,5.62,8,,,
47,Sepal number,5.63,5,,,
48,Carpel/Style number,5.64,2,,,
49,Inflorescence type,5.65,panicle,,"terminal, large",
50,Physical defences on leaves,6.02,glabrous,,some hairs on veins (lower surface),
51,Physical defences on stems,6.03,glabrous,,,
52,Physical defences on flowers/fruits,6.04,glabrous,,,
53,Physical defences on buds,6.05,glabrous,,,
