,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil moisture: 2. drainage,1.03,free-draining,-,-,
2,Salinity,1.05,salt-affected,-,-,
3,Shade,1.1,light,-,-,
4,Exposure,1.11,exposed,-,-,
5,Altitude: 2. minimum recorded (m),1.13,0,-,-,
6,Status,2.01,native,-,-,
7,Typical abundance where naturally occurring,2.02,scattered,-,-,
8,Stems: 1. woodiness,3.01,non-woody,-,-,
9,Stems: 2. support,3.02,creeping,-,-,
10,Height: 1. extreme maximum (cm),3.03,30,-,-,
11,Height: 1. extreme maximum (cm),3.03,45,,,
12,Height: 2. extreme minimum (cm),3.04,6,-,-,
13,Spread,3.07,height = width,-,-,
14,Heterophylly,3.08,none,-,-,
15,Leaf shape: 1. type,3.09,compound,-,-,
16,Leaf shape: 2. outline,3.1,lobed,-,-,
17,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
18,Leaf shape: 6. petiole,3.14,petiolate,-,-,
19,Leaf shape: 7. minimum petiole length (mm),3.15,3,-,-,
20,Leaf shape: 8. maximum petiole length (mm),3.16,15,-,-,
21,Leaf longevity: 1. type,3.22,aestival,-,-,
22,Leaf longevity: 2. number of months,3.23,6-12,-,-,
23,Root system,3.24,adventitious,-,-,
24,Carnivory,4.06,does not kill insects,-,-,
25,Nutrition,4.07,autotrophic,-,-,
26,Life-form,5.01,hemicryptophyte,-,-,
27,Mono/poly-carpic,5.04,polycarpic,-,-,
28,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
29,Physical defences on leaves,6.02,glabrous,-,-,
30,Physical defences on stems,6.03,glabrous,-,-,
31,Rarity Status,7.02,Scarce,,,
32,Change Index,7.03,0.54,,,
33,Biome,7.04,Mediterranean-Atlantic,,,
34,Eastern Limit,7.05,Oceanic,,,
35,Continentality,7.06,Not continental,,,
36,Northern Limit in Britain,7.07,Yes,,,
37,"Northern European Limit (Lat,5C band)",7.08,50-55,,,
38,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
39,Southern European Limit,7.1,No,,,
40,January mean temperature,7.11,5.2,,,
41,July mean temperature,7.12,15,,,
42,Annual precipitation,7.13,1101,,,
43,Ellenberg Indicator: Light,7.14,4,,,
44,Ellenberg : Moisture,7.15,7,,,
45,Ellenberg: pH,7.16,8,,,
46,Ellenberg Indicator: Nitrogen,7.17,3,,,
47,Ellenberg Indicator: Salt,7.18,0,,,
48,Life Form: normal state,7.19,Hemicryptophyte,,,
49,Clonality: normal state,7.21,Little or no vegetative spread,,,
