,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Soil moisture: 2. drainage,1.03,free-draining,-,-,
3,Salinity,1.05,fresh,-,-,
4,Shade,1.1,none,-,-,
5,Exposure,1.11,indifferent,-,-,
6,Altitude: 1. maximum recorded (m),1.12,600,-,-,
7,Altitude: 2. minimum recorded (m),1.13,0,-,-,
8,Altitude: 4. typical minimum (m),1.14,0,-,-,
9,Status,2.01,naturalised,-,-,
10,Dynamics,2.03,declining,-,-,
11,Dynamics,2.03,declining,-,-,
12,First historical record: 1. date,2.04,1538,-,-,
13,Range: 3. continents where native,2.11,Europe,-,-,
14,Range: 4. continents where introduced,2.12,Africa,-,-,
15,Range: 4. continents where introduced,2.12,Australasia,-,-,
16,Range: 4. continents where introduced,2.12,North America,-,-,
17,Range: 4. continents where introduced,2.12,South America,-,-,
18,SN Index,2.13,1.9,-,-,
19,EW Index,2.14,3.99,-,-,
20,number of European countries in which native,2.17,30,-,-,
21,Stems: 1. woodiness,3.01,non-woody,-,-,
22,Stems: 2. support,3.02,self-supporting,-,-,
23,Height: 1. extreme maximum (cm),3.03,150,-,-,
24,Height: 2. extreme minimum (cm),3.04,5,-,-,
25,Height: 3. typical maximum (cm),3.05,100,-,-,
26,Height: 4. typical minimum (cm),3.06,30,-,-,
27,Spread,3.07,height > width,-,-,
28,Heterophylly,3.08,none,-,-,
29,Leaf shape: 1. type,3.09,simple,-,-,
30,Leaf shape: 2. outline,3.1,entire,-,-,
31,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
32,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
33,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
34,Leaf shape: 6. petiole,3.14,petiolate,-,-,
35,Leaf shape: 6. petiole,3.14,subsessile,-,-,
36,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
37,Leaf area (cm2),3.17,1-10,-,-,
38,Stomata: 1. surfaces present,3.19,both,-,-,
39,Stomata: 1. surfaces present,3.19,stem,30-50/mm2,-,
40,Stomata: 2. density on lower surface(no/mm2),3.2,40,30-50/mm2,-,
41,Stomata: 3. density on upper surface (no/mm2),3.21,40,30-50/mm2,-,
42,Leaf longevity: 1. type,3.22,aestival,-,-,
43,Leaf longevity: 1. type,3.22,hibernal,-,-,
44,Root system,3.24,tap root,-,-,
45,Fine root diameter (um),3.27,200-300,mean 0.28mm,-,
46,Root hairs,3.28,present,-,-,
47,Root hair length (mm),3.29,1.0-5.0,mean 4.9 mm,-,
48,Photosynthetic pathway,4.02,C3,-,-,
49,Heavy metal resistance,4.05,none,-,-,
50,Carnivory,4.06,does not kill insects,-,-,
51,Nutrition,4.07,autotrophic,-,-,
52,Response to drought,4.08,wilts and recovers,-,-,
53,Response to frost (non-woody tissue),4.09,resistant,-,-,
54,Response to frost (seedlings),4.1,resistant,-,-,
