,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Soil pH: 1. extreme maximum,1.06,6.2,-,-,
2,Soil pH: 2. extreme minimum,1.07,4.1,-,-,
3,Shade,1.1,none,-,-,
4,Altitude: 1. maximum recorded (m),1.12,609,-,-,
5,Status,2.01,native,-,-,
6,First historical record: 1. date,2.04,1778,-,-,
7,First historical record: 2. site,2.05,Exeter,-,-,
8,Range: 3. continents where native,2.11,Africa,-,-,
9,Range: 3. continents where native,2.11,Europe,-,-,
10,SN Index,2.13,.26,-,-,
11,EW Index,2.14,9.26,-,-,
12,number of European countries in which native,2.17,4,-,-,
13,Stems: 1. woodiness,3.01,non-woody,-,-,
14,Stems: 2. support,3.02,self-supporting,-,-,
15,Height: 1. extreme maximum (cm),3.03,70,-,-,
16,Height: 3. typical maximum (cm),3.05,60,-,-,
17,Height: 4. typical minimum (cm),3.06,20,-,-,
18,Spread,3.07,height = width,-,-,
19,Heterophylly,3.08,none,-,-,
20,Leaf shape: 1. type,3.09,simple,-,-,
21,Leaf shape: 2. outline,3.1,entire,-,-,
22,Leaf shape: 2. outline,3.1,entire,,,
23,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
24,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
25,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
26,Leaf shape: 6. petiole,3.14,sheathing,-,-,
27,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
28,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
29,Leaf area (cm2),3.17,0.1-1,-,-,
30,Stomata: 1. surfaces present,3.19,upper,-,-,
31,Root system,3.24,fibrous,-,-,
32,Root depth: 2. depth (cm),3.26,10-50,-,-,
33,Ligule,3.33,0.35,0.2-0.4,narrow,
34,Photosynthetic pathway,4.02,C3,-,-,
35,Heavy metal resistance,4.05,none,-,-,
36,Carnivory,4.06,does not kill insects,-,-,
37,Nutrition,4.07,autotrophic,-,-,
38,Response to frost (non-woody tissue),4.09,resistant,-,-,
39,Life-form,5.01,hemicryptophyte,-,-,
40,Longevity of stems (yrs),5.02,<1,-,-,
41,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
42,Flowering time: 1. earliest month,5.07,6,-,-,
43,Flowering time: 2. latest month,5.08,7,-,-,
44,Pollen vector,5.15,wind,-,-,
45,Dicliny,5.16,hermaphrodite,-,-,
46,Cleistogamy,5.2,cleistogamy not recorded,-,-,
47,Chromosome number(s): 1. number,5.25,14,-,-,
48,Time of seed dispersal (season),5.28,summer,-,-,
49,Seed size - length of longest axis (mm),5.31,1.5,caryopsis,-,
50,Seed weight: 3. mean (mg),5.34,1.024,,,
51,Dispersal agent,5.38,wind,-,-,
52,Time of germination (season),5.39,autumn,-,-,
53,Seed viability,5.49,high,-,-,
54,Normal method of propagation,5.52,seed and vegetative,-,-,
55,Flower colour,5.58,green,"brown, purple, white",,
56,Petal no,5.59,0,,,
57,Petal (sepal) size (cm),5.6,0,,,
58,Stigma number,5.61,2,,,
59,Stamen number,5.62,3,,,
60,Sepal number,5.63,0,,,
61,Carpel/Style number,5.64,2,,,
62,Inflorescence type,5.65,panicle,,"erect, narrowly oblong",
63,"Glume, upper",5.66,0.34,0.28-0.405,"lanceolate, acute, 1-3 nerved",
64,Glume lower,5.67,0.443,0.28-0.527,"lanceolate, acute, 1 nerved",
65,Palea,5.68,0.235,0.2-0.27,"ovate-oblong, obtuse-truncate, 2-toothed, 5-nerved, awn basal, 0.5",
66,Rarity Status,7.02,Present,,,
67,Change Index,7.03,-0.26,,,
68,Biome,7.04,Southern Temperate,,,
69,Eastern Limit,7.05,Oceanic,,,
70,Continentality,7.06,Not continental,,,
71,Northern Limit in Britain,7.07,Yes,,,
72,"Northern European Limit (Lat,5C band)",7.08,50-55,,,
73,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
74,Southern European Limit,7.1,No,,,
75,January mean temperature,7.11,4.9,,,
76,July mean temperature,7.12,16,,,
77,Annual precipitation,7.13,1082,,,
78,Ellenberg Indicator: Light,7.14,7,,,
79,Ellenberg : Moisture,7.15,6,,,
80,Ellenberg: pH,7.16,2,,,
81,Ellenberg Indicator: Nitrogen,7.17,1,,,
82,Ellenberg Indicator: Salt,7.18,0,,,
83,Life Form: normal state,7.19,Hemicryptophyte,,,
84,Clonality: normal state,7.21,Tussock forming graminoid,,,
