,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,,,
1,Shade,1.1,none,,,
2,Status,2.01,introduced,,,
3,First historical record: 1. date,2.04,1812,,,
4,First historical record: 2. site,2.05,vc 90,,,
5,Range: 3. continents where native,2.11,"Europe, W.Palearctic, S.W. Asia",,,
6,Height: 3. typical maximum (cm),3.05,30,,,
7,Height: 4. typical minimum (cm),3.06,10,,,
8,Spread,3.07,height = width,,,
9,Heterophylly,3.08,none,,,
10,Leaf shape: 1. type,3.09,entire,,,
11,Leaf shape: 2. outline,3.1,lobed and toothed,,,
12,Leaf shape: 3. pointed/round,3.11,round,,,
13,Leaf shape: 4. length versus breadth,3.12,length = width,,,
14,Leaf shape: 5. leaf base,3.13,cuneate,,,
15,Leaf shape: 6. petiole,3.14,petiolate,,,
16,Leaf area (cm2),3.17,1-10,,,
17,Carnivory,4.06,does not kill insect,,,
18,Nutrition,4.07,autotrophic,,,
19,Life-form,5.01,helophyte,,,
20,Vegetative reproduction/persistence: 1. method,5.05,creeping stock,,,
21,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,,,
22,Flowering time: 1. earliest month,5.07,6,,,
23,Flowering time: 1. earliest month,5.07,7,,,
24,Flowering time: 3. peak month,5.09,6,,,
25,Dicliny,5.16,hermaphrodite,,,
26,Flower colour,5.58,green,,,
27,Petal no,5.59,0,,,
28,Petal (sepal) size (cm),5.6,0,,,
29,Stigma number,5.61,5,,,
30,Stamen number,5.62,4,,,
31,Sepal number,5.63,4,,,
32,Carpel/Style number,5.64,1,,,
33,Inflorescence type,5.65,cyme,,"terminal, compound",
34,Physical defences on leaves,6.02,soft hairs,glabrous,,
