,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,,
1,Soil moisture: 2. drainage,1.03,free-draining,,,
2,Shade,1.1,some,"light, mid",,
3,Status,2.01,naturalised,,,
4,Range: 1. european countries where native,2.09,Carpathians,,,
5,Range: 2. european countries where introduced,2.1,"Dk, No, Sv, Aus, Ne, Be, Ger, Pol, Fin, He, Fr, UK, Irl.",,,
6,Range: 3. continents where native,2.11,Eu,,,
7,Range: 4. continents where introduced,2.12,"N America, Australasia",,,
8,Stems: 1. woodiness,3.01,not woody,,,
9,Stems: 2. support,3.02,self supporting,,,
10,Height: 3. typical maximum (cm),3.05,80,,,
11,Spread,3.07,ht = width,,,
12,Heterophylly,3.08,none,,,
13,Leaf shape: 1. type,3.09,simple,,,
14,Leaf shape: 2. outline,3.1,lobed,"9-11 lobes, margin toothed",,
15,Leaf shape: 3. pointed/round,3.11,rounded,,,
16,Leaf shape: 4. length versus breadth,3.12,length = breadth,up to 13 x 15 cm,,
17,Leaf shape: 5. leaf base,3.13,cordate,deeply,,
18,Leaf shape: 6. petiole,3.14,petiolate,,,
19,Leaf area (cm2),3.17,10-100,,,
20,Carnivory,4.06,does not kill insects,,,
21,Nutrition,4.07,autotrophic,,,
22,Response to frost (non-woody tissue),4.09,resistant,,,
23,Life-form,5.01,hemicryptophyte,semi-rosette,,
24,Mono/poly-carpic,5.04,polycarpic,,,
25,Fertilization,5.19,apomictic,,,
26,Chromosome number(s): 1. number,5.25,102,,,
27,Chromosome number(s): 1. number,5.25,106,,,
28,Flower colour,5.58,green,,,
29,Petal no,5.59,0,,,
30,Petal (sepal) size (cm),5.6,0,,,
31,Stigma number,5.61,5,,,
32,Stamen number,5.62,4,,,
33,Sepal number,5.63,4,,,
34,Carpel/Style number,5.64,1,,,
35,Inflorescence type,5.65,cyme,,"terminal, compound",
36,Physical defences on leaves,6.02,dense hairs,patent,,
37,Physical defences on stems,6.03,dense hairs,patent,,
38,Physical defences on flowers/fruits,6.04,dense hairs,patent,,
39,Physical defences on buds,6.05,dense hairs,patent,,
