,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,,
1,Soil nutrients,1.01,infertile,-,,
2,Shade,1.1,none,-,,
3,Altitude: 1. maximum recorded (m),1.12,1215,-,,
4,Status,2.01,native,-,,
5,Range: 3. continents where native,2.11,Europe,-,,
6,Range: 3. continents where native,2.11,North America,-,,
7,SN Index,2.13,5.88,-,,
8,EW Index,2.14,4.37,-,,
9,number of European countries in which native,2.17,22,-,,
10,Stems: 1. woodiness,3.01,non-woody,-,,
11,Stems: 2. support,3.02,self-supporting,-,,
12,Height: 3. typical maximum (cm),3.05,60,-,,
13,Spread,3.07,height = width,-,,
14,Heterophylly,3.08,none,-,,
15,Leaf shape: 1. type,3.09,simple,-,,
16,Leaf shape: 2. outline,3.1,lobed and toothed,-,,
17,Leaf shape: 3. pointed/round,3.11,rounded,-,,
18,Leaf shape: 4. length versus breadth,3.12,length = width,-,,
19,Leaf shape: 5. leaf base,3.13,cordate,-,,
20,Leaf shape: 6. petiole,3.14,petiolate,-,,
21,Photosynthetic pathway,4.02,C3,-,,
22,Heavy metal resistance,4.05,none,-,,
23,Carnivory,4.06,does not kill insects,-,,
24,Nutrition,4.07,autotrophic,-,,
25,Life-form,5.01,hemicryptophyte,-,,
26,Longevity of stems (yrs),5.02,<1,-,,
27,Vegetative reproduction/persistence: 1. method,5.05,branching root stock,-,,
28,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,,
29,Flowering time: 1. earliest month,5.07,6,-,,
30,Flowering time: 2. latest month,5.08,9,-,,
31,Pollen vector,5.15,none,-,,
32,Dicliny,5.16,hermaphrodite,-,,
33,Fertilization,5.19,apomictic,-,,
34,Chromosome number(s): 1. number,5.25,102-110,,,
35,Chromosome number(s): 1. number,5.25,96,,,
36,Chromosome number(s): 1. number,5.25,c. 100,,,
37,Seed weight: 3. mean (mg),5.34,0.51,,,
38,Flower colour,5.58,green,,,
39,Petal no,5.59,0,,,
40,Petal (sepal) size (cm),5.6,0,,,
41,Stigma number,5.61,5,,,
42,Stamen number,5.62,4,,,
43,Sepal number,5.63,4,,,
44,Carpel/Style number,5.64,1,,,
45,Inflorescence type,5.65,cyme,,"terminal, compound",
46,Physical defences on leaves,6.02,glabrous,-,,
47,Physical defences on stems,6.03,glabrous,-,,
48,Rarity Status,7.02,Present,,,
49,Biome,7.04,Boreo-Temperate,,,
50,Eastern Limit,7.05,European,,,
51,Continentality,7.06,Not continental,,,
52,Northern Limit in Britain,7.07,No,,,
53,"Northern European Limit (Lat,5C band)",7.08,>65,,,
54,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
55,Southern European Limit,7.1,No,,,
56,January mean temperature,7.11,2.6,,,
57,July mean temperature,7.12,13,,,
58,Annual precipitation,7.13,1338,,,
59,Ellenberg Indicator: Light,7.14,6,,Data calculated for the Czech Republic,
60,Ellenberg Indicator: Light,7.14,7,,,
61,Ellenberg Indicator: Light,7.14,,,Data calculated for Europe,
62,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
63,Ellenberg : Moisture,7.15,6,,,
64,Ellenberg : Moisture,7.15,,,Data calculated for Europe,
65,Ellenberg: pH,7.16,6,,,
66,Ellenberg: pH,7.16,6,,Data calculated for the Czech Republic,
67,Ellenberg: pH,7.16,,,Data calculated for Europe,
68,Ellenberg Indicator: Nitrogen,7.17,4,,,
69,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
70,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
71,Ellenberg Indicator: Salt,7.18,0,,,
72,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
73,Ellenberg Indicator: Salt,7.18,,,Data calculated for Europe,
74,Life Form: normal state,7.19,Hemicryptophyte,,,
75,Clonality: normal state,7.21,Little or no vegetative spread,,,
76,Ellenberg: Temperature,7.23,4,,Data calculated for the Czech Republic,
77,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
78,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
