,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil moisture: 3. supply,1.04,continuous,-,-,
1,Altitude: 1. maximum recorded (m),1.12,1219,-,-,
2,Altitude: 1. maximum recorded (m),1.12,1220,-,-,
3,Altitude: 2. minimum recorded (m),1.13,450,-,-,
4,Altitude: 2. minimum recorded (m),1.13,579,-,-,
5,Altitude: 4. typical minimum (m),1.14,762,-,-,
6,Status,2.01,native,-,-,
7,Typical abundance where naturally occurring,2.02,scattered,-,-,
8,First historical record: 1. date,2.04,1803,-,-,
9,First historical record: 2. site,2.05,"Lochnagar, Aberdeenshire",-,-,
10,Range: 3. continents where native,2.11,Europe,-,-,
11,Range: 3. continents where native,2.11,North America,-,-,
12,SN Index,2.13,7.2,-,-,
13,EW Index,2.14,2.27,-,-,
14,British distribution (post 1949 records),2.15,24,-,-,
15,number of European countries in which native,2.17,3,-,-,
16,Stems: 1. woodiness,3.01,non-woody,-,-,
17,Stems: 2. support,3.02,self-supporting,-,-,
18,Height: 3. typical maximum (cm),3.05,60,-,-,
19,Height: 4. typical minimum (cm),3.06,10,-,-,
20,Spread,3.07,height = width,-,-,
21,Heterophylly,3.08,none,-,-,
22,Leaf shape: 1. type,3.09,simple,-,-,
23,Leaf shape: 2. outline,3.1,entire,-,-,
24,Leaf shape: 2. outline,3.1,entire,,,
25,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
26,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
27,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
28,Leaf shape: 6. petiole,3.14,sheathing,-,-,
29,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
30,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
31,Leaf area (cm2),3.17,1-10,-,-,
32,Stomata: 1. surfaces present,3.19,both,,-,
33,Root system,3.24,fibrous,,,
34,Ligule,3.33,0.15,0.1-0.2,truncate,
35,Photosynthetic pathway,4.02,C3,-,-,
36,Heavy metal resistance,4.05,none,-,-,
37,Carnivory,4.06,does not kill insects,-,-,
38,Nutrition,4.07,autotrophic,-,-,
39,Life-form,5.01,hemicryptophyte,-,-,
40,Longevity of stems (yrs),5.02,<1,-,-,
41,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
42,Flowering time: 1. earliest month,5.07,7,-,-,
43,Flowering time: 2. latest month,5.08,8,-,-,
44,Pollen vector,5.15,wind,-,-,
45,Dicliny,5.16,hermaphrodite,-,-,
46,Chromosome number(s): 1. number,5.25,117,-,-,
47,2C DNA content (pg),5.26,40.25,2n=100,,
48,Seed weight: 3. mean (mg),5.34,0.6063,,,
49,Flower colour,5.58,green,"brown, purple, white",,
50,Petal no,5.59,0,,,
51,Petal (sepal) size (cm),5.6,0,,,
52,Stigma number,5.61,2,,,
53,Stamen number,5.62,3,,,
54,Sepal number,5.63,0,,,
55,Carpel/Style number,5.64,2,,,
56,Inflorescence type,5.65,spicate panicle,,"dense, cylindrical to ovoid",
57,"Glume, upper",5.66,0.525,0.45-0.6,"lanceolate, acute, 3-nerved",
58,Glume lower,5.67,0.525,0.45-0.6,"semi-elliptic, acute, 3-nerved",
59,Palea,5.68,0,,,
60,Lemma,5.69,0.4,0.35-0.45,"ovate, obtuse, 5-veined, awn dorsal, geniculate, 0.45-0.9",
61,Physical defences on leaves,6.02,glabrous,-,-,
62,Rarity Status,7.02,Scarce,,,
63,Change Index,7.03,-0.24,,,
64,Biome,7.04,Arctic Montane,,,
65,Eastern Limit,7.05,Circumpolar,,,
66,Continentality,7.06,Continental,,,
67,Northern Limit in Britain,7.07,No,,,
68,"Northern European Limit (Lat,5C band)",7.08,>65,,,
69,"Southern European Limit (Latitude, 5C band)",7.09,50-55,,,
70,Southern European Limit,7.1,Yes,,,
71,January mean temperature,7.11,-0.60,,,
72,July mean temperature,7.12,11,,,
73,Annual precipitation,7.13,1514,,,
74,Ellenberg Indicator: Light,7.14,8,,,
75,Ellenberg : Moisture,7.15,9,,,
76,Ellenberg: pH,7.16,5,,,
77,Ellenberg Indicator: Nitrogen,7.17,3,,,
78,Ellenberg Indicator: Salt,7.18,0,,,
79,Life Form: normal state,7.19,Hemicryptophyte,,,
80,Clonality: normal state,7.21,Tussock forming graminoid,,,
