,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil moisture: 3. supply,1.04,seasonal,-,-,
1,Salinity,1.05,brackish,-,-,
2,Salinity,1.05,brackish,-,-,
3,Salinity,1.05,fresh,-,-,
4,Salinity,1.05,saline,-,-,
5,Salinity,1.05,salt-affected,-,-,
6,Salinity,1.05,salt-affected,-,-,
7,Status,2.01,native,-,-,
8,Typical abundance where naturally occurring,2.02,scattered,-,-,
9,Dynamics,2.03,declining,-,-,
10,First historical record: 1. date,2.04,1724,-,-,
11,Range: 3. continents where native,2.11,Europe,-,-,
12,SN Index,2.13,.88,-,-,
13,EW Index,2.14,6.21,-,-,
14,British distribution (post 1949 records),2.15,54,-,-,
15,number of European countries in which native,2.17,11,-,-,
16,Stems: 1. woodiness,3.01,non-woody,-,-,
17,Stems: 2. support,3.02,self-supporting,-,-,
18,Height: 3. typical maximum (cm),3.05,50,-,-,
19,Height: 4. typical minimum (cm),3.06,25,-,-,
20,Spread,3.07,height = width,-,-,
21,Heterophylly,3.08,none,-,-,
22,Leaf shape: 1. type,3.09,simple,-,-,
23,Leaf shape: 2. outline,3.1,entire,-,-,
24,Leaf shape: 2. outline,3.1,entire,,,
25,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
26,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
27,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
28,Leaf shape: 6. petiole,3.14,sheathing,-,-,
29,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
30,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
31,Leaf area (cm2),3.17,0.1-1,-,-,
32,Root system,3.24,fibrous,,,
33,Ligule,3.33,0.4,0.2-0.6,rounded,
34,Photosynthetic pathway,4.02,C3,-,-,
35,Heavy metal resistance,4.05,none,-,-,
36,Carnivory,4.06,does not kill insects,-,-,
37,Nutrition,4.07,autotrophic,-,-,
38,Life-form,5.01,hemicryptophyte,-,-,
39,Longevity of stems (yrs),5.02,<1,-,-,
40,Flowering time: 1. earliest month,5.07,6,-,-,
41,Flowering time: 2. latest month,5.08,6,-,-,
42,Pollen vector,5.15,wind,-,-,
43,Dicliny,5.16,hermaphrodite,-,-,
44,Chromosome number(s): 1. number,5.25,14,-,-,
45,Time of seed dispersal (season),5.28,summer,-,-,
46,Seed weight: 3. mean (mg),5.34,0.4584,,,
47,Flower colour,5.58,green,"brown, purple, white",,
48,Petal no,5.59,0,,,
49,Petal (sepal) size (cm),5.6,0,,,
50,Stigma number,5.61,2,,,
51,Stamen number,5.62,3,,,
52,Sepal number,5.63,0,,,
53,Carpel/Style number,5.64,2,,,
54,Inflorescence type,5.65,spicate panicle,,"dense, narrowly cylindrical",
55,"Glume, upper",5.66,0.35,0.3-0.4,"oblong, acute, 3-nerved",
56,Glume lower,5.67,0.35,0.3-0.4,"oblong, acute, 3-nerved",
57,Palea,5.68,0,,,
58,Lemma,5.69,0.3,0.25-0.35,"oblong, truncate, 4-veined, awn basal, geniculate 0.5-0.7",
59,Physical defences on leaves,6.02,glabrous,-,-,
60,Rarity Status,7.02,Scarce,,,
61,Change Index,7.03,0.30,,,
62,Biome,7.04,Southern Temperate,,,
63,Eastern Limit,7.05,Suboceanic,,,
64,Continentality,7.06,Not continental,,,
65,Northern Limit in Britain,7.07,No,,,
66,"Northern European Limit (Lat,5C band)",7.08,50-55,,,
67,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
68,Southern European Limit,7.1,No,,,
69,January mean temperature,7.11,4.6,,,
70,July mean temperature,7.12,16,,,
71,Annual precipitation,7.13,826,,,
72,Ellenberg Indicator: Light,7.14,8,,,
73,Ellenberg : Moisture,7.15,7,,,
74,Ellenberg: pH,7.16,7,,,
75,Ellenberg Indicator: Nitrogen,7.17,5,,,
76,Ellenberg Indicator: Salt,7.18,3,,,
77,Life Form: normal state,7.19,Hemicryptophyte,,,
78,Clonality: normal state,7.21,Tussock forming graminoid,,,
