,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Soil moisture: 1. water table,1.02,periodically high,-,-,
3,Soil moisture: 2. drainage,1.03,slow-draining,-,-,
4,Shade,1.1,none,-,-,
5,Status,2.01,native,-,-,
6,Typical abundance where naturally occurring,2.02,dominant,-,-,
7,Dynamics,2.03,declining,-,-,
8,Dynamics,2.03,declining,-,-,
9,First historical record: 1. date,2.04,1597,-,-,
10,First historical record: 2. site,2.05,"Paddington, London",-,-,
11,Range: 3. continents where native,2.11,Africa,-,-,
12,Range: 3. continents where native,2.11,Asia,-,-,
13,Range: 3. continents where native,2.11,Europe,-,-,
14,Range: 4. continents where introduced,2.12,Australasia,-,-,
15,Range: 4. continents where introduced,2.12,North America,-,-,
16,SN Index,2.13,1.78,-,-,
17,EW Index,2.14,3.44,-,-,
18,number of European countries in which native,2.17,17,-,-,
19,Stems: 1. woodiness,3.01,non-woody,-,-,
20,Stems: 2. support,3.02,self-supporting,-,-,
21,Height: 1. extreme maximum (cm),3.03,80,-,-,
22,Height: 3. typical maximum (cm),3.05,70,-,-,
23,Height: 4. typical minimum (cm),3.06,20,-,-,
24,Spread,3.07,height = width,-,-,
25,Heterophylly,3.08,none,-,-,
26,Leaf shape: 1. type,3.09,simple,-,-,
27,Leaf shape: 2. outline,3.1,entire,-,-,
28,Leaf shape: 2. outline,3.1,entire,,,
29,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
30,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
31,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
32,Leaf shape: 6. petiole,3.14,sheathing,-,-,
33,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
34,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
35,Leaf area (cm2),3.17,1-10,-,-,
36,Root system,3.24,adventitious,-,-,
37,Root depth: 1. type,3.25,shallow,-,-,
38,Root depth: 2. depth (cm),3.26,>100,-,-,
39,Ligule,3.33,0.35,0.2-0.5,truncate,
40,Photosynthetic pathway,4.02,C3,-,-,
41,Heavy metal resistance,4.05,none,-,-,
42,Carnivory,4.06,does not kill insects,-,-,
43,Nutrition,4.07,autotrophic,-,-,
44,Response to frost (non-woody tissue),4.09,resistant,-,-,
45,Response to frost (seedlings),4.1,resistant,-,-,
46,Response to frost (seedlings),4.1,sensitive,-,-,
47,Life-form,5.01,therophyte,-,-,
48,Longevity of stems (yrs),5.02,<1,-,-,
49,Age at first flowering,5.03,24-52 weeks,autumn germinating,-,
50,Age at first flowering,5.03,6-12 weeks,spring germinating,-,
51,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
52,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
53,Flowering time: 1. earliest month,5.07,5,-,-,
54,Flowering time: 2. latest month,5.08,9,-,-,
