,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,,
1,Shade,1.1,none,,,
2,Range: 2. european countries where introduced,2.1,"Al, Al, Ba, Be, Bu, Co, Cr, Cz, De, Es, Fr, Ge,","Gr, Hu, Ir, It, Lu, Ne, No, Po, Por, Ro, Sa, Si, Sl, Sp, Sw, Tu, Uk",,
3,Range: 4. continents where introduced,2.12,"M.East, Cent. Afr., East Afr., Austr., N. Am.",,,
4,Height: 1. extreme maximum (cm),3.03,90,,,
5,Height: 3. typical maximum (cm),3.05,70,,,
6,Height: 4. typical minimum (cm),3.06,10,,,
7,Spread,3.07,ht = width,,,
8,Heterophylly,3.08,none,,,
9,Leaf shape: 1. type,3.09,simple,,,
10,Leaf shape: 2. outline,3.1,entire,Rarely undulate,,
11,Leaf shape: 3. pointed/round,3.11,round,Acute,Mucronate,
12,Leaf shape: 5. leaf base,3.13,1-3 x as long as wide,,,
13,Leaf shape: 5. leaf base,3.13,cuneate,,,
14,Leaf shape: 6. petiole,3.14,petiolate,,,
15,Carnivory,4.06,does not kill insects,,,
16,Nutrition,4.07,autotrophic,,,
17,Life-form,5.01,Therophyte,,,
18,Longevity of stems (yrs),5.02,> 1,,,
19,Mono/poly-carpic,5.04,monocarpic,,,
20,Flowering time: 1. earliest month,5.07,7,,,
21,Flowering time: 2. latest month,5.08,10,,,
22,Flowering time: 3. peak month,5.09,8,,,
23,Pollen vector,5.15,wind,,,
24,Dicliny,5.16,gynoandromonoecious,,,
25,2C DNA content (pg),5.26,32,,,
26,2C DNA content (pg),5.26,34,,,
27,Seed size - length of longest axis (mm),5.31,1.15,+- 0.15,,
28,Seed weight: 3. mean (mg),5.34,0.328,,,
29,Normal method of propagation,5.52,seed,,,
30,Flower colour,5.58,green,,,
31,Petal no,5.59,3,,,
32,Stigma number,5.61,3,2,,
33,Sepal number,5.63,0,,,
34,Inflorescence type,5.65,spicate cyme,,,
35,Physical defences on leaves,6.02,glabrescent,Pubescent,,
36,Physical defences on stems,6.03,glabrescent,,,
37,Physical defences on flowers/fruits,6.04,glabrescent,Pubescent,,
38,Physical defences on buds,6.05,glabrescent,Pubescent,,
39,Ellenberg Indicator: Light,7.14,9,,Data calculated for the Czech Republic,
40,Ellenberg Indicator: Light,7.14,9,,Data calculated for Europe,
41,Ellenberg : Moisture,7.15,3,,Data calculated for the Czech Republic,
42,Ellenberg : Moisture,7.15,3,,Data calculated for Europe,
43,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
44,Ellenberg: pH,7.16,9,,Data calculated for Europe,
45,Ellenberg Indicator: Nitrogen,7.17,8,,Data calculated for the Czech Republic,
46,Ellenberg Indicator: Nitrogen,7.17,8,,Data calculated for Europe,
47,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
48,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
49,Ellenberg: Temperature,7.23,9,,Data calculated for the Czech Republic,
50,Ellenberg: Temperature,7.23,9,,Data calculated for Europe,
51,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
