,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,,
1,Soil nutrients,1.01,infertile,,,
2,Soil moisture: 1. water table,1.02,periodically high,,,
3,Soil moisture: 2. drainage,1.03,free draining,,,
4,Soil moisture: 3. supply,1.04,continuous,,,
5,Soil moisture: 3. supply,1.04,intermittent,,,
6,Soil moisture: 3. supply,1.04,slow draining,,,
7,Soil pH: 3. typical maximum,1.08,7,,,
8,Soil pH: 4. typical minimum,1.09,6,,,
9,First historical record: 1. date,2.04,1836,,1759 in cult,
10,First historical record: 2. site,2.05,vc 16,,,
11,Range: 2. european countries where introduced,2.1,37,,,
12,Range: 3. continents where native,2.11,N. America,,,
13,Range: 4. continents where introduced,2.12,"Australasia, Asia Africa, A. America",,,
14,Height: 1. extreme maximum (cm),3.03,150,,,
15,Height: 2. extreme minimum (cm),3.04,10,,,
16,Height: 3. typical maximum (cm),3.05,42,,,
17,Height: 3. typical maximum (cm),3.05,90,,,
18,Height: 4. typical minimum (cm),3.06,20,,,
19,Spread,3.07,height > width,,,
20,Heterophylly,3.08,none,,,
21,Leaf shape: 1. type,3.09,simple,,pinnatisect,
22,Leaf shape: 2. outline,3.1,entire,toothed,,
23,Leaf shape: 3. pointed/round,3.11,pointed,,,
24,Leaf shape: 4. length versus breadth,3.12,1-3 x as long as wide,,,
25,Leaf shape: 5. leaf base,3.13,cuneate,,,
26,Leaf shape: 6. petiole,3.14,petiolate,,,
27,Leaf shape: 7. minimum petiole length (mm),3.15,25,,,
28,Leaf shape: 8. maximum petiole length (mm),3.16,35,60,,
29,Leaf area (cm2),3.17,1-10,,,
30,Leaf longevity: 1. type,3.22,aestival,,,
31,Mean plant dry mass(mg),3.35,708.5,,,
32,Photosynthetic pathway,4.02,C3,,,
33,Carnivory,4.06,does not kill insects,,,
34,Nutrition,4.07,autotrophic,,,
35,Response to frost (non-woody tissue),4.09,sensitive,,,
36,Life-form,5.01,Therophyte,,,
37,Longevity of stems (yrs),5.02,<1,,,
38,Mono/poly-carpic,5.04,monocarpic,,,
39,Flowering time: 1. earliest month,5.07,8,,,
40,Flowering time: 2. latest month,5.08,10,,,
41,Flowering time: 3. peak month,5.09,9,,,
42,Photoperiodism: 1. type,5.1,long day,,male fls,
43,Photoperiodism: 1. type,5.1,short days,,"female fls, shortening days",
44,Pollen vector,5.15,wind,,,
45,Dicliny,5.16,monoecious,,,
46,Chromosome number(s): 1. number,5.25,34,,,
47,Chromosome number(s): 1. number,5.25,36,,,
48,2C DNA content (pg),5.26,2.32,,,
49,Appendages on dispersal unit,5.27,hooks,,,
50,Seed size - length of longest axis (mm),5.31,3.17,(1-)3.5-4,,
51,Seed weight: 3. mean (mg),5.34,3.26,,,
52,Seed weight: 3. mean (mg),5.34,3.95,,,
53,Seed production: 3. typical range (/plant),5.37,1000-10000,3380,,
54,Dispersal agent,5.38,Animals,,,
55,Dispersal agent,5.38,water,,,
56,Dispersal agent,5.38,wind,,,
57,Minimum temperature germination,5.43,12.5,,,
58,Germination requirements 1. chilling,5.45,partial,,,
59,Normal method of propagation,5.52,seed,,,
60,Flower colour,5.58,green,,,
61,Petal no,5.59,5,0,female flowers without corolla,
62,Petal (sepal) size (cm),5.6,0,in female,discoid,
63,Stigma number,5.61,2,,,
64,Stamen number,5.62,5,,fused into a tube,
65,Sepal number,5.63,0,many,sepaloid phyllaries,
66,Carpel/Style number,5.64,1,,,
67,Inflorescence type,5.65,capitulum,,"male : dense elongated terminal racemes, female: one flower",
68,Physical defences on leaves,6.02,hairs,,,
69,Physical defences on stems,6.03,hairs,,,
70,Physical defences on flowers/fruits,6.04,hairs,,,
71,Ellenberg Indicator: Light,7.14,9,,Data calculated for the Czech Republic,
72,Ellenberg Indicator: Light,7.14,9,,Data calculated for Europe,
73,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
74,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
75,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
76,Ellenberg: pH,7.16,8,,Data calculated for Europe,
77,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
78,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for Europe,
79,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
80,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
81,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
82,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
83,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
