,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,very fertile,,
1,Soil nutrients,1.01,infertile,,,
2,Soil moisture: 2. drainage,1.03,free draining,,,
3,Salinity,1.05,tolerant,,,
4,Shade,1.1,deep,"light, mid",,
5,First historical record: 1. date,2.04,1866,1629 in cultivation,,
6,First historical record: 2. site,2.05,Surrey,,,
7,Fossil record: 1. earliest record,2.06,1724,,,
8,Range: 3. continents where native,2.11,C. Mediterranean,,,
9,Stems: 1. woodiness,3.01,non woody,,,
10,Stems: 1. woodiness,3.01,woody at base,,,
11,Stems: 2. support,3.02,180,,,
12,Stems: 2. support,3.02,self supporting,,,
13,Stems: 2. support,3.02,self supporting,,,
14,Height: 2. extreme minimum (cm),3.04,30,,,
15,Height: 3. typical maximum (cm),3.05,100,,,
16,Height: 3. typical maximum (cm),3.05,30,,,
17,Height: 4. typical minimum (cm),3.06,50,,,
18,Spread,3.07,height > width,,,
19,Spread,3.07,ht < width,,,
20,Heterophylly,3.08,none,,,
21,Heterophylly,3.08,none,,,
22,Leaf shape: 1. type,3.09,compound,,biternate,
23,Leaf shape: 1. type,3.09,simple,,,
24,Leaf shape: 2. outline,3.1,entire,,,
25,Leaf shape: 2. outline,3.1,toothed,,,
26,Leaf shape: 3. pointed/round,3.11,pointed,,,
27,Leaf shape: 4. length versus breadth,3.12,length = width,,,
28,Leaf shape: 5. leaf base,3.13,truncate,,,
29,Leaf shape: 6. petiole,3.14,petiolate,,,
30,Leaf area (cm2),3.17,10-100,,,
31,Leaf longevity: 1. type,3.22,vernal,,,
32,Root system,3.24,adventitious,,,
33,Root depth: 1. type,3.25,shallow,,,
34,Carnivory,4.06,does not kill insects,,,
35,Nutrition,4.07,auto,,,
36,Life-form,5.01,geophyte,rhizome,,
37,Longevity of stems (yrs),5.02,< 1,,,
38,Mono/poly-carpic,5.04,polycarpic,,,
39,Vegetative reproduction/persistence: 1. method,5.05,rhizome,,,
40,Pollen vector,5.15,insect,,,
41,Dicliny,5.16,hermaphrodite,,,
42,Chromosome number(s): 1. number,5.25,16,,,
43,2C DNA content (pg),5.26,26.99,,,
44,Time of seed dispersal (season),5.28,spring,summer,,
45,Annual seed dispersal,5.29,regular,,,
46,Dispersule size - length of longest axis (mm),5.3,4.25,4-4.5,,
47,Seed weight: 3. mean (mg),5.34,1.8864,,,
48,Seed production: 2. typical range (/flower),5.36,10-100,,,
49,Seed production: 3. typical range (/plant),5.37,10-100,,,
50,Normal method of propagation,5.52,vegetative,,,
51,Seedbank type,5.53,transient,,,
52,Flower colour,5.58,blue,"pint, white",,
53,Petal no,5.59,0,,,
54,Petal (sepal) size (cm),5.6,1.5,1-2,,
55,Stigma number,5.61,numerous,,,
56,Stamen number,5.62,numerous,,,
57,Sepal number,5.63,12,(8)10-15(20),,
58,Carpel/Style number,5.64,numerous,,,
59,Inflorescence type,5.65,solitary,few,,
60,Physical defences on leaves,6.02,glabrous,,,
61,Physical defences on stems,6.03,glabrous,,,
62,Physical defences on flowers/fruits,6.04,sparsley hairy,,,
