,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,,,
1,Soil moisture: 2. drainage,1.03,free,,,
2,Range: 1. european countries where native,2.09,"Alb, Bu, Fr, Gr, It, Ma, Por, Esp, Ukr, Yug",,,
3,Range: 2. european countries where introduced,2.1,"UK, Irl",,,
4,number of European countries in which native,2.17,10,,,
5,Stems: 1. woodiness,3.01,non woody,,,
6,Stems: 2. support,3.02,Self supporting,,,
7,Height: 1. extreme maximum (cm),3.03,60,,,
8,Height: 2. extreme minimum (cm),3.04,10,,,
9,Height: 3. typical maximum (cm),3.05,45,,,
10,Height: 4. typical minimum (cm),3.06,15,,,
11,Spread,3.07,ht > width,,,
12,Heterophylly,3.08,none,,,
13,Leaf shape: 1. type,3.09,simple,,,
14,Leaf shape: 3. pointed/round,3.11,pointed,,,
15,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,,,
16,Leaf shape: 5. leaf base,3.13,parallel-sided,,,
17,Leaf shape: 6. petiole,3.14,sheathing,,,
18,Leaf area (cm2),3.17,1-10,1.1,,
19,Root system,3.24,fibrous,,,
20,Ligule,3.33,0.275,0.15-0.4,jagged,
21,Photosynthetic pathway,4.02,C3,,,
22,Carnivory,4.06,does not kill insects,,,
23,Nutrition,4.07,autotrophic,,,
24,Life-form,5.01,Therophyte,,,
25,Longevity of stems (yrs),5.02,<1,,,
26,Mono/poly-carpic,5.04,monocarpic,,,
27,Vegetative reproduction/persistence: 1. method,5.05,none,,,
28,Flowering time: 1. earliest month,5.07,5,,,
29,Flowering time: 2. latest month,5.08,7,,,
30,Flowering time: 3. peak month,5.09,6,,,
31,Dicliny,5.16,hermaphrodite,,,
32,Chromosome number(s): 1. number,5.25,28,,,
33,Appendages on dispersal unit,5.27,awn,,,
34,Time of seed dispersal (season),5.28,animals,,,
35,Seed weight: 3. mean (mg),5.34,2.6,,,
36,Dispersal agent,5.38,wind,,,
37,Flower colour,5.58,green,"brown, purple, white",,
38,Petal no,5.59,0,,,
39,Petal (sepal) size (cm),5.6,0,,,
40,Stigma number,5.61,2,,,
41,Stamen number,5.62,2,,,
42,Sepal number,5.63,0,,,
43,Carpel/Style number,5.64,2,,,
44,Inflorescence type,5.65,panicle,,"contracted, rather dense",
45,"Glume, upper",5.66,1.3,1-1.6,"linear lanceolate, acute, 3 nerved",
46,Glume lower,5.67,0.825,0.6-1.1,"subulate, 1-nerved",
47,Palea,5.68,1.35,,,
48,Lemma,5.69,1.45,1.2-1.9,"linear lanceolate, acute, 2-toothed, 7 nerved",
49,Physical defences on leaves,6.02,glabrous,or softly hairy,,
50,Physical defences on stems,6.03,glabrous,or minutely hairy,,
51,Physical defences on flowers/fruits,6.04,hairy at tip,,,
