,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil moisture: 2. drainage,1.03,slow-draining,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,300,-,-,
4,Altitude: 2. minimum recorded (m),1.13,0,-,-,
5,Status,2.01,native,-,-,
6,Dynamics,2.03,declining,-,-,
7,First historical record: 1. date,2.04,1523,-,-,
8,Range: 3. continents where native,2.11,Asia,-,-,
9,Range: 3. continents where native,2.11,Europe,-,-,
10,Range: 4. continents where introduced,2.12,Africa,,-,
11,Range: 4. continents where introduced,2.12,Australasia,,-,
12,Range: 4. continents where introduced,2.12,North America,,-,
13,Range: 4. continents where introduced,2.12,South America,,-,
14,SN Index,2.13,1.98,-,-,
15,EW Index,2.14,3.98,-,-,
16,number of European countries in which native,2.17,30,-,-,
17,Medicinal Use,2.18,sores,,,
18,Stems: 1. woodiness,3.01,non-woody,-,-,
19,Stems: 2. support,3.02,self-supporting,-,-,
20,Height: 1. extreme maximum (cm),3.03,70,-,-,
21,Height: 2. extreme minimum (cm),3.04,10,-,-,
22,Height: 3. typical maximum (cm),3.05,60,-,-,
23,Height: 4. typical minimum (cm),3.06,20,-,-,
24,Spread,3.07,height = width,-,-,
25,Heterophylly,3.08,none,-,-,
26,Leaf shape: 1. type,3.09,compound,-,-,
27,Leaf shape: 2. outline,3.1,lobed and toothed,-,-,
28,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
29,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
30,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
31,Leaf shape: 6. petiole,3.14,sessile,-,-,
32,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
33,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
34,Stomata: 1. surfaces present,3.19,both,-,-,
35,Stomata: 1. surfaces present,3.19,stem,80/mm,-,
36,Stomata: 2. density on lower surface(no/mm2),3.2,45,-,-,
37,Stomata: 3. density on upper surface (no/mm2),3.21,80,-,-,
38,Root system,3.24,fibrous,-,-,
39,Root depth: 2. depth (cm),3.26,10-50,-,-,
40,Photosynthetic pathway,4.02,C3,-,-,
41,Heavy metal resistance,4.05,none,-,-,
42,Carnivory,4.06,does not kill insects,-,-,
43,Nutrition,4.07,autotrophic,-,-,
44,Response to frost (non-woody tissue),4.09,resistant,-,-,
45,Life-form,5.01,therophyte,-,-,
46,Longevity of stems (yrs),5.02,<1,-,-,
47,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
48,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
49,Flowering time: 1. earliest month,5.07,7,-,-,
50,Flowering time: 2. latest month,5.08,9,-,-,
51,Pollen vector,5.15,insect,-,-,
52,Dicliny,5.16,hermaphrodite,-,-,
53,Fertilization,5.19,normally cross,-,-,
54,Chromosome number(s): 1. number,5.25,18,,-,
55,Seed size - length of longest axis (mm),5.31,2.0,achene,-,
56,Seed weight: 3. mean (mg),5.34,0.4,-,-,
57,Seed weight: 3. mean (mg),5.34,0.4025,,,
58,Seed production: 1. maximum (/flower),5.35,120,-,-,
59,Seed production: 2. typical range (/flower),5.36,10-100,-,-,
