,Name,Number,Value,Modifier,Notes,Subspecies
0,Shade,1.1,none,-,-,
1,Status,2.01,naturalised,-,-,
2,First historical record: 1. date,2.04,1848,-,-,
3,First historical record: 2. site,2.05,"Thetford, Suffolk",-,-,
4,Range: 3. continents where native,2.11,Europe,-,-,
5,Range: 4. continents where introduced,2.12,Africa,-,-,
6,Range: 4. continents where introduced,2.12,Asia,-,-,
7,Range: 4. continents where introduced,2.12,North America,-,-,
8,SN Index,2.13,2.43,-,-,
9,EW Index,2.14,1.29,-,-,
10,British distribution (post 1949 records),2.15,35,-,-,
11,number of European countries in which native,2.17,13,-,-,
12,Stems: 1. woodiness,3.01,non-woody,-,-,
13,Stems: 2. support,3.02,self-supporting,-,-,
14,Height: 3. typical maximum (cm),3.05,60,-,-,
15,Height: 4. typical minimum (cm),3.06,15,-,-,
16,Spread,3.07,height = width,-,-,
17,Heterophylly,3.08,none,-,-,
18,Leaf shape: 1. type,3.09,simple,-,-,
19,Leaf shape: 2. outline,3.1,entire,-,-,
20,Leaf shape: 2. outline,3.1,entire,,,
21,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
22,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
23,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
24,Leaf shape: 6. petiole,3.14,sheathing,-,-,
25,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
26,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
27,Leaf area (cm2),3.17,1-10,-,-,
28,Root system,3.24,fibrous,,,
29,Root depth: 2. depth (cm),3.26,50-100,-,-,
30,Ligule,3.33,0.35,,oblong,
31,Photosynthetic pathway,4.02,C3,-,-,
32,Heavy metal resistance,4.05,none,-,-,
33,Carnivory,4.06,does not kill insects,-,-,
34,Nutrition,4.07,autotrophic,-,-,
35,Life-form,5.01,therophyte,-,-,
36,Longevity of stems (yrs),5.02,<1,-,-,
37,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
38,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
39,Flowering time: 1. earliest month,5.07,6,-,-,
40,Flowering time: 2. latest month,5.08,7,-,-,
41,Pollen vector,5.15,wind,-,-,
42,Dicliny,5.16,hermaphrodite,-,-,
43,Chromosome number(s): 1. number,5.25,14,-,-,
44,Seed size - length of longest axis (mm),5.31,1.4,caryopsis,-,
45,Seed weight: 3. mean (mg),5.34,0.04,-,-,
46,Seed weight: 3. mean (mg),5.34,0.1116,,,
47,Normal method of propagation,5.52,seed,-,-,
48,Flower colour,5.58,green,"brown, purple, white",,
49,Petal no,5.59,0,,,
50,Petal (sepal) size (cm),5.6,0,,,
51,Stigma number,5.61,2,,,
52,Stamen number,5.62,3,,,
53,Sepal number,5.63,0,,,
54,Carpel/Style number,5.64,2,,,
55,Inflorescence type,5.65,panicle,,"contracted, interupted below",
56,"Glume, upper",5.66,0.225,0.2-0.25,"broadly lanceolate, acute, 3-nerved",
57,Glume lower,5.67,0.175,0.15-0.2,"lanceolate, acute, 1-nerved",
58,Palea,5.68,0.2,,,
59,Lemma,5.69,0.25,,"ovate, acute, 5 nerved, awn dorsal, 0.4-1.",
60,Physical defences on leaves,6.02,soft hairs,-,-,
61,Change Index,7.03,0.80,,,
62,Biome,7.04,Southern Temperate,,,
63,Eastern Limit,7.05,Euro-Siberian,,,
64,Continentality,7.06,Not continental,,,
65,Northern Limit in Britain,7.07,No,,,
66,Southern European Limit,7.1,No Data,,,
67,January mean temperature,7.11,3.4,,,
68,July mean temperature,7.12,16,,,
69,Annual precipitation,7.13,671,,,
70,Ellenberg Indicator: Light,7.14,9,,,
71,Ellenberg Indicator: Light,7.14,9,,Data calculated for the Czech Republic,
72,Ellenberg Indicator: Light,7.14,9,,Data calculated for Europe,
73,Ellenberg : Moisture,7.15,2,,Data calculated for the Czech Republic,
74,Ellenberg : Moisture,7.15,2,,Data calculated for Europe,
75,Ellenberg : Moisture,7.15,5,,,
76,Ellenberg: pH,7.16,4,,Data calculated for the Czech Republic,
77,Ellenberg: pH,7.16,4,,Data calculated for Europe,
78,Ellenberg: pH,7.16,8,,,
79,Ellenberg Indicator: Nitrogen,7.17,1,,Data calculated for Europe,
80,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for the Czech Republic,
81,Ellenberg Indicator: Nitrogen,7.17,6,,,
82,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
83,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
84,Ellenberg Indicator: Salt,7.18,3,,,
85,Life Form: normal state,7.19,Therophyte,,,
86,Clonality: normal state,7.21,Little or no vegetative spread,,,
87,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
88,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
89,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
