,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil moisture: 1. water table,1.02,high,,,
1,Soil moisture: 3. supply,1.04,intermittent,,,
2,Shade,1.10,none,,,
3,Shade,1.10,partial,,,
4,Flow,1.15A,none,,,
5,Flow,1.15A,slow,,,
6,Range: 2. european countries where introduced,2.10,"UK, France",,,
7,Range: 3. continents where native,2.11,S. Africa,,,
8,Range: 4. continents where introduced,2.12,"Europe, N. America, S. America, Australia",,,
9,Stems: 1. woodiness,3.01,not woody,,,
10,Heterophylly,3.08,none,,,
11,Leaf shape: 1. type,3.09,simple,,,
12,Leaf shape: 2. outline,3.10,entire,,,
13,Leaf shape: 3. pointed/round,3.11,rounded,,,
14,Leaf shape: 4. length versus breadth,3.12,1-3 x as long as broad,,,
15,Leaf shape: 5. leaf base,3.13,rounded,,,
16,Leaf shape: 6. petiole,3.14,petiolate,,,
17,Leaf shape: 8. maximum petiole length (mm),3.16,100,,,
18,Leaf longevity: 1. type,3.22,semi-evergreen,,,
19,Root system,3.24,adventitious,,,
20,Carnivory,4.06,does not kill insects,,,
21,Nutrition,4.07,autotrophic,,,
22,Longevity of stems (yrs),5.02,<1,,,
23,Longevity of stems (yrs),5.02,Hyd,,,
24,Mono/poly-carpic,5.04,polycarpic,,,
25,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,,,
26,Vegetative reproduction/persistence: 1. method,5.05,tubers,,,
27,Flowering time: 1. earliest month,5.07,10,,second flowering period,
28,Flowering time: 1. earliest month,5.07,3,,first flowering period,
29,Flowering time: 2. latest month,5.08,11,,second flowering period,
30,Flowering time: 2. latest month,5.08,4,,first flowering period,
31,Flowering time: 3. peak month,5.09,10,,second flowering period,
32,Flowering time: 3. peak month,5.09,3,,first flowering period,
33,Pollen vector,5.15,insect,,,
34,Dicliny,5.16,hermaphrodite,,,
35,Chromosome number(s): 1. number,5.25,16,,,
36,Chromosome number(s): 1. number,5.25,22,,,
37,Chromosome number(s): 1. number,5.25,34,,,
38,Chromosome number(s): 1. number,5.25,64,,,
39,2C DNA content (pg),5.26,7.9,2n=64,,
40,Appendages on dispersal unit,5.27,none,,,
41,Time of seed dispersal (season),5.28,summer,winter,,
42,Annual seed dispersal,5.29,regular,,,
43,Seed production: 1. maximum (/flower),5.35,1,,,
44,Dispersal agent,5.38,water,,,
45,Normal method of propagation,5.52,seeds,,,
46,Normal method of propagation,5.52,tubers,,,
47,Flower colour,5.58,white,,,
48,Petal no,5.59,1,2-3,tepals,
49,Petal (sepal) size (cm),5.60,0.3,,,
50,Stigma number,5.61,3,,,
51,Stamen number,5.62,6,,,
52,Sepal number,5.63,0,,tepals,
53,Carpel/Style number,5.64,3,,,
54,Inflorescence type,5.65,spike,,forked,
55,Physical defences on leaves,6.02,glabrous,,,
56,Physical defences on stems,6.03,glabrous,,,
57,Physical defences on flowers/fruits,6.04,glabrous,,,
58,Physical defences on buds,6.05,glabrous,,,
