,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,,
1,Soil nutrients,1.01,infertile,,,
2,Soil moisture: 2. drainage,1.03,free-draining,,,
3,Shade,1.1,partial,,,
4,Range: 3. continents where native,2.11,S.Africa,,,
5,Range: 4. continents where introduced,2.12,cordate,cuneate,,
6,Stems: 1. woodiness,3.01,woody at base,,,
7,Stems: 2. support,3.02,creeping,,,
8,Height: 3. typical maximum (cm),3.05,60,,,
9,Spread,3.07,ht < width,,,
10,Heterophylly,3.08,none,,,
11,Leaf shape: 1. type,3.09,simple,,,
12,Leaf shape: 2. outline,3.1,entire,,,
13,Leaf shape: 3. pointed/round,3.11,pointed,,,
14,Leaf shape: 6. petiole,3.14,petiolate,,,
15,Chromosome number(s): 1. number,5.25,18,,,
16,Seed weight: 3. mean (mg),5.34,0.589,,,
17,Flower colour,5.58,numerous,,,
18,Flower colour,5.58,pink,"purple, red",,
19,Petal (sepal) size (cm),5.6,0.35,0.3-0.4(-0.9),,
20,Stigma number,5.61,4,,,
21,Stamen number,5.62,numerous,,,
22,Sepal number,5.63,4,,,
23,Carpel/Style number,5.64,4,,,
24,Inflorescence type,5.65,solitary,,"terminal, axillary",
25,Physical defences on leaves,6.02,papillose,,,
26,Physical defences on stems,6.03,glabrous,,,
27,Physical defences on flowers/fruits,6.04,glabrous,,,
28,Physical defences on buds,6.05,glabrous,,,
