,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,1219,-,-,
4,Altitude: 1. maximum recorded (m),1.12,1220,-,-,
5,Altitude: 2. minimum recorded (m),1.13,15,-,-,
6,Altitude: 4. typical minimum (m),1.14,274,-,-,
7,Status,2.01,native,-,-,
8,First historical record: 1. date,2.04,1641,-,-,
9,First historical record: 2. site,2.05,Mt.Snowdon,-,-,
10,Range: 3. continents where native,2.11,Europe,-,-,
11,Range: 3. continents where native,2.11,North America,-,-,
12,SN Index,2.13,7.84,-,-,
13,EW Index,2.14,4.6,-,-,
14,British distribution (post 1949 records),2.15,43,-,-,
15,number of European countries in which native,2.17,13,-,-,
16,Stems: 1. woodiness,3.01,non-woody,-,-,
17,Stems: 2. support,3.02,self-supporting,-,-,
18,Height: 3. typical maximum (cm),3.05,26,-,-,
19,Height: 4. typical minimum (cm),3.06,10,-,-,
20,Spread,3.07,height > width,-,-,
21,Heterophylly,3.08,none,-,-,
22,Leaf shape: 1. type,3.09,simple,-,-,
23,Leaf shape: 2. outline,3.1,lobed,-,-,
24,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
25,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
26,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
27,Leaf shape: 6. petiole,3.14,petiolate,-,-,
28,Photosynthetic pathway,4.02,C3,-,-,
29,Heavy metal resistance,4.05,none,-,-,
30,Carnivory,4.06,does not kill insects,-,-,
31,Nutrition,4.07,autotrophic,-,-,
32,Life-form,5.01,chamaephyte,-,-,
33,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
34,Flowering time: 1. earliest month,5.07,6,-,-,
35,Flowering time: 2. latest month,5.08,8,-,-,
36,Pollen vector,5.15,selfed,-,-,
37,Dicliny,5.16,hermaphrodite,-,-,
38,Dichogamy,5.17,homogamous,-,-,
39,Chromosome number(s): 1. number,5.25,16,-,-,
40,2C DNA content (pg),5.26,0.5,2n=16,,
41,2C DNA content (pg),5.26,0.9,29=32,,
42,Dispersule size - length of longest axis (mm),5.3,1.3,seed,-,
43,Seed size - length of longest axis (mm),5.31,1.3,seed,-,
44,Normal method of propagation,5.52,seed,-,-,
45,Flower colour,5.58,white,purple,,
46,Petal no,5.59,4,,,
47,Petal (sepal) size (cm),5.6,0.5,0.4-0.6,,
48,Stigma number,5.61,2,capitate,,
49,Stamen number,5.62,6,,,
50,Sepal number,5.63,4,,,
51,Carpel/Style number,5.64,1,,,
52,Inflorescence type,5.65,raceme,,,
53,Physical defences on leaves,6.02,glabrous,"stem leaves, and sometimes basal leaves",-,
54,Physical defences on leaves,6.02,stiff hairs,basal leaves,-,
55,Physical defences on stems,6.03,glabrous,above,-,
56,Physical defences on stems,6.03,hairy,below,-,
57,Rarity Status,7.02,Scarce,,,
58,Change Index,7.03,-0.64,,,
59,Biome,7.04,Arctic Montane,,,
60,Eastern Limit,7.05,Eurasian,,,
61,Continentality,7.06,Not continental,,,
62,Northern Limit in Britain,7.07,No,,,
63,"Northern European Limit (Lat,5C band)",7.08,>65,,,
64,"Southern European Limit (Latitude, 5C band)",7.09,45-50,,,
65,Southern European Limit,7.1,No,,,
66,January mean temperature,7.11,1.7,,,
67,July mean temperature,7.12,12,,,
68,Annual precipitation,7.13,1966,,,
69,Ellenberg Indicator: Light,7.14,9,,,
70,Ellenberg : Moisture,7.15,3,,,
71,Ellenberg: pH,7.16,8,,,
72,Ellenberg Indicator: Nitrogen,7.17,1,,,
73,Ellenberg Indicator: Salt,7.18,0,,,
74,Life Form: normal state,7.19,Chamaephyte,,,
75,Clonality: normal state,7.21,Little or no vegetative spread,,,
