,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Shade,1.1,light,-,-,
3,Shade,1.1,mid,-,-,
4,Status,2.01,naturalised,-,-,
5,Range: 3. continents where native,2.11,Asia,-,-,
6,Range: 3. continents where native,2.11,Europe,-,-,
7,SN Index,2.13,6.85,-,-,
8,EW Index,2.14,.8,-,-,
9,number of European countries in which native,2.17,12,-,-,
10,Stems: 1. woodiness,3.01,non-woody,-,-,
11,Stems: 2. support,3.02,self-supporting,-,-,
12,Height: 3. typical maximum (cm),3.05,40,-,-,
13,Height: 4. typical minimum (cm),3.06,20,-,-,
14,Spread,3.07,height = width,-,-,
15,Heterophylly,3.08,none,-,-,
16,Leaf shape: 1. type,3.09,compound,-,-,
17,Leaf shape: 2. outline,3.1,toothed,-,-,
18,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
19,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
20,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
21,Leaf shape: 6. petiole,3.14,petiolate,-,-,
22,Photosynthetic pathway,4.02,C3,-,-,
23,Heavy metal resistance,4.05,none,-,-,
24,Carnivory,4.06,does not kill insects,-,-,
25,Nutrition,4.07,autotrophic,-,-,
26,Life-form,5.01,hemicryptophyte,-,-,
27,Longevity of stems (yrs),5.02,<1,-,-,
28,Flowering time: 1. earliest month,5.07,6,-,-,
29,Flowering time: 2. latest month,5.08,7,-,-,
30,Pollen vector,5.15,insect,-,-,
31,Dicliny,5.16,hermaphrodite,-,-,
32,Chromosome number(s): 1. number,5.25,35,,,
33,2C DNA content (pg),5.26,2.48,2n=35,,
34,Normal method of propagation,5.52,seed,-,-,
35,Flower colour,5.58,yellow,,,
36,Petal no,5.59,5,,,
37,Petal (sepal) size (cm),5.6,0.425,0.35-0.5,,
38,Stigma number,5.61,2,,,
39,Stamen number,5.62,7,5-10,,
40,Sepal number,5.63,5,,,
41,Carpel/Style number,5.64,2,,,
42,Inflorescence type,5.65,cyme,,terminal,
