,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Shade,1.1,none,-,-,
2,Altitude: 1. maximum recorded (m),1.12,760,-,-,
3,Altitude: 2. minimum recorded (m),1.13,550,-,-,
4,Status,2.01,native,-,-,
5,First historical record: 1. date,2.04,1950,-,-,
6,First historical record: 2. site,2.05,E + W Ross,-,-,
7,Range: 3. continents where native,2.11,Europe,-,-,
8,SN Index,2.13,10,-,-,
9,number of European countries in which native,2.17,3,-,-,
10,Stems: 1. woodiness,3.01,non-woody,-,-,
11,Stems: 2. support,3.02,self-supporting,-,-,
12,Height: 3. typical maximum (cm),3.05,10,-,-,
13,Height: 4. typical minimum (cm),3.06,3,-,-,
14,Spread,3.07,height < width,-,-,
15,Heterophylly,3.08,none,-,-,
16,Leaf shape: 1. type,3.09,compound,-,-,
17,Leaf shape: 2. outline,3.1,lobed,-,-,
18,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
19,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
20,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
21,Leaf shape: 6. petiole,3.14,petiolate,-,-,
22,Photosynthetic pathway,4.02,C3,-,-,
23,Heavy metal resistance,4.05,none,-,-,
24,Carnivory,4.06,does not kill insects,-,-,
25,Nutrition,4.07,autotrophic,-,-,
26,Life-form,5.01,hemicryptophyte,-,-,
27,Longevity of stems (yrs),5.02,<1,-,-,
28,Flowering time: 1. earliest month,5.07,7,-,-,
29,Flowering time: 2. latest month,5.08,9,-,-,
30,Pollen vector,5.15,wind,-,-,
31,Chromosome number(s): 1. number,5.25,18,,-,
32,Seed weight: 3. mean (mg),5.34,0.568,,,
33,Seedbank type,5.53,transient,-,-,
34,Flower colour,5.58,pale yellow,,filiform rays,
35,Petal no,5.59,5,many,flowers mistaken for petals,
36,Stigma number,5.61,2,,,
37,Stamen number,5.62,5,,fused into a tube,
38,Sepal number,5.63,0,many,sepaloid phyllaries,
39,Carpel/Style number,5.64,1,,,
40,Inflorescence type,5.65,capitulum,,,
41,Physical defences on leaves,6.02,soft hairs,-,-,
42,Conservation Status,7.01,Vulnerable,,,
43,Rarity Status,7.02,Rare,,,
44,Biome,7.04,Arctic Montane,,,
45,Eastern Limit,7.05,European,,,
46,Continentality,7.06,Not continental,,,
47,Northern Limit in Britain,7.07,No,,,
48,"Northern European Limit (Lat,5C band)",7.08,>65,,,
49,"Southern European Limit (Latitude, 5C band)",7.09,55-60,,,
50,Southern European Limit,7.1,Yes,,,
51,January mean temperature,7.11,0.90,,,
52,July mean temperature,7.12,11,,,
53,Annual precipitation,7.13,1982,,,
54,Ellenberg Indicator: Light,7.14,9,,,
55,Ellenberg : Moisture,7.15,4,,,
56,Ellenberg: pH,7.16,4,,,
57,Ellenberg Indicator: Nitrogen,7.17,1,,,
58,Ellenberg Indicator: Salt,7.18,0,,,
59,Life Form: normal state,7.19,Hemicryptophyte,,,
60,Clonality: normal state,7.21,Little or no vegetative spread,,,
