,Name,Number,Value,Modifier,Notes,Subspecies
0,Shade,1.1,none,-,-,
1,Exposure,1.11,exposed,-,-,
2,Dynamics,2.03,declining,-,-,
3,Range: 3. continents where native,2.11,Asia,-,-,
4,Range: 3. continents where native,2.11,Europe,-,-,
5,Range: 3. continents where native,2.11,North America,-,-,
6,Stems: 1. woodiness,3.01,non-woody,-,-,
7,Stems: 2. support,3.02,creeping,-,-,
8,Height: 1. extreme maximum (cm),3.03,15,-,-,
9,Height: 3. typical maximum (cm),3.05,8,,,
10,Height: 4. typical minimum (cm),3.06,4,-,-,
11,Spread,3.07,ht = width,,,
12,Heterophylly,3.08,none,-,-,
13,Leaf shape: 1. type,3.09,compound,irregularly forked,-,
14,Leaf shape: 2. outline,3.1,toothed,irregularly,-,
15,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
16,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
17,Leaf shape: 6. petiole,3.14,petiolate,-,-,
18,Leaf shape: 7. minimum petiole length (mm),3.15,10,-,-,
19,Leaf shape: 8. maximum petiole length (mm),3.16,100,-,-,
20,Leaf longevity: 1. type,3.22,evergreen,-,-,
21,Leaf longevity: 2. number of months,3.23,12-24,-,-,
22,Root system,3.24,adventitious,-,-,
23,Heavy metal resistance,4.05,pseudometallophyte,-,-,
24,Carnivory,4.06,does not kill insects,-,-,
25,Nutrition,4.07,autotrophic,-,-,
26,Response to frost (non-woody tissue),4.09,resistant,-,-,
27,Life-form,5.01,hemicryptophyte,-,-,
28,Mono/poly-carpic,5.04,polycarpic,-,-,
29,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
30,Flowering time: 1. earliest month,5.07,6,-,-,
31,Flowering time: 2. latest month,5.08,10,-,-,
32,Flowering time: 3. peak month,5.09,8,-,-,
33,Chromosome number(s): 1. number,5.25,144,-,-,
34,Physical defences on leaves,6.02,glabrous,-,-,
35,Physical defences on stems,6.03,glabrous,-,-,
36,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
37,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
38,Ellenberg : Moisture,7.15,2,,Data calculated for the Czech Republic,
39,Ellenberg : Moisture,7.15,3,,Data calculated for Europe,
40,Ellenberg: pH,7.16,2,,Data calculated for the Czech Republic,
41,Ellenberg: pH,7.16,2,,Data calculated for Europe,
42,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for the Czech Republic,
43,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for Europe,
44,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
45,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
46,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
47,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
48,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
