,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Salinity,1.05,saline,-,-,
3,Shade,1.1,none,-,-,
4,Altitude: 2. minimum recorded (m),1.13,0,-,-,
5,Altitude: 4. typical minimum (m),1.14,0,-,-,
6,Status,2.01,native,-,-,
7,Range: 3. continents where native,2.11,Europe,-,-,
8,Range: 3. continents where native,2.11,North America,-,-,
9,SN Index,2.13,5.32,-,-,
10,EW Index,2.14,5.75,-,-,
11,number of European countries in which native,2.17,12,-,-,
12,Stems: 1. woodiness,3.01,non-woody,-,-,
13,Stems: 2. support,3.02,self-supporting,-,-,
14,Height: 3. typical maximum (cm),3.05,20,-,-,
15,Spread,3.07,height < width,-,-,
16,Heterophylly,3.08,none,-,-,
17,Leaf shape: 1. type,3.09,simple,-,-,
18,Leaf shape: 2. outline,3.1,toothed,-,-,
19,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
20,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
21,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
22,Leaf shape: 5. leaf base,3.13,truncate,-,-,
23,Photosynthetic pathway,4.02,C3,-,-,
24,Heavy metal resistance,4.05,none,-,-,
25,Carnivory,4.06,does not kill insects,-,-,
26,Nutrition,4.07,autotrophic,-,-,
27,Life-form,5.01,therophyte,-,-,
28,Longevity of stems (yrs),5.02,<1,-,-,
29,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
30,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
31,Flowering time: 1. earliest month,5.07,7,-,-,
32,Flowering time: 2. latest month,5.08,9,-,-,
33,Pollen vector,5.15,wind,-,-,
34,Dicliny,5.16,monoecious,-,-,
35,Dichogamy,5.17,homogamous,-,-,
36,Fertilization,5.19,normally self,-,-,
37,Chromosome number(s): 1. number,5.25,18,-,-,
38,Time of seed dispersal (season),5.28,autumn,-,-,
39,Seed size - length of longest axis (mm),5.31,3.0,seed,-,
40,Dispersal agent,5.38,water,-,-,
41,Time of germination (season),5.39,spring,-,-,
42,Germination requirements 3. temperature fluctuation,5.47,absolute,-,-,
43,Normal method of propagation,5.52,seed,-,-,
44,Flower colour,5.58,green,,,
45,Petal no,5.59,0,5,"tepals; 0, if female",
46,Petal (sepal) size (cm),5.6,0.32,0,0 if female,
47,Stigma number,5.61,2,0,0 if male,
48,Stamen number,5.62,4,"3-5, 0",,
49,Carpel/Style number,5.64,1,0,0 if male,
50,Inflorescence type,5.65,cyme,,"small, (glomerules) in branched inflorescences",
51,Rarity Status,7.02,Present,,,
52,Change Index,7.03,-0.93,,,
53,Biome,7.04,Boreo-Temperate,,,
54,Eastern Limit,7.05,Suboceanic,,,
55,Continentality,7.06,Not continental,,,
56,Northern Limit in Britain,7.07,No,,,
57,"Northern European Limit (Lat,5C band)",7.08,>65,,,
58,"Southern European Limit (Latitude, 5C band)",7.09,45-50,,,
59,Southern European Limit,7.1,No,,,
60,January mean temperature,7.11,4.2,,,
61,July mean temperature,7.12,14,,,
62,Annual precipitation,7.13,1163,,,
63,Ellenberg Indicator: Light,7.14,9,,,
64,Ellenberg : Moisture,7.15,6,,,
65,Ellenberg: pH,7.16,7,,,
66,Ellenberg Indicator: Nitrogen,7.17,8,,,
67,Ellenberg Indicator: Salt,7.18,3,,,
68,Life Form: normal state,7.19,Therophyte,,,
69,Clonality: normal state,7.21,Little or no vegetative spread,,,
