,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Salinity,1.05,salt-affected,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,435,-,-,
4,Altitude: 2. minimum recorded (m),1.13,0,-,-,
5,Altitude: 4. typical minimum (m),1.14,0,-,-,
6,Status,2.01,native,-,-,
7,First historical record: 1. date,2.04,1633,-,-,
8,Range: 3. continents where native,2.11,Africa,-,-,
9,Range: 3. continents where native,2.11,Asia,-,-,
10,Range: 3. continents where native,2.11,Europe,-,-,
11,Range: 4. continents where introduced,2.12,North America,-,-,
12,SN Index,2.13,3.2,-,-,
13,EW Index,2.14,4.44,-,-,
14,number of European countries in which native,2.17,33,-,-,
15,Stems: 1. woodiness,3.01,non-woody,-,-,
16,Stems: 2. support,3.02,procumbent,-,-,
17,Stems: 2. support,3.02,self-supporting,-,-,
18,Height: 3. typical maximum (cm),3.05,150,-,-,
19,Spread,3.07,height = width,-,-,
20,Heterophylly,3.08,none,-,-,
21,Leaf shape: 1. type,3.09,simple,-,-,
22,Leaf shape: 2. outline,3.1,entire,-,-,
23,Leaf shape: 2. outline,3.1,toothed,-,-,
24,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
25,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
26,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
27,Leaf area (cm2),3.17,10-100,-,-,
28,Leaf longevity: 1. type,3.22,aestival,-,-,
29,Photosynthetic pathway,4.02,C3,-,-,
30,Heavy metal resistance,4.05,none,-,-,
31,Carnivory,4.06,does not kill insects,-,-,
32,Nutrition,4.07,autotrophic,-,-,
33,Life-form,5.01,therophyte,-,-,
34,Longevity of stems (yrs),5.02,<1,-,-,
35,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
36,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
37,Flowering time: 1. earliest month,5.07,6,-,-,
38,Flowering time: 2. latest month,5.08,10,-,-,
39,Pollen: 2. diameter (um),5.13,25,,-,
40,Pollen vector,5.15,insect,-,-,
41,Pollen vector,5.15,wind,-,-,
42,Dicliny,5.16,monoecious,-,-,
43,Dichogamy,5.17,weakly protogynous,-,-,
44,Fertilization,5.19,normally self,-,-,
45,Incompatibility systems,5.22,none,-,-,
46,Chromosome number(s): 1. number,5.25,36,-,-,
47,2C DNA content (pg),5.26,4.3,2n=36,-,
48,Time of seed dispersal (season),5.28,autumn,-,-,
49,Seed size - length of longest axis (mm),5.31,2.0,black seeds,-,
50,Seed size - length of longest axis (mm),5.31,2.8,brown seeds,-,
51,Seed weight: 3. mean (mg),5.34,1.39,,,
52,Seed weight: 3. mean (mg),5.34,1.48,-,-,
53,Dispersal agent,5.38,unspecialised,-,-,
54,Time of germination (season),5.39,spring,some in autumn,-,
55,Maximum temperature at which 50% seeds germinate,5.42,23,-,-,
56,Minimum temperature at which 50% seeds germinate,5.44,10,-,-,
57,Germination requirements 1. chilling,5.45,absolute,-,-,
58,Germination requirements 3. temperature fluctuation,5.47,partial,required by small black seeds (seed is polymorphic),-,
59,Germination type,5.48,epigeal,-,-,
60,Seedbank longevity,5.5,>20 yrs,-,-,
61,Normal method of propagation,5.52,seed,-,-,
62,Seedbank type,5.53,long-term persistent,-,-,
63,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
64,Seedbank type,5.53,short-term persistent,-,-,
65,Seedbank type,5.53,transient,-,-,
66,Maximum seedbank density (m2),5.54,1141,-,-,
67,Minimum seedbank density (m2),5.55,4,-,-,
68,Mean seedbank density (m2),5.56,236,-,-,
69,Flower colour,5.58,green,,,
70,Petal no,5.59,0,5,"tepals; 0, if female",
71,Petal (sepal) size (cm),5.6,0.32,0,0 if female,
72,Stigma number,5.61,2,0,0 if male,
73,Stamen number,5.62,4,"3-5, 0",,
74,Carpel/Style number,5.64,1,0,0 if male,
75,Inflorescence type,5.65,cyme,,"small, (glomerules) in branched inflorescences",
76,Physical defences on leaves,6.02,soft hairs,sparsely distributed,-,
77,Physical defences on stems,6.03,soft hairs,sparse,-,
78,Rarity Status,7.02,Present,,,
79,Change Index,7.03,-0.34,,,
80,Biome,7.04,Wide Temperate,,,
81,Eastern Limit,7.05,Euro-Siberian,,,
82,Continentality,7.06,Not continental,,,
83,Northern Limit in Britain,7.07,No,,,
84,"Northern European Limit (Lat,5C band)",7.08,>65,,,
85,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
86,Southern European Limit,7.1,No,,,
87,January mean temperature,7.11,3.7,,,
88,July mean temperature,7.12,15,,,
89,Annual precipitation,7.13,1013,,,
90,Ellenberg Indicator: Light,7.14,6,,Data calculated for Europe,
91,Ellenberg Indicator: Light,7.14,7,,,
92,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
93,Ellenberg : Moisture,7.15,5,,,
94,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
95,Ellenberg : Moisture,7.15,5,,Data calculated for Europe,
96,Ellenberg: pH,7.16,7,,,
97,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
98,Ellenberg: pH,7.16,7,,Data calculated for Europe,
99,Ellenberg Indicator: Nitrogen,7.17,7,,,
100,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for the Czech Republic,
101,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for Europe,
102,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
103,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
104,Ellenberg Indicator: Salt,7.18,2,,,
105,Life Form: normal state,7.19,Therophyte,,,
106,Clonality: normal state,7.21,Little or no vegetative spread,,,
107,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
108,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
109,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
