,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 2. minimum recorded (m),1.13,0,-,-,
4,Altitude: 4. typical minimum (m),1.14,0,-,-,
5,Status,2.01,native,-,-,
6,First historical record: 1. date,2.04,1548,-,-,
7,Range: 3. continents where native,2.11,Asia,-,-,
8,Range: 3. continents where native,2.11,Europe,-,-,
9,SN Index,2.13,2.06,-,-,
10,EW Index,2.14,4.05,-,-,
11,number of European countries in which native,2.17,29,-,-,
12,Medicinal Use,2.18,asthma,,,
13,Medicinal Use,2.18,colds,,,
14,Medicinal Use,2.18,coughs,,,
15,Stems: 1. woodiness,3.01,non-woody,-,-,
16,Stems: 2. support,3.02,self-supporting,-,-,
17,Height: 3. typical maximum (cm),3.05,100,-,-,
18,Height: 4. typical minimum (cm),3.06,40,-,-,
19,Spread,3.07,height > width,-,-,
20,Heterophylly,3.08,none,-,-,
21,Leaf shape: 1. type,3.09,simple,-,-,
22,Leaf shape: 2. outline,3.1,crenate,-,-,
23,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
24,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
25,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
26,Leaf shape: 5. leaf base,3.13,cordate,-,-,
27,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
28,Leaf shape: 5. leaf base,3.13,rounded,-,-,
29,Leaf shape: 5. leaf base,3.13,truncate,-,-,
30,Leaf shape: 6. petiole,3.14,petiolate,-,-,
31,Leaf area (cm2),3.17,10-100,-,-,
32,Stomata: 1. surfaces present,3.19,lower,-,-,
33,Stomata: 2. density on lower surface(no/mm2),3.2,274,-,-,
34,Stomata: 3. density on upper surface (no/mm2),3.21,0,-,-,
35,Root depth: 2. depth (cm),3.26,>100,-,-,
36,Photosynthetic pathway,4.02,C3,-,-,
37,Heavy metal resistance,4.05,none,-,-,
38,Carnivory,4.06,does not kill insects,-,-,
39,Nutrition,4.07,autotrophic,-,-,
40,Life-form,5.01,hemicryptophyte,-,-,
41,Longevity of stems (yrs),5.02,<1,-,-,
42,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
43,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
44,Flowering time: 1. earliest month,5.07,6,-,-,
45,Flowering time: 2. latest month,5.08,10,-,-,
46,Pollen vector,5.15,insect,-,-,
47,Dicliny,5.16,gynodioecious,,-,
48,Dicliny,5.16,gynomonoecious,,-,
49,Dicliny,5.16,hermaphrodite,-,-,
50,Dichogamy,5.17,markedly protandrous,-,-,
51,Fertilization,5.19,cross or automatic self,-,-,
52,Incompatibility systems,5.22,none,-,-,
53,Chromosome number(s): 1. number,5.25,22,-,-,
54,Seed weight: 3. mean (mg),5.34,0.94,,,
55,Seed weight: 3. mean (mg),5.34,0.98,-,-,
56,Time of germination (season),5.39,autumn,,-,
57,Seedbank type,5.53,long-term persistent,-,-,
58,Seedbank type,5.53,short-term persistent,-,-,
59,Seedbank type,5.53,transient,-,-,
60,Maximum seedbank density (m2),5.54,1082,-,-,
61,Minimum seedbank density (m2),5.55,135,-,-,
62,Mean seedbank density (m2),5.56,548.25,-,-,
63,Flower colour,5.58,red-mauve,,,
64,Petal no,5.59,5,,fused,
65,Petal (sepal) size (cm),5.6,1.2,0.9-1.5,,
66,Stigma number,5.61,2,,,
67,Stamen number,5.62,4,,,
68,Sepal number,5.63,5,,fused,
69,Carpel/Style number,5.64,1,,,
70,Inflorescence type,5.65,whorl,,condensed cymes in axil of leaf pairs,
71,Physical defences on leaves,6.02,hairy,-,-,
72,Physical defences on stems,6.03,hairy,-,-,
73,Change Index,7.03,-0.37,,,
74,Biome,7.04,Southern Temperate,,,
75,Eastern Limit,7.05,European,,,
76,Continentality,7.06,Not continental,,,
77,Northern Limit in Britain,7.07,No,,,
78,Southern European Limit,7.1,No Data,,,
79,January mean temperature,7.11,3.8,,,
80,July mean temperature,7.12,16,,,
81,Annual precipitation,7.13,797,,,
82,Ellenberg Indicator: Light,7.14,7,,,
83,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
84,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
85,Ellenberg : Moisture,7.15,4,,,
86,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
87,Ellenberg : Moisture,7.15,5,,Data calculated for Europe,
88,Ellenberg: pH,7.16,7x,,Data calculated for the Czech Republic,
89,Ellenberg: pH,7.16,8,,,
90,Ellenberg: pH,7.16,,,Data calculated for Europe,
91,Ellenberg Indicator: Nitrogen,7.17,6,,,
92,Ellenberg Indicator: Nitrogen,7.17,8,,Data calculated for the Czech Republic,
93,Ellenberg Indicator: Nitrogen,7.17,8,,Data calculated for Europe,
94,Ellenberg Indicator: Salt,7.18,0,,,
95,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
96,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
97,Life Form: normal state,7.19,Hemicryptophyte,,,
98,Clonality: normal state,7.21,Rhizome far creeping,,,
99,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
100,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
101,Ellenberg: Continetality,7.24,5,,Data calculated for Europe,
