,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Soil moisture: 1. water table,1.02,periodically high,-,-,
3,Waterlogging tolerance,1.021,4.27,,,
4,Soil pH: 3. typical maximum,1.08,4,-,-,
5,Shade,1.1,none,-,-,
6,Shade tolerance,1.101,1.56,�0.19,,
7,Altitude: 1. maximum recorded (m),1.12,853,-,-,
8,Altitude: 1. maximum recorded (m),1.12,855,-,-,
9,Altitude: 1. maximum recorded (m),1.12,860,-,-,
10,Altitude: 2. minimum recorded (m),1.13,120,-,-,
11,Altitude: 2. minimum recorded (m),1.13,243,-,-,
12,Altitude: 2. minimum recorded (m),1.13,245,-,-,
13,Altitude: 4. typical minimum (m),1.14,300,-,-,
14,Status,2.01,native,-,-,
15,Typical abundance where naturally occurring,2.02,frequent,-,-,
16,First historical record: 1. date,2.04,1777,-,-,
17,First historical record: 2. site,2.05,"Breadalbane, Scotland",-,-,
18,Range: 3. continents where native,2.11,Asia,-,-,
19,Range: 3. continents where native,2.11,Europe,-,-,
20,SN Index,2.13,8.3,-,-,
21,EW Index,2.14,2.72,-,-,
22,British distribution (post 1949 records),2.15,93,-,-,
23,number of European countries in which native,2.17,14,-,-,
24,Stems: 1. woodiness,3.01,woody,-,-,
25,Stems: 2. support,3.02,self-supporting,-,-,
26,Height: 3. typical maximum (cm),3.05,100,-,-,
27,Spread,3.07,height < width,,-,
28,Heterophylly,3.08,none,-,-,
29,Leaf shape: 1. type,3.09,simple,-,-,
30,Leaf shape: 2. outline,3.1,crenate,-,-,
31,Leaf shape: 2. outline,3.1,crenate,-,-,
32,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
33,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
34,Leaf shape: 4. length versus breadth,3.12,length = width,,-,
35,Leaf shape: 5. leaf base,3.13,rounded,,-,
36,Leaf shape: 5. leaf base,3.13,rounded,-,-,
37,Leaf shape: 6. petiole,3.14,petiolate,,-,
38,Leaf shape: 7. minimum petiole length (mm),3.15,1,,-,
39,Leaf shape: 8. maximum petiole length (mm),3.16,3,,-,
