,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Shade,1.1,none,-,-,
2,Altitude: 1. maximum recorded (m),1.12,448,-,-,
3,Altitude: 2. minimum recorded (m),1.13,0,-,-,
4,Altitude: 4. typical minimum (m),1.14,0,-,-,
5,Status,2.01,native,-,-,
6,Typical abundance where naturally occurring,2.02,frequent,-,-,
7,First historical record: 1. date,2.04,1548,-,-,
8,Range: 3. continents where native,2.11,Africa,-,-,
9,Range: 3. continents where native,2.11,Asia,-,-,
10,Range: 3. continents where native,2.11,Europe,-,-,
11,Range: 4. continents where introduced,2.12,North America,-,-,
12,SN Index,2.13,3,-,-,
13,EW Index,2.14,4.26,-,-,
14,number of European countries in which native,2.17,32,-,-,
15,Stems: 1. woodiness,3.01,non-woody,-,-,
16,Stems: 2. support,3.02,twining,-,-,
17,Height: 3. typical maximum (cm),3.05,120,but depends on supporting vegetation,-,
18,Height: 4. typical minimum (cm),3.06,30,-,-,
19,Spread,3.07,height > width,-,-,
20,Heterophylly,3.08,none,-,-,
21,Leaf shape: 1. type,3.09,simple,-,-,
22,Leaf shape: 2. outline,3.1,entire,-,-,
23,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
24,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
25,Leaf shape: 5. leaf base,3.13,cordate,-,-,
26,Leaf shape: 5. leaf base,3.13,sagittate,-,-,
27,Leaf shape: 6. petiole,3.14,petiolate,-,-,
28,Leaf area (cm2),3.17,10-100,-,-,
29,Stomata: 1. surfaces present,3.19,both,-,-,
30,Stomata: 2. density on lower surface(no/mm2),3.2,138,-,-,
31,Stomata: 3. density on upper surface (no/mm2),3.21,19,-,-,
32,Leaf longevity: 1. type,3.22,aestival,-,-,
33,Root system,3.24,tap root,-,-,
34,Fine root diameter (um),3.27,<100,mean 54.4um,-,
35,Seedling growth rate - maximum (/d),4.01,0.274,-,-,
36,Photosynthetic pathway,4.02,C3,-,-,
37,Heavy metal resistance,4.05,none,-,-,
38,Carnivory,4.06,does not kill insects,-,-,
39,Nutrition,4.07,autotrophic,-,-,
40,Rgr max,4.12,1.92,�0.26,,
41,rgr,4.13,1.35,�0.08,,
42,Life-form,5.01,therophyte,-,-,
43,Longevity of stems (yrs),5.02,<1,-,-,
44,Age at first flowering,5.03,6-12 weeks,,-,
45,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
46,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
47,Flowering time: 1. earliest month,5.07,7,-,-,
48,Flowering time: 2. latest month,5.08,10,-,-,
49,Pollen vector,5.15,selfed,-,-,
50,Dicliny,5.16,hermaphrodite,-,-,
51,Dichogamy,5.17,homogamous,-,-,
52,Fertilization,5.19,normally self,-,-,
53,Incompatibility systems,5.22,none,-,-,
54,Chromosome number(s): 1. number,5.25,40,,-,
55,Chromosome number(s): 1. number,5.25,40,-,-,
56,2C DNA content (pg),5.26,1.44,-,-,
57,Time of seed dispersal (season),5.28,autumn,-,-,
58,Time of seed dispersal (season),5.28,summer,August-,-,
59,Dispersule size - length of longest axis (mm),5.3,4.0,nut,-,
60,Seed size - length of longest axis (mm),5.31,4.0,nut,-,
61,Seed weight: 3. mean (mg),5.34,1.28,-,-,
62,Seed weight: 3. mean (mg),5.34,3.42,,,
63,Seed weight: 3. mean (mg),5.34,5.84,,,
64,Seed weight: 3. mean (mg),5.34,6.9,,,
65,Seed production: 1. maximum (/flower),5.35,1,,-,
66,Seed production: 2. typical range (/flower),5.36,1,,-,
67,Seed production: 3. typical range (/plant),5.37,>10000,,-,
68,Dispersal agent,5.38,man,seed contaminates cereal,-,
69,Dispersal agent,5.38,water,,-,
70,Time of germination (season),5.39,autumn,-,-,
71,Time of germination (season),5.39,spring,-,-,
72,After-ripening requirement,5.4,absolute,-,-,
73,Germination requirements 1. chilling,5.45,absolute,-,-,
74,Germination requirements 1. chilling,5.45,partial,-,-,
75,Germination requirements 2. light,5.46,none,,-,
76,Germination requirements 3. temperature fluctuation,5.47,none,-,-,
77,Germination type,5.48,epigeal,-,-,
78,Normal method of propagation,5.52,seed,-,-,
79,Seedbank type,5.53,long-term persistent,-,-,
80,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
81,Seedbank type,5.53,short-term persistent,-,-,
82,Seedbank type,5.53,transient,-,-,
83,Maximum seedbank density (m2),5.54,900,-,-,
84,Minimum seedbank density (m2),5.55,9,-,-,
85,Mean seedbank density (m2),5.56,203,-,-,
86,Stigma number,5.61,3,,,
87,Inflorescence type,5.65,panicle,simple,"terminal, axillary",
88,Change Index,7.03,-1.31,,,
89,Biome,7.04,Wide Temperate,,,
90,Eastern Limit,7.05,Euro-Siberian,,,
91,Continentality,7.06,Not continental,,,
92,Northern Limit in Britain,7.07,No,,,
93,Southern European Limit,7.1,No Data,,,
94,January mean temperature,7.11,3.7,,,
95,July mean temperature,7.12,15,,,
96,Annual precipitation,7.13,971,,,
97,Ellenberg Indicator: Light,7.14,7,,,
98,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
99,Ellenberg Indicator: Light,7.14,7x,,Data calculated for the Czech Republic,
100,Ellenberg : Moisture,7.15,4,,,
101,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
102,Ellenberg : Moisture,7.15,5,,Data calculated for Europe,
