,Name,Number,Value,Modifier,Notes,Subspecies
0,Shade,1.1,none,-,-,
1,Status,2.01,naturalised,-,-,
2,Typical abundance where naturally occurring,2.02,frequent,-,-,
3,SN Index,2.13,3.48,-,-,
4,EW Index,2.14,4.3,-,-,
5,Stems: 1. woodiness,3.01,non-woody,-,-,
6,Stems: 2. support,3.02,self-supporting,-,-,
7,Height: 3. typical maximum (cm),3.05,100,-,-,
8,Spread,3.07,height > width,-,-,
9,Heterophylly,3.08,developmental,-,-,
10,Leaf shape: 1. type,3.09,simple,-,-,
11,Leaf shape: 2. outline,3.1,lobed and toothed,-,-,
12,Leaf shape: 2. outline,3.1,toothed,-,-,
13,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
14,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
15,Leaf shape: 5. leaf base,3.13,sagittate,-,-,
16,Leaf shape: 5. leaf base,3.13,truncate,-,-,
17,Leaf shape: 6. petiole,3.14,clasping,-,-,
18,Leaf shape: 6. petiole,3.14,connate,-,-,
19,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
20,Root system,3.24,tap root,-,-,
21,Photosynthetic pathway,4.02,C3,-,-,
22,Heavy metal resistance,4.05,none,-,-,
23,Carnivory,4.06,does not kill insects,-,-,
24,Nutrition,4.07,autotrophic,-,-,
25,Life-form,5.01,chamaephyte,-,-,
26,Life-form,5.01,therophyte,-,-,
27,Mono/poly-carpic,5.04,monocarpic,-,-,
28,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
29,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
30,Flowering time: 1. earliest month,5.07,5,-,-,
31,Flowering time: 2. latest month,5.08,8,-,-,
32,Pollen: 2. diameter (um),5.13,22.8,,,
33,Pollen vector,5.15,insect,-,-,
34,Dichogamy,5.17,weakly protogynous,-,-,
35,Chromosome number(s): 1. number,5.25,38,,-,
36,Chromosome number(s): 1. number,5.25,38,vc 9,-,
37,2C DNA content (pg),5.26,2.3,2n=38,,
38,2C DNA content (pg),5.26,3.2,-,-,
39,Dispersule size - length of longest axis (mm),5.3,2.0,seed,-,
40,Seed size - length of longest axis (mm),5.31,2.0,seed,-,
41,Seed weight: 3. mean (mg),5.34,3.3,,,
42,Normal method of propagation,5.52,seed,-,-,
43,Seedbank type,5.53,long-term persistent,-,-,
44,Flower colour,5.58,yellow,,,
45,Petal no,5.59,4,,,
46,Petal (sepal) size (cm),5.6,1.45,1.1-1.8,,
47,Stigma number,5.61,2,capitate,,
48,Stamen number,5.62,6,,,
49,Sepal number,5.63,4,,,
50,Carpel/Style number,5.64,1,,,
51,Inflorescence type,5.65,raceme,,,
52,Physical defences on leaves,6.02,glabrous,-,-,
53,Physical defences on stems,6.03,glabrous,-,-,
54,Physical defences on stems,6.03,stiff hairs,below,-,
55,Change Index,7.03,2.88,,,
56,Biome,7.04,Mediterranean,,,
57,Eastern Limit,7.05,Hyperoceanic,,,
58,Continentality,7.06,Not continental,,,
59,Northern Limit in Britain,7.07,No,,,
60,Southern European Limit,7.1,No Data,,,
61,January mean temperature,7.11,3.6,,,
62,July mean temperature,7.12,15,,,
63,Annual precipitation,7.13,914,,,
64,Ellenberg Indicator: Light,7.14,7,,,
65,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
66,Ellenberg Indicator: Light,7.14,,,Data calculated for Europe,
67,Ellenberg : Moisture,7.15,4,,,
68,Ellenberg : Moisture,7.15,6,,Data calculated for the Czech Republic,
69,Ellenberg : Moisture,7.15,,,Data calculated for Europe,
70,Ellenberg: pH,7.16,7,,,
71,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
72,Ellenberg: pH,7.16,,,Data calculated for Europe,
73,Ellenberg Indicator: Nitrogen,7.17,7,,,
74,Ellenberg Indicator: Nitrogen,7.17,8,,Data calculated for the Czech Republic,
75,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
76,Ellenberg Indicator: Salt,7.18,0,,,
77,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
78,Ellenberg Indicator: Salt,7.18,,,Data calculated for Europe,
79,Life Form: normal state,7.19,Therophyte,,,
80,Life Form: less frequent state,7.2,Hemicryptophyte,,,
81,Clonality: normal state,7.21,Little or no vegetative spread,,,
82,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
83,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
84,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
