,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil moisture: 2. drainage,1.03,free-draining,-,-,
2,Soil pH: 1. extreme maximum,1.06,7.2,-,-,
3,Soil pH: 2. extreme minimum,1.07,4.7,-,-,
4,Shade,1.1,none,-,-,
5,Altitude: 1. maximum recorded (m),1.12,152,-,-,
6,Altitude: 2. minimum recorded (m),1.13,0,-,-,
7,Altitude: 4. typical minimum (m),1.14,0,-,-,
8,Status,2.01,native,possibly,-,
9,Typical abundance where naturally occurring,2.02,scattered,-,-,
10,First historical record: 1. date,2.04,1551,-,-,
11,First historical record: 2. site,2.05,Dover,-,-,
12,Range: 3. continents where native,2.11,Europe,-,-,
13,SN Index,2.13,2.05,-,-,
14,EW Index,2.14,4.9,-,-,
15,British distribution (post 1949 records),2.15,55,-,-,
16,number of European countries in which native,2.17,4,-,-,
17,Stems: 1. woodiness,3.01,woody at base,-,-,
18,Stems: 2. support,3.02,decumbent,-,-,
19,Height: 3. typical maximum (cm),3.05,120,-,-,
20,Spread,3.07,height > width,-,-,
21,Heterophylly,3.08,developmental,-,-,
22,Leaf shape: 1. type,3.09,simple,-,-,
23,Leaf shape: 2. outline,3.1,lobed and toothed,-,-,
24,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
25,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
26,Leaf shape: 5. leaf base,3.13,not applicable,compound leaves,-,
27,Leaf shape: 6. petiole,3.14,petiolate,-,-,
28,Leaf shape: 6. petiole,3.14,sessile,-,-,
29,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
30,Stomata: 1. surfaces present,3.19,both,-,-,
31,Stomata: 2. density on lower surface(no/mm2),3.2,226,-,-,
32,Stomata: 3. density on upper surface (no/mm2),3.21,141,-,-,
33,Leaf longevity: 1. type,3.22,evergreen,-,-,
34,Leaf longevity: 2. number of months,3.23,2-6,-,-,
35,Root system,3.24,tap root,-,-,
36,Root depth: 1. type,3.25,deep,-,-,
37,Photosynthetic pathway,4.02,C3,-,-,
38,Heavy metal resistance,4.05,none,-,-,
39,Carnivory,4.06,does not kill insects,-,-,
40,Nutrition,4.07,autotrophic,-,-,
41,Response to drought,4.08,resists,-,-,
42,Response to frost (non-woody tissue),4.09,resistant,-,-,
43,Life-form,5.01,chamaephyte,-,-,
44,Longevity of stems (yrs),5.02,2-10,-,-,
45,Age at first flowering,5.03,2-5 yrs,-,-,
46,Mono/poly-carpic,5.04,polycarpic,-,-,
47,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
48,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
49,Flowering time: 1. earliest month,5.07,5,-,-,
50,Flowering time: 2. latest month,5.08,8,-,-,
51,Pollen vector,5.15,insect,-,-,
52,Dicliny,5.16,hermaphrodite,-,-,
53,Dichogamy,5.17,homogamous,-,-,
54,Fertilization,5.19,obligatory cross,-,-,
55,Fertilization,5.19,obligatory cross,-,-,
56,Incompatibility systems,5.22,multi-allelic sporophytic,-,-,
57,Incompatibility systems,5.22,multi-allelic sporophytic,-,-,
58,Chromosome number(s): 1. number,5.25,18,,-,
59,2C DNA content (pg),5.26,1.55,,,
60,2C DNA content (pg),5.26,1.8,-,-,
61,Time of seed dispersal (season),5.28,autumn,September,-,
62,Annual seed dispersal,5.29,regular,-,-,
63,Dispersule size - length of longest axis (mm),5.3,1.9,seed,-,
64,Seed size - length of longest axis (mm),5.31,1.9,seed,-,
65,Seed weight: 3. mean (mg),5.34,2.8,-,-,
66,Seed weight: 3. mean (mg),5.34,3.95,,,
67,Seed production: 1. maximum (/flower),5.35,32,-,-,
68,Seed production: 2. typical range (/flower),5.36,10-100,-,-,
69,Seed production: 3. typical range (/plant),5.37,>10000,less in some habitats,-,
70,Seed production: 3. typical range (/plant),5.37,>10000,-,-,
71,Dispersal agent,5.38,carried by birds,possibly gulls,-,
72,Dispersal agent,5.38,unspecialised,-,-,
73,Time of germination (season),5.39,autumn,on disturbed ground seedlings may be observed at any time of year,-,
74,Germination requirements 1. chilling,5.45,partial,increases % germination,-,
75,Germination requirements 1. chilling,5.45,partial,-,-,
76,Normal method of propagation,5.52,seed,-,-,
77,Seedbank type,5.53,transient,-,-,
78,Flower colour,5.58,yellow,,,
79,Petal no,5.59,4,,,
80,Petal (sepal) size (cm),5.6,2.1,1.2-3.0,,
81,Stigma number,5.61,2,capitate,,
82,Stamen number,5.62,6,,,
83,Sepal number,5.63,4,,,
84,Carpel/Style number,5.64,1,,,
85,Inflorescence type,5.65,raceme,,,
86,Physical defences on leaves,6.02,glabrous,-,-,
87,Rarity Status,7.02,Scarce,,,
88,Change Index,7.03,0.90,,,
89,Biome,7.04,Southern Temperate,,,
90,Eastern Limit,7.05,Suboceanic,,,
91,Continentality,7.06,Not continental,,,
92,Northern Limit in Britain,7.07,Yes,,,
93,"Northern European Limit (Lat,5C band)",7.08,50-55,,,
94,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
95,Southern European Limit,7.1,No,,,
96,January mean temperature,7.11,4.9,,,
97,July mean temperature,7.12,16,,,
98,Annual precipitation,7.13,922,,,
99,Ellenberg Indicator: Light,7.14,8,,,
100,Ellenberg : Moisture,7.15,4,,,
101,Ellenberg: pH,7.16,7,,,
102,Ellenberg Indicator: Nitrogen,7.17,8,,,
103,Ellenberg Indicator: Salt,7.18,3,,,
104,Life Form: normal state,7.19,Nanophanerophyte,,,
105,Clonality: normal state,7.21,Little or no vegetative spread,,,
