,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Shade,1.1,none,-,-,
3,Status,2.01,native,-,-,
4,Typical abundance where naturally occurring,2.02,frequent,-,-,
5,First historical record: 1. date,2.04,1778,-,-,
6,First historical record: 2. site,2.05,"Bath, Avon",-,-,
7,Range: 3. continents where native,2.11,Africa,-,-,
8,Range: 3. continents where native,2.11,Asia,-,-,
9,Range: 3. continents where native,2.11,Europe,-,-,
10,Range: 3. continents where native,2.11,Macaronesia,-,-,
11,SN Index,2.13,.9,-,-,
12,EW Index,2.14,7.68,-,-,
13,British distribution (post 1949 records),2.15,38,-,-,
14,number of European countries in which native,2.17,14,-,-,
15,Stems: 1. woodiness,3.01,non-woody,-,-,
16,Stems: 2. support,3.02,self-supporting,-,-,
17,Height: 3. typical maximum (cm),3.05,50,-,-,
18,Height: 4. typical minimum (cm),3.06,10,-,-,
19,Spread,3.07,height = width,-,-,
20,Heterophylly,3.08,none,-,-,
21,Leaf shape: 1. type,3.09,simple,-,-,
22,Leaf shape: 2. outline,3.1,entire,-,-,
23,Leaf shape: 2. outline,3.1,entire,,,
24,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
25,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
26,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
27,Leaf shape: 6. petiole,3.14,sheathing,-,-,
28,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
29,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
30,Leaf area (cm2),3.17,1-10,-,-,
31,Root system,3.24,fibrous,,,
32,Photosynthetic pathway,4.02,C3,-,-,
33,Heavy metal resistance,4.05,none,-,-,
34,Carnivory,4.06,does not kill insects,-,-,
35,Nutrition,4.07,autotrophic,-,-,
36,Life-form,5.01,therophyte,-,-,
37,Longevity of stems (yrs),5.02,<1,-,-,
38,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
39,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
40,Flowering time: 1. earliest month,5.07,7,-,-,
41,Flowering time: 2. latest month,5.08,7,-,-,
42,Pollen vector,5.15,wind,-,-,
43,Dicliny,5.16,hermaphrodite,-,-,
44,Fertilization,5.19,normally self,-,-,
45,Incompatibility systems,5.22,none,-,-,
46,Chromosome number(s): 1. number,5.25,10,,-,
47,2C DNA content (pg),5.26,5.80,2n=10,,
48,Seed size - length of longest axis (mm),5.31,1.5,caryopsis,-,
49,Seed weight: 3. mean (mg),5.34,0.35,,,
50,Seed weight: 3. mean (mg),5.34,0.6,-,-,
51,Seed production: 2. typical range (/flower),5.36,1-10,seeds/spikelet,-,
52,Time of germination (season),5.39,autumn,-,-,
53,Normal method of propagation,5.52,seed,-,-,
54,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
55,Maximum seedbank density (m2),5.54,620,-,-,
56,Minimum seedbank density (m2),5.55,420,-,-,
57,Mean seedbank density (m2),5.56,520,-,-,
58,Flower colour,5.58,green,"brown, purple, white",,
59,Petal no,5.59,0,,,
60,Petal (sepal) size (cm),5.6,0,,,
61,Stigma number,5.61,2,,,
62,Stamen number,5.62,3,,,
63,Sepal number,5.63,0,,,
64,Carpel/Style number,5.64,2,,,
65,Inflorescence type,5.65,panicle,,"loose, obovate",
66,"Glume, upper",5.66,0.275,0.2-0.35,"apex hooded, 3-5 nerved",
67,Glume lower,5.67,0.275,0.2-0.35,"apex hooded, 3-5 nerved",
68,Palea,5.68,0.2,,flat,
69,Lemma,5.69,0.275,0.2-0.35,"broad cordate, rounded, concave, 5-9 nerved",
70,Physical defences on leaves,6.02,glabrous,-,-,
71,Physical defences on flowers/fruits,6.04,soft hairs,lemma,-,
72,Change Index,7.03,0.28,,,
73,Biome,7.04,Mediterranean-Atlantic,,,
74,Eastern Limit,7.05,Oceanic,,,
75,Continentality,7.06,Not continental,,,
76,Northern Limit in Britain,7.07,No,,,
77,Southern European Limit,7.1,No Data,,,
78,January mean temperature,7.11,5.2,,,
79,July mean temperature,7.12,16,,,
80,Annual precipitation,7.13,919,,,
81,Ellenberg Indicator: Light,7.14,7,,,
82,Ellenberg : Moisture,7.15,4,,,
83,Ellenberg: pH,7.16,5,,,
84,Ellenberg Indicator: Nitrogen,7.17,5,,,
85,Ellenberg Indicator: Salt,7.18,0,,,
86,Life Form: normal state,7.19,Therophyte,,,
87,Clonality: normal state,7.21,Little or no vegetative spread,,,
