,Name,Number,Value,Modifier,Notes,Subspecies
0,Shade,1.1,none,-,-,
1,Status,2.01,native,-,-,
2,Dynamics,2.03,declining,-,-,
3,Range: 3. continents where native,2.11,Africa,-,-,
4,Range: 3. continents where native,2.11,Asia,-,-,
5,Range: 3. continents where native,2.11,Europe,-,-,
6,Range: 4. continents where introduced,2.12,North America,-,-,
7,SN Index,2.13,1.65,-,-,
8,EW Index,2.14,3.71,-,-,
9,number of European countries in which native,2.17,21,-,-,
10,Stems: 1. woodiness,3.01,non-woody,-,-,
11,Stems: 2. support,3.02,self-supporting,-,-,
12,Height: 3. typical maximum (cm),3.05,120,-,-,
13,Height: 4. typical minimum (cm),3.06,40,-,-,
14,Spread,3.07,height = width,-,-,
15,Heterophylly,3.08,none,-,-,
16,Leaf shape: 1. type,3.09,simple,-,-,
17,Leaf shape: 2. outline,3.1,entire,-,-,
18,Leaf shape: 2. outline,3.1,entire,,,
19,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
20,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
21,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
22,Leaf shape: 6. petiole,3.14,sheathing,-,-,
23,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
24,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
25,Leaf area (cm2),3.17,10-100,-,-,
26,Root system,3.24,fibrous,,,
27,Ligule,3.33,0.35,0.1-0.4,"blunt, becoming torn",
28,Photosynthetic pathway,4.02,C3,-,-,
29,Heavy metal resistance,4.05,none,-,-,
30,Carnivory,4.06,does not kill insects,-,-,
31,Nutrition,4.07,autotrophic,-,-,
32,Life-form,5.01,therophyte,-,-,
33,Longevity of stems (yrs),5.02,<1,-,-,
34,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
35,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
36,Flowering time: 1. earliest month,5.07,6,-,-,
37,Flowering time: 2. latest month,5.08,6,-,-,
38,Pollen vector,5.15,wind,-,-,
39,Dicliny,5.16,hermaphrodite,-,-,
40,Incompatibility systems,5.22,none,-,-,
41,Chromosome number(s): 1. number,5.25,28,,-,
42,2C DNA content (pg),5.26,21.7,2n=28,-,
43,Seed weight: 3. mean (mg),5.34,2.582,,,
44,Seed weight: 3. mean (mg),5.34,4.65,,,
45,Normal method of propagation,5.52,seed,-,-,
46,Flower colour,5.58,green,"brown, purple, white",,
47,Petal no,5.59,0,,,
48,Petal (sepal) size (cm),5.6,0,,,
49,Stigma number,5.61,2,,,
50,Stamen number,5.62,3,,,
51,Sepal number,5.63,0,,,
52,Carpel/Style number,5.64,2,,,
53,Inflorescence type,5.65,panicle,,"loose, open, eventually drooping to one side",
54,"Glume, upper",5.66,0.75,0.6-0.9,"elliptic, acute, 5-9 nerved",
55,Glume lower,5.67,0.6,0.5-0.7,"oblong-lanceolate, acute, 3-5 nerved",
56,Palea,5.68,0.8,,,
57,Lemma,5.69,0.95,0.8-1.1,"elliptic to obovate, obtuse, toothed, 7-11 nerved",
58,Rarity Status,7.02,Present,,,
59,Change Index,7.03,1.07,,,
60,Biome,7.04,Temperate,,,
61,Eastern Limit,7.05,European,,,
62,Continentality,7.06,Not continental,,,
63,Northern Limit in Britain,7.07,Yes,,,
64,"Northern European Limit (Lat,5C band)",7.08,55-60,,,
65,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
66,Southern European Limit,7.1,No,,,
67,January mean temperature,7.11,3.9,,,
68,July mean temperature,7.12,16,,,
69,Annual precipitation,7.13,772,,,
70,Ellenberg Indicator: Light,7.14,6,,Data calculated for Europe,
71,Ellenberg Indicator: Light,7.14,7,,,
72,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
73,Ellenberg : Moisture,7.15,4,,,
74,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
75,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
76,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
77,Ellenberg: pH,7.16,7,,Data calculated for Europe,
78,Ellenberg: pH,7.16,8,,,
79,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for Europe,
80,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for the Czech Republic,
81,Ellenberg Indicator: Nitrogen,7.17,6,,,
82,Ellenberg Indicator: Salt,7.18,0,,,
83,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
84,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
85,Life Form: normal state,7.19,Therophyte,,,
86,Clonality: normal state,7.21,Little or no vegetative spread,,,
87,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
88,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
89,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
