,Name,Number,Value,Modifier,Notes,Subspecies
0,Shade,1.1,none,-,-,
1,Status,2.01,native,-,-,
2,Typical abundance where naturally occurring,2.02,scattered,-,-,
3,Range: 3. continents where native,2.11,Europe,-,-,
4,number of European countries in which native,2.17,2,-,-,
5,Stems: 1. woodiness,3.01,non-woody,-,-,
6,Stems: 2. support,3.02,self-supporting,-,-,
7,Height: 3. typical maximum (cm),3.05,60,-,-,
8,Height: 4. typical minimum (cm),3.06,30,-,-,
9,Spread,3.07,height = width,-,-,
10,Heterophylly,3.08,none,-,-,
11,Leaf shape: 1. type,3.09,simple,-,-,
12,Leaf shape: 2. outline,3.1,entire,-,-,
13,Leaf shape: 2. outline,3.1,entire,,,
14,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
15,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
16,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
17,Leaf shape: 6. petiole,3.14,sheathing,-,-,
18,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
19,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
20,Root system,3.24,fibrous,,,
21,Ligule,3.33,,,membrane,
22,Photosynthetic pathway,4.02,C3,-,-,
23,Heavy metal resistance,4.05,none,-,-,
24,Carnivory,4.06,does not kill insects,-,-,
25,Nutrition,4.07,autotrophic,-,-,
26,Life-form,5.01,therophyte,-,-,
27,Longevity of stems (yrs),5.02,<1,-,-,
28,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
29,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
30,Flowering time: 1. earliest month,5.07,6,-,-,
31,Flowering time: 2. latest month,5.08,7,-,-,
32,Pollen vector,5.15,wind,-,-,
33,Chromosome number(s): 1. number,5.25,14,-,-,
34,Seed weight: 3. mean (mg),5.34,2.9644,,,
35,Normal method of propagation,5.52,seed,-,-,
36,Flower colour,5.58,green,"brown, purple, white",,
37,Petal no,5.59,0,,,
38,Petal (sepal) size (cm),5.6,0,,,
39,Stigma number,5.61,2,,,
40,Stamen number,5.62,3,,,
41,Sepal number,5.63,0,,,
42,Carpel/Style number,5.64,2,,,
43,Inflorescence type,5.65,panicle,,lanceolate,
44,"Glume, upper",5.66,0.3,,"ovate, acute, 5-7 nerved",
45,Glume lower,5.67,0.4,,"elliptic, acute, 3 nerved",
46,Lemma,5.69,0.55,0.5-0.6,"oblong, 7-nerved, awn subapical, 0.3-0.6",
47,Physical defences on leaves,6.02,soft hairs,-,-,
