,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Waterlogging tolerance,1.021,1.04,,,
3,Shade,1.1,light,-,-,
4,Shade,1.1,none,-,-,
5,Shade tolerance,1.101,1.56,�0.19,,
6,Status,2.01,naturalised,-,-,
7,Typical abundance where naturally occurring,2.02,dominant,-,-,
8,Dynamics,2.03,increasing,-,-,
9,First historical record: 1. date,2.04,1890,date of introduction,-,
10,Range: 3. continents where native,2.11,Asia,-,-,
11,Range: 4. continents where introduced,2.12,Europe,-,-,
12,SN Index,2.13,1.75,-,-,
13,EW Index,2.14,5.07,-,-,
14,Stems: 1. woodiness,3.01,woody,-,-,
15,Stems: 2. support,3.02,self-supporting,-,-,
16,Height: 3. typical maximum (cm),3.05,500,-,-,
17,Height: 4. typical minimum (cm),3.06,100,-,-,
18,Spread,3.07,height = width,-,-,
19,Heterophylly,3.08,none,-,-,
20,Leaf shape: 1. type,3.09,simple,-,-,
21,Leaf shape: 2. outline,3.1,toothed,-,-,
22,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
23,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
24,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
25,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
26,Leaf shape: 6. petiole,3.14,petiolate,-,-,
27,Leaf area (cm2),3.17,100-1000,-,-,
28,"Stomata 4: density, surface indeterminate (no/mm2)",3.2110000000000003,170,� 14,,
29,Photosynthetic pathway,4.02,C3,-,-,
30,Heavy metal resistance,4.05,none,-,-,
31,Carnivory,4.06,does not kill insects,-,-,
32,Nutrition,4.07,autotrophic,-,-,
33,Drought Tolerance,4.081,3.46,�0.42,,
34,Life-form,5.01,phanerophyte,-,-,
35,Mono/poly-carpic,5.04,polycarpic,-,-,
36,Flowering time: 1. earliest month,5.07,6,-,-,
37,Flowering time: 2. latest month,5.08,10,-,-,
38,Pollen: 2. diameter (um),5.13,20.5,var. veitchiana,-,
39,Pollen vector,5.15,insect,-,-,
40,Dicliny,5.16,hermaphrodite,-,-,
41,Chromosome number(s): 1. number,5.25,76,-,-,
42,2C DNA content (pg),5.26,2.74,2n=76,,
43,Seed weight: 3. mean (mg),5.34,0.1,,,
44,Flower colour,5.58,lilac,"purple, white",,
45,Petal no,5.59,4,,,
46,Petal (sepal) size (cm),5.6,1,,,
47,Stigma number,5.61,1,,,
48,Stamen number,5.62,4,,,
49,Sepal number,5.63,4,,,
50,Carpel/Style number,5.64,1,,,
51,Inflorescence type,5.65,cyme,,"dense, forming interrupted panicles",
52,Physical defences on leaves,6.02,dense hairs,lower epidermis,-,
53,Physical defences on leaves,6.02,glabrous,upper epidermis,-,
54,Physical defences on stems,6.03,soft hairs,-,-,
55,Change Index,7.03,3.73,,,
56,Biome,7.04,Mediterranean,,,
57,Eastern Limit,7.05,Hyperoceanic,,,
58,Continentality,7.06,Not continental,,,
59,Northern Limit in Britain,7.07,No,,,
60,Southern European Limit,7.1,No Data,,,
61,January mean temperature,7.11,3.9,,,
62,July mean temperature,7.12,15,,,
63,Annual precipitation,7.13,930,,,
64,Ellenberg Indicator: Light,7.14,7,,,
65,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
66,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
67,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
68,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
69,Ellenberg : Moisture,7.15,5,,,
70,Ellenberg: pH,7.16,7,,,
71,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
72,Ellenberg: pH,7.16,7,,Data calculated for Europe,
73,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for the Czech Republic,
74,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for Europe,
75,Ellenberg Indicator: Nitrogen,7.17,5,,,
76,Ellenberg Indicator: Salt,7.18,0,,,
77,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
78,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
79,Life Form: normal state,7.19,Mega- meso- and micro- phanerophyte,,,
80,Clonality: normal state,7.21,Little or no vegetative spread,,,
81,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
82,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
83,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
