,Name,Number,Value,Modifier,Notes,Subspecies
0,Shade,1.1,none,-,-,
1,Status,2.01,native,-,-,
2,First historical record: 1. date,2.04,1885,-,-,
3,First historical record: 2. site,2.05,"Loch Duran, Caithness",-,-,
4,Range: 3. continents where native,2.11,Europe,-,-,
5,SN Index,2.13,5.14,-,-,
6,EW Index,2.14,5.4,-,-,
7,number of European countries in which native,2.17,1,-,-,
8,Stems: 1. woodiness,3.01,non-woody,-,-,
9,Stems: 2. support,3.02,self-supporting,-,-,
10,Height: 3. typical maximum (cm),3.05,100,-,-,
11,Height: 4. typical minimum (cm),3.06,10,-,-,
12,Spread,3.07,height = width,-,-,
13,Heterophylly,3.08,none,-,-,
14,Leaf shape: 1. type,3.09,simple,-,-,
15,Leaf shape: 2. outline,3.1,entire,-,-,
16,Leaf shape: 2. outline,3.1,entire,,,
17,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
18,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
19,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
20,Leaf shape: 6. petiole,3.14,sheathing,-,-,
21,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
22,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
23,Leaf area (cm2),3.17,1-10,-,-,
24,Root system,3.24,fibrous,,,
25,Leaf folding,3.31,rolled,,,
26,Ligule,3.33,0.3,,,
27,Photosynthetic pathway,4.02,C3,-,-,
28,Heavy metal resistance,4.05,none,-,-,
29,Carnivory,4.06,does not kill insects,-,-,
30,Nutrition,4.07,autotrophic,-,-,
31,Life-form,5.01,hemicryptophyte,-,-,
32,Longevity of stems (yrs),5.02,<1,-,-,
33,Flowering time: 1. earliest month,5.07,7,-,-,
34,Flowering time: 2. latest month,5.08,7,-,-,
35,Pollen: 2. diameter (um),5.13,37,-,-,
36,Pollen vector,5.15,wind,-,-,
37,Dicliny,5.16,hermaphrodite,-,-,
38,Flower colour,5.58,green,"brown, purple, white",,
39,Petal no,5.59,0,,,
40,Petal (sepal) size (cm),5.6,5,,,
41,Stigma number,5.61,4,,,
42,Stamen number,5.62,3,,,
43,Sepal number,5.63,0,,,
44,Carpel/Style number,5.64,4,,,
45,Inflorescence type,5.65,panicle,,narrowly oblong to lanceolate,
46,"Glume, upper",5.66,0.5,,"narrowly lanceolate, acute, 3-nerved",
47,Glume lower,5.67,0.5,,"narrowly lanceolate, acute, 1-nerved",
48,Palea,5.68,0.25,,bifid,
49,Lemma,5.69,0.3,,"ovate, truncate, minutely toothed, awn dorsal-basal, 0.25",
50,Physical defences on leaves,6.02,glabrous,-,-,
51,Conservation Status,7.01,Vulnerable,,,
52,Rarity Status,7.02,Rare,,,
53,Biome,7.04,Boreal montane,,,
54,Eastern Limit,7.05,Oceanic,,,
55,Continentality,7.06,Not continental,,,
56,Northern Limit in Britain,7.07,No,,,
57,Southern European Limit,7.1,No Data,,,
58,January mean temperature,7.11,3.6,,,
59,July mean temperature,7.12,13,,,
60,Annual precipitation,7.13,888,,,
61,Ellenberg Indicator: Light,7.14,8,,,
62,Ellenberg : Moisture,7.15,8,,,
63,Ellenberg: pH,7.16,6,,,
64,Ellenberg Indicator: Nitrogen,7.17,4,,,
65,Ellenberg Indicator: Salt,7.18,0,,,
66,Life Form: normal state,7.19,Hemicryptophyte,,,
67,Clonality: normal state,7.21,Rhizome shortly creeping,,,
