,Name,Number,Value,Modifier,Notes,Subspecies
0,Water nutrients,1.01A,eutrophic,-,-,
1,Water nutrients,1.01A,eutrophic,-,-,
2,Water nutrients,1.01A,mesotrophic,-,-,
3,Water nutrients,1.01A,mesotrophic,-,-,
4,Water nutrients,1.01A,oligotrophic,-,-,
5,Salinity,1.05,fresh,-,-,
6,Salinity,1.05,salt-affected,-,-,
7,Shade,1.10,none,-,-,
8,Altitude: 1. maximum recorded (m),1.12,610,-,-,
9,Altitude: 1. maximum recorded (m),1.12,890,-,-,
10,Flow,1.15A,mid,-,-,
11,Flow,1.15A,nil,-,-,
12,Flow,1.15A,rapid,-,-,
13,Flow,1.15A,slight,-,-,
14,Status,2.01,native,-,-,
15,Dynamics,2.03,stable,-,-,
16,Range: 3. continents where native,2.11,Africa,-,-,
17,Range: 3. continents where native,2.11,Europe,-,-,
18,SN Index,2.13,3.31,-,-,
19,EW Index,2.14,6.17,-,-,
20,British distribution (post 1949 records),2.15,1144,-,-,
21,number of European countries in which native,2.17,30,-,-,
22,Medicinal Use,2.18,wounds,,,
23,Stems: 1. woodiness,3.01,non-woody,-,-,
24,Stems: 2. support,3.02,procumbent,-,-,
25,Leaf position,3.02A,floating,-,-,
26,Leaf position,3.02A,submerged,-,-,
27,Spread,3.07,not applicable,aquatic,-,
28,Heterophylly,3.08,environmental,-,-,
29,Leaf shape: 1. type,3.09,simple,-,-,
30,Leaf shape: 2. outline,3.10,entire,-,-,
31,Leaf shape: 3. pointed/round,3.11,emarginate,-,-,
32,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
33,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
34,Leaf shape: 6. petiole,3.14,petiolate,-,-,
35,Leaf longevity: 1. type,3.22,evergreen,-,-,
36,Leaf longevity: 1. type,3.22,evergreen,-,-,
37,Root system,3.24,adventitious,-,-,
38,Photosynthetic pathway,4.02,C3,-,-,
39,Heavy metal resistance,4.05,none,-,-,
40,Carnivory,4.06,does not kill insects,-,-,
41,Nutrition,4.07,autotrophic,-,-,
42,Life-form,5.01,hydrophyte,-,-,
43,Life-form,5.01,therophyte,-,-,
44,Longevity of stems (yrs),5.02,<1,-,-,
45,Mono/poly-carpic,5.04,polycarpic,perennial habit is more frequent in Britain than the annual habit,-,
46,Vegetative reproduction/persistence: 1. method,5.05,rooting stems,-,-,
47,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
48,Flowering time: 1. earliest month,5.07,5,-,-,
49,Flowering time: 2. latest month,5.08,9,-,-,
50,Pollen: 2. diameter (um),5.13,17,-,-,
51,Pollen: 2. diameter (um),5.13,19.7,-,-,
52,Pollen: 2. diameter (um),5.13,25,-,-,
53,Pollen vector,5.15,water,-,-,
54,Pollen vector,5.15,wind,-,-,
55,Dicliny,5.16,monoecious,-,-,
56,Dichogamy,5.17,protandrous,-,-,
57,Dichogamy,5.17,protogynous,-,-,
58,Fertilization,5.19,normally cross,-,-,
59,Incompatibility systems,5.22,none,-,-,
60,Chromosome number(s): 1. number,5.25,10,-,-,
61,2C DNA content (pg),5.26,2.45,2n=10,,
62,2C DNA content (pg),5.26,2.5,-,-,
63,Time of seed dispersal (season),5.28,summer,-,-,
64,Seed size - length of longest axis (mm),5.31,1.5,fruit,-,
65,Seed weight: 3. mean (mg),5.34,0.09,-,-,
66,Seed weight: 3. mean (mg),5.34,0.1694,,,
67,Seed production: 1. maximum (/flower),5.35,4,-,-,
68,Seed production: 2. typical range (/flower),5.36,1-10,-,-,
69,Dispersal agent,5.38,unspecialised,-,-,
70,Time of germination (season),5.39,spring,,-,
71,Time of germination (season),5.39,spring,-,-,
72,After-ripening requirement,5.40,none,-,-,
73,Germination type,5.48,epigeal,-,-,
74,Normal method of propagation,5.52,seed and vegetative,-,-,
75,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
76,Seedbank type,5.53,short-term persistent,-,-,
77,Seedbank type,5.53,transient,-,-,
78,Maximum seedbank density (m2),5.54,100,-,-,
79,Minimum seedbank density (m2),5.55,27,-,-,
80,Mean seedbank density (m2),5.56,65.4,-,-,
81,Flower colour,5.58,green,,,
82,Petal no,5.59,0,,,
83,Petal (sepal) size (cm),5.60,0,,,
84,Stigma number,5.61,2,0,monoecious,
85,Stamen number,5.62,1,0,monoecious,
86,Sepal number,5.63,0,,,
87,Carpel/Style number,5.64,2,0,monoecious,
88,Inflorescence type,5.65,solitary,2,axillary,
89,Physical defences on leaves,6.02,glabrous,-,-,
