,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Shade,1.1,none,-,-,
3,Status,2.01,naturalised,-,-,
4,number of European countries in which native,2.17,1,-,-,
5,Stems: 1. woodiness,3.01,non-woody,,,
6,Stems: 2. support,3.02,decumbent,ascending,,
7,Height: 1. extreme maximum (cm),3.03,50,,,
8,Height: 3. typical maximum (cm),3.05,30,,,
9,Spread,3.07,height < width,,,
10,Heterophylly,3.08,none,,,
11,Leaf shape: 1. type,3.09,simple,-,-,
12,Leaf shape: 2. outline,3.1,biserrate,,,
13,Leaf shape: 3. pointed/round,3.11,round,pointed,,
14,Leaf shape: 5. leaf base,3.13,cordate,,,
15,Leaf shape: 6. petiole,3.14,petiolate,,,
16,Photosynthetic pathway,4.02,C3,-,-,
17,Heavy metal resistance,4.05,none,-,-,
18,Carnivory,4.06,does not kill insects,-,-,
19,Nutrition,4.07,autotrophic,-,-,
20,Life-form,5.01,hemicryptophyte,protohemicryptophyte,,
21,Longevity of stems (yrs),5.02,10-100,,,
22,Vegetative reproduction/persistence: 1. method,5.05,rhizome,,,
23,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
24,Dicliny,5.16,hermaphrodite,-,-,
25,Chromosome number(s): 1. number,5.25,34,,-,
26,Flower colour,5.58,blue-violet,,,
27,Petal no,5.59,5,,fused,
28,Stigma number,5.61,3,,,
29,Stamen number,5.62,5,,,
30,Sepal number,5.63,5,,fused,
31,Carpel/Style number,5.64,1,,,
32,Inflorescence type,5.65,2,1.5-2.5,,
33,Inflorescence type,5.65,raceme,,,
34,Physical defences on stems,6.03,hairy,,,
35,Biome,7.04,Mediterranean,,,
36,Eastern Limit,7.05,Hyperoceanic,,,
37,Continentality,7.06,Not continental,,,
38,Northern Limit in Britain,7.07,No,,,
39,Southern European Limit,7.1,No Data,,,
40,January mean temperature,7.11,4.2,,,
41,July mean temperature,7.12,16,,,
42,Annual precipitation,7.13,927,,,
43,Ellenberg Indicator: Light,7.14,6,,,
44,Ellenberg : Moisture,7.15,5,,,
45,Ellenberg: pH,7.16,7,,,
46,Ellenberg Indicator: Nitrogen,7.17,6,,,
47,Ellenberg Indicator: Salt,7.18,0,,,
48,Life Form: normal state,7.19,Hemicryptophyte,,,
49,Life Form: less frequent state,7.2,Chamaephyte,,,
50,Clonality: normal state,7.21,Rhizome shortly creeping,,,
