,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Shade,1.1,none,-,-,
2,Altitude: 1. maximum recorded (m),1.12,610,-,-,
3,Altitude: 2. minimum recorded (m),1.13,0,-,-,
4,Altitude: 4. typical minimum (m),1.14,0,-,-,
5,Status,2.01,native,-,-,
6,Typical abundance where naturally occurring,2.02,frequent,-,-,
7,Dynamics,2.03,declining,-,-,
8,First historical record: 1. date,2.04,1666,-,-,
9,First historical record: 2. site,2.05,London and Cornwall,-,-,
10,Range: 3. continents where native,2.11,Asia,-,-,
11,Range: 3. continents where native,2.11,Europe,-,-,
12,SN Index,2.13,3.9,-,-,
13,EW Index,2.14,3,-,-,
14,number of European countries in which native,2.17,23,-,-,
15,Stems: 1. woodiness,3.01,non-woody,-,-,
16,Stems: 2. support,3.02,self-supporting,-,-,
17,Height: 3. typical maximum (cm),3.05,60,-,-,
18,Height: 4. typical minimum (cm),3.06,10,-,-,
19,Spread,3.07,height > width,-,-,
20,Heterophylly,3.08,none,-,-,
21,Leaf shape: 1. type,3.09,compound,-,-,
22,Leaf shape: 2. outline,3.1,crenate,-,-,
23,Leaf shape: 2. outline,3.1,toothed,-,-,
24,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
25,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
26,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
27,Leaf shape: 6. petiole,3.14,petiolate,-,-,
28,Leaf area (cm2),3.17,1-10,-,-,
29,Leaf longevity: 1. type,3.22,evergreen,-,-,
30,Root depth: 1. type,3.25,shallow,-,-,
31,Photosynthetic pathway,4.02,C3,-,-,
32,Heavy metal resistance,4.05,none,-,-,
33,Carnivory,4.06,does not kill insects,-,-,
34,Nutrition,4.07,autotrophic,-,-,
35,Life-form,5.01,hemicryptophyte,-,-,
36,Longevity of stems (yrs),5.02,<1,-,-,
37,Mono/poly-carpic,5.04,polycarpic,-,-,
38,Vegetative reproduction/persistence: 1. method,5.05,stolons,-,-,
39,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
40,Flowering time: 1. earliest month,5.07,4,-,-,
41,Flowering time: 2. latest month,5.08,6,-,-,
42,Photoperiodism: 1. type,5.1,day-neutral,-,-,
43,Pollen vector,5.15,insect,-,-,
44,Dicliny,5.16,gynodioecious,,-,
45,Dicliny,5.16,hermaphrodite,-,-,
46,Dichogamy,5.17,homogamous,-,-,
47,Chromosome number(s): 1. number,5.25,16,,-,
48,Chromosome number(s): 1. number,5.25,16,vc 60,-,
49,Chromosome number(s): 1. number,5.25,32,,-,
50,2C DNA content (pg),5.26,0.1,-,-,
51,2C DNA content (pg),5.26,0.49,2n=16,,
52,Appendages on dispersal unit,5.27,mucilage,-,-,
53,Time of seed dispersal (season),5.28,summer,-,-,
54,Dispersule size - length of longest axis (mm),5.3,1.3,seed,-,
55,Seed size - length of longest axis (mm),5.31,1.3,seed,-,
56,Seed weight: 3. mean (mg),5.34,0.26,-,-,
57,Seed weight: 3. mean (mg),5.34,0.4911,,,
58,Seed production: 2. typical range (/flower),5.36,10-100,-,-,
59,Dispersal agent,5.38,explosive mechanism,-,-,
60,Dispersal agent,5.38,unspecialised,-,-,
61,Time of germination (season),5.39,spring,not observed but suggested by laboratory experiments,-,
62,Germination requirements 3. temperature fluctuation,5.47,absolute,-,-,
63,Germination type,5.48,epigeal,-,-,
64,Normal method of propagation,5.52,vegetative,-,-,
65,Seedbank type,5.53,long-term persistent,-,-,
66,Maximum seedbank density (m2),5.54,570,-,-,
67,Minimum seedbank density (m2),5.55,570,-,-,
68,Mean seedbank density (m2),5.56,570,-,-,
69,Flower colour,5.58,white,"pink, purple",,
70,Petal no,5.59,4,,,
71,Petal (sepal) size (cm),5.6,0.9,0.55-1.2,,
72,Stigma number,5.61,2,capitate,,
73,Stamen number,5.62,6,,,
74,Sepal number,5.63,4,,,
75,Carpel/Style number,5.64,1,,,
76,Inflorescence type,5.65,raceme,,,
77,Physical defences on stems,6.03,glabrous,-,-,
78,Rarity Status,7.02,Present,,,
79,Change Index,7.03,0.00,,,
80,Biome,7.04,Temperate,,,
81,Eastern Limit,7.05,European,,,
82,Continentality,7.06,Not continental,,,
83,Northern Limit in Britain,7.07,No,,,
84,"Northern European Limit (Lat,5C band)",7.08,>65,,,
85,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
86,Southern European Limit,7.1,No,,,
87,January mean temperature,7.11,2.9,,,
88,July mean temperature,7.12,15,,,
89,Annual precipitation,7.13,943,,,
90,Ellenberg Indicator: Light,7.14,5,,Data calculated for the Czech Republic,
91,Ellenberg Indicator: Light,7.14,6,,,
92,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
93,Ellenberg : Moisture,7.15,9,,,
94,Ellenberg : Moisture,7.15,9,,Data calculated for the Czech Republic,
95,Ellenberg : Moisture,7.15,9=,,Data calculated for Europe,
96,Ellenberg: pH,7.16,6,,Data calculated for the Czech Republic,
97,Ellenberg: pH,7.16,6,,Data calculated for Europe,
98,Ellenberg: pH,7.16,7,,,
99,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for Europe,
100,Ellenberg Indicator: Nitrogen,7.17,6,,,
101,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
102,Ellenberg Indicator: Salt,7.18,0,,,
