,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,,
1,Soil moisture: 1. water table,1.02,,moist,,
2,Shade,1.1,none,partial,,
3,Altitude: 1. maximum recorded (m),1.12,449,,,
4,Status,2.01,naturalised,,,
5,Typical abundance where naturally occurring,2.02,scattered,,,
6,Dynamics,2.03,increasing,,,
7,First historical record: 1. date,2.04,1710,,,
8,Range: 1. european countries where native,2.09,"Fr, Esp",,,
9,Range: 2. european countries where introduced,2.1,"UK, Alb",,,
10,Range: 3. continents where native,2.11,Eu,,incl caucasus ref 1511,
11,number of European countries in which native,2.17,2,,,
12,Stems: 1. woodiness,3.01,not woody,,,
13,Stems: 2. support,3.02,self supporting,,,
14,Height: 3. typical maximum (cm),3.05,70,,,
15,Height: 3. typical maximum (cm),3.05,80,,,
16,Height: 4. typical minimum (cm),3.06,45,,,
17,Leaf shape: 1. type,3.09,compound,,"lyrate, terminal leaflet very large, orbicular-cordate",
18,Leaf shape: 3. pointed/round,3.11,>3 x as long as broad,10-15 cm long,,
19,Root system,3.24,fibrous,,,
20,Carnivory,4.06,does not kill insects,,,
21,Nutrition,4.07,autotrophic,,,
22,Mono/poly-carpic,5.04,polycarpic,,,
23,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,,,
24,Chromosome number(s): 1. number,5.25,46,,,
25,Flower colour,5.58,purple,"red, white",,
26,Petal no,5.59,4,,,
27,Petal (sepal) size (cm),5.6,1.1,0.8-1.4,,
28,Stigma number,5.61,2,capitate,,
29,Stamen number,5.62,6,,,
30,Sepal number,5.63,4,,,
31,Carpel/Style number,5.64,1,,,
32,Inflorescence type,5.65,raceme,,,
