,Name,Number,Value,Modifier,Notes,Subspecies
0,Shade,1.1,none,-,-,
1,Altitude: 1. maximum recorded (m),1.12,30,-,-,
2,Status,2.01,native,-,-,
3,Typical abundance where naturally occurring,2.02,scattered,-,-,
4,First historical record: 1. date,2.04,1835,-,-,
5,First historical record: 2. site,2.05,"Lough Neagh, Co. Derry",-,-,
6,Range: 3. continents where native,2.11,Asia,-,-,
7,Range: 3. continents where native,2.11,Europe,-,-,
8,Range: 3. continents where native,2.11,North America,-,-,
9,SN Index,2.13,7.45,-,-,
10,EW Index,2.14,6.38,-,-,
11,number of European countries in which native,2.17,18,-,-,
12,Stems: 1. woodiness,3.01,non-woody,-,-,
13,Stems: 2. support,3.02,self-supporting,-,-,
14,Height: 3. typical maximum (cm),3.05,60,-,-,
15,Height: 4. typical minimum (cm),3.06,30,-,-,
16,Spread,3.07,height = width,-,-,
17,Heterophylly,3.08,none,-,-,
18,Leaf shape: 1. type,3.09,simple,-,-,
19,Leaf shape: 2. outline,3.1,entire,-,-,
20,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
21,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
22,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
23,Leaf shape: 6. petiole,3.14,sheathing,-,-,
24,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
25,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
26,Leaf area (cm2),3.17,10-100,-,-,
27,Stomata: 1. surfaces present,3.19,lower,-,-,
28,Photosynthetic pathway,4.02,C3,-,-,
29,Heavy metal resistance,4.05,none,-,-,
30,Carnivory,4.06,does not kill insects,-,-,
31,Nutrition,4.07,autotrophic,-,-,
32,Life-form,5.01,helophyte,-,-,
33,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
34,Flowering time: 1. earliest month,5.07,6,-,-,
35,Flowering time: 2. latest month,5.08,7,-,-,
36,Pollen vector,5.15,wind,-,-,
37,Dicliny,5.16,monoecious,-,-,
38,Dichogamy,5.17,protogynous,-,-,
39,Fertilization,5.19,normally cross,-,-,
40,Chromosome number(s): 1. number,5.25,c. 74,,-,
41,Dispersule size - length of longest axis (mm),5.3,3.8,utricle,-,
42,Seed size - length of longest axis (mm),5.31,2.5,nut,-,
43,Seed weight: 3. mean (mg),5.34,1.778,,,
44,Time of germination (season),5.39,summer,early,-,
45,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
46,Maximum seedbank density (m2),5.54,41,-,-,
47,Minimum seedbank density (m2),5.55,41,-,-,
48,Mean seedbank density (m2),5.56,41,-,-,
49,Flower colour,5.58,red-black,"pale brown, red-brown",,
50,Petal no,5.59,0,,,
51,Petal (sepal) size (cm),5.6,0,,,
52,Stigma number,5.61,3,,,
53,Stamen number,5.62,2,3,,
54,Sepal number,5.63,0,,,
55,Carpel/Style number,5.64,3,,,
56,Inflorescence type,5.65,spikes,,"terminal female at top, male at base, others female",
57,"Glume, upper",5.66,0.4,,"male, lanceolate-elliptic, acute",
58,"Glume, upper",5.66,0.4,0.3-0.5,"female, asymmetric, acuminate or aristate",
59,Physical defences on leaves,6.02,glabrous,-,-,
60,Physical defences on stems,6.03,glabrous,-,-,
61,Conservation Status,7.01,Vulnerable,,,
62,Rarity Status,7.02,Rare,,,
63,Biome,7.04,Boreal montane,,,
64,Eastern Limit,7.05,Euro-Siberian,,,
65,Continentality,7.06,Continental,,,
66,Northern Limit in Britain,7.07,No,,,
67,"Northern European Limit (Lat,5C band)",7.08,>65,,,
68,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
69,Southern European Limit,7.1,No,,,
70,January mean temperature,7.11,3.3,,,
71,July mean temperature,7.12,13.5,,,
72,Annual precipitation,7.13,1410,,,
73,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
74,Ellenberg Indicator: Light,7.14,8,,,
75,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
76,Ellenberg : Moisture,7.15,8,,,
77,Ellenberg : Moisture,7.15,8,,Data calculated for the Czech Republic,
78,Ellenberg : Moisture,7.15,8=,,Data calculated for Europe,
79,Ellenberg: pH,7.16,7,,,
80,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
81,Ellenberg: pH,7.16,7,,Data calculated for Europe,
82,Ellenberg Indicator: Nitrogen,7.17,2,,,
83,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for Europe,
84,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for the Czech Republic,
85,Ellenberg Indicator: Salt,7.18,0,,,
86,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
87,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
88,Life Form: normal state,7.19,Hemicryptophyte,,,
89,Clonality: normal state,7.21,Rhizome shortly creeping,,,
90,Ellenberg: Temperature,7.23,5x,,Data calculated for the Czech Republic,
91,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
92,Ellenberg: Continetality,7.24,5,,Data calculated for Europe,
