,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Salinity,1.05,brackish,,-,
2,Shade,1.1,none,,-,
3,Altitude: 1. maximum recorded (m),1.12,257,-,-,
4,Altitude: 2. minimum recorded (m),1.13,0,-,-,
5,Altitude: 4. typical minimum (m),1.14,0,-,-,
6,Status,2.01,native,-,-,
7,Typical abundance where naturally occurring,2.02,scattered,-,-,
8,First historical record: 1. date,2.04,1688,-,-,
9,Range: 3. continents where native,2.11,Africa,-,-,
10,Range: 3. continents where native,2.11,Asia,-,-,
11,Range: 3. continents where native,2.11,Europe,-,-,
12,SN Index,2.13,3.33,-,-,
13,EW Index,2.14,5.8,-,-,
14,number of European countries in which native,2.17,30,-,-,
15,Stems: 1. woodiness,3.01,non-woody,-,-,
16,Stems: 2. support,3.02,self-supporting,-,-,
17,Height: 3. typical maximum (cm),3.05,100,-,-,
18,Height: 4. typical minimum (cm),3.06,15,-,-,
19,Spread,3.07,height = width,-,-,
20,Heterophylly,3.08,none,-,-,
21,Leaf shape: 1. type,3.09,simple,-,-,
22,Leaf shape: 2. outline,3.1,entire,-,-,
23,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
24,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
25,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
26,Leaf shape: 6. petiole,3.14,sheathing,-,-,
27,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
28,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
29,Leaf area (cm2),3.17,1-10,-,-,
30,Photosynthetic pathway,4.02,C3,-,-,
31,Heavy metal resistance,4.05,none,-,-,
32,Carnivory,4.06,does not kill insects,-,-,
33,Nutrition,4.07,autotrophic,-,-,
34,Life-form,5.01,hemicryptophyte,-,-,
35,Longevity of stems (yrs),5.02,6.14,,,
36,Longevity of stems (yrs),5.02,<1,-,-,
37,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
38,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
39,Flowering time: 1. earliest month,5.07,5,-,-,
40,Flowering time: 2. latest month,5.08,6,-,-,
41,Pollen vector,5.15,wind,-,-,
42,Dicliny,5.16,monoecious,-,-,
43,Dichogamy,5.17,protogynous,-,-,
44,Fertilization,5.19,normally cross,-,-,
45,Chromosome number(s): 1. number,5.25,72,,-,
46,Chromosome number(s): 1. number,5.25,74,,-,
47,Dispersule size - length of longest axis (mm),5.3,4.0,utricle,-,
48,Seed size - length of longest axis (mm),5.31,2.5,nut,-,
49,Seed weight: 3. mean (mg),5.34,1.14,,,
50,Seed weight: 3. mean (mg),5.34,1.38,,,
51,Time of germination (season),5.39,spring,late,-,
52,Flower colour,5.58,pale brown,"purple brown, red-brown, green",,
53,Petal no,5.59,0,,,
54,Petal (sepal) size (cm),5.6,0,,,
55,Stigma number,5.61,3,,,
56,Stamen number,5.62,2,3,,
57,Sepal number,5.63,0,,,
58,Carpel/Style number,5.64,3,,,
59,Inflorescence type,5.65,spikes,,"male terminal, others female",
60,"Glume, upper",5.66,0.3,0.25-0.35,"female, ovate-oblong, acute to obtuse, mucronate, margins hy",
61,"Glume, upper",5.66,0.35,0.3-0.4,"male, obovate, subacute, mucronate",
62,Physical defences on leaves,6.02,glabrous,-,-,
63,Physical defences on stems,6.03,glabrous,-,-,
64,Rarity Status,7.02,Present,,,
65,Change Index,7.03,-0.47,,,
66,Biome,7.04,Southern Temperate,,,
67,Eastern Limit,7.05,European,,,
68,Continentality,7.06,Not continental,,,
69,Northern Limit in Britain,7.07,No,,,
70,"Northern European Limit (Lat,5C band)",7.08,60-65,,,
71,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
72,Southern European Limit,7.1,No,,,
73,January mean temperature,7.11,4.3,,,
74,July mean temperature,7.12,15,,,
75,Annual precipitation,7.13,1039,,,
76,Ellenberg Indicator: Light,7.14,8,,,
77,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
78,Ellenberg Indicator: Light,7.14,9,,Data calculated for Europe,
79,Ellenberg : Moisture,7.15,6,,,
80,Ellenberg : Moisture,7.15,6~,,Data calculated for Europe,
81,Ellenberg : Moisture,7.15,7,,Data calculated for the Czech Republic,
82,Ellenberg: pH,7.16,7,,,
83,Ellenberg: pH,7.16,8,,Data calculated for the Czech Republic,
84,Ellenberg: pH,7.16,8,,Data calculated for Europe,
85,Ellenberg Indicator: Nitrogen,7.17,5,,,
86,Ellenberg Indicator: Nitrogen,7.17,5x,,Data calculated for the Czech Republic,
87,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
88,Ellenberg Indicator: Salt,7.18,3,,,
89,Ellenberg Indicator: Salt,7.18,5,,Data calculated for the Czech Republic,
90,Ellenberg Indicator: Salt,7.18,5,,Data calculated for Europe,
91,Life Form: normal state,7.19,Hemicryptophyte,,,
92,Clonality: normal state,7.21,Tussock forming graminoid,,,
93,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
94,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
95,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
