,Name,Number,Value,Modifier,Notes,Subspecies
0,Shade,1.1,none,-,-,
1,Altitude: 1. maximum recorded (m),1.12,1005,-,-,
2,Altitude: 2. minimum recorded (m),1.13,0,-,-,
3,Altitude: 4. typical minimum (m),1.14,0,-,-,
4,Status,2.01,native,-,-,
5,Typical abundance where naturally occurring,2.02,frequent,-,-,
6,First historical record: 1. date,2.04,1690,-,-,
7,Range: 3. continents where native,2.11,Africa,-,-,
8,Range: 3. continents where native,2.11,Asia,-,-,
9,Range: 3. continents where native,2.11,Europe,-,-,
10,Range: 4. continents where introduced,2.12,North America,-,-,
11,SN Index,2.13,4.07,-,-,
12,EW Index,2.14,4.81,-,-,
13,number of European countries in which native,2.17,28,-,-,
14,Stems: 1. woodiness,3.01,non-woody,-,-,
15,Stems: 2. support,3.02,self-supporting,-,-,
16,Height: 3. typical maximum (cm),3.05,90,-,-,
17,Height: 4. typical minimum (cm),3.06,10,-,-,
18,Spread,3.07,height = width,-,-,
19,Heterophylly,3.08,none,-,-,
20,Leaf shape: 1. type,3.09,simple,-,-,
21,Leaf shape: 2. outline,3.1,entire,-,-,
22,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
23,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
24,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
25,Leaf shape: 6. petiole,3.14,sheathing,-,-,
26,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
27,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
28,Leaf area (cm2),3.17,1-10,-,-,
29,Stomata: 1. surfaces present,3.19,both,mainly on the lower surface,-,
30,Leaf longevity: 1. type,3.22,evergreen,-,-,
31,Photosynthetic pathway,4.02,C3,-,-,
32,Heavy metal resistance,4.05,none,-,-,
33,Carnivory,4.06,does not kill insects,-,-,
34,Nutrition,4.07,autotrophic,-,-,
35,Life-form,5.01,hemicryptophyte,-,-,
36,Longevity of stems (yrs),5.02,<1,-,-,
37,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
38,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
39,Flowering time: 1. earliest month,5.07,7,-,-,
40,Flowering time: 2. latest month,5.08,8,-,-,
41,Pollen vector,5.15,wind,-,-,
42,Dicliny,5.16,monoecious,-,-,
43,Chromosome number(s): 1. number,5.25,64,,-,
44,Chromosome number(s): 1. number,5.25,66,,-,
45,Chromosome number(s): 1. number,5.25,68,,-,
46,Dispersule size - length of longest axis (mm),5.3,4.5,utricle,-,
47,Seed size - length of longest axis (mm),5.31,2.0,nut,-,
48,Seed weight: 3. mean (mg),5.34,0.52,,,
49,Seed weight: 3. mean (mg),5.34,0.62,,,
50,Seed weight: 3. mean (mg),5.34,0.67,-,-,
51,Dispersal agent,5.38,unspecialised,-,-,
52,Time of germination (season),5.39,spring,late,-,
53,Germination requirements 3. temperature fluctuation,5.47,absolute,-,-,
54,Normal method of propagation,5.52,seed,-,-,
55,Seedbank type,5.53,long-term persistent,-,-,
56,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
57,Seedbank type,5.53,short-term persistent,-,-,
58,Seedbank type,5.53,transient,-,-,
59,Maximum seedbank density (m2),5.54,4836,-,-,
60,Minimum seedbank density (m2),5.55,26,-,-,
61,Mean seedbank density (m2),5.56,1074.125,-,-,
62,Flower colour,5.58,yellow brown,"dark brown, red brown, green",,
63,Petal no,5.59,0,,,
64,Petal (sepal) size (cm),5.6,0,,,
65,Stigma number,5.61,2,,,
66,Stamen number,5.62,2,3,,
67,Sepal number,5.63,0,,,
68,Carpel/Style number,5.64,2,,,
69,Inflorescence type,5.65,spikes,,"upper female above, male below; lower female",
70,Physical defences on leaves,6.02,glabrous,-,-,
71,Physical defences on stems,6.03,glabrous,-,-,
72,Rarity Status,7.02,Present,,,
73,Change Index,7.03,-0.21,,,
74,Biome,7.04,Boreo-Temperate,,,
75,Eastern Limit,7.05,Euro-Siberian,,,
76,Continentality,7.06,Not continental,,,
77,Northern Limit in Britain,7.07,No,,,
78,"Northern European Limit (Lat,5C band)",7.08,>65,,,
79,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
80,Southern European Limit,7.1,No,,,
81,January mean temperature,7.11,3.4,,,
82,July mean temperature,7.12,14,,,
83,Annual precipitation,7.13,1138,,,
84,Ellenberg Indicator: Light,7.14,7,,,
85,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
86,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
87,Ellenberg : Moisture,7.15,7,,,
88,Ellenberg : Moisture,7.15,7,,Data calculated for the Czech Republic,
89,Ellenberg : Moisture,7.15,7~,,Data calculated for Europe,
90,Ellenberg: pH,7.16,3,,Data calculated for the Czech Republic,
91,Ellenberg: pH,7.16,3,,Data calculated for Europe,
92,Ellenberg: pH,7.16,5,,,
93,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for Europe,
94,Ellenberg Indicator: Nitrogen,7.17,4,,,
95,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for the Czech Republic,
96,Ellenberg Indicator: Salt,7.18,0,,,
97,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
98,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
99,Life Form: normal state,7.19,Hemicryptophyte,,,
100,Clonality: normal state,7.21,Tussock forming graminoid,,,
101,Ellenberg: Temperature,7.23,4,,Data calculated for the Czech Republic,
102,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
103,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
