,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil moisture: 2. drainage,1.03,free-draining,-,-,
1,Soil pH: 1. extreme maximum,1.06,7.7,-,-,
2,Soil pH: 1. extreme maximum,1.06,8.2,-,-,
3,Soil pH: 2. extreme minimum,1.07,5.6,-,-,
4,Soil pH: 2. extreme minimum,1.07,6.1,-,-,
5,Shade,1.1,none,-,-,
6,Altitude: 1. maximum recorded (m),1.12,260,-,-,
7,Altitude: 1. maximum recorded (m),1.12,340,-,-,
8,Status,2.01,native,-,-,
9,Typical abundance where naturally occurring,2.02,scattered,-,-,
10,First historical record: 1. date,2.04,1633,-,-,
11,Range: 3. continents where native,2.11,Africa,-,-,
12,Range: 3. continents where native,2.11,Asia,-,-,
13,Range: 3. continents where native,2.11,Europe,-,-,
14,Range: 3. continents where native,2.11,Macaronesia,-,-,
15,Range: 4. continents where introduced,2.12,North America,-,-,
16,SN Index,2.13,2.24,-,-,
17,EW Index,2.14,5.23,-,-,
18,number of European countries in which native,2.17,26,-,-,
19,Stems: 1. woodiness,3.01,non-woody,-,-,
20,Stems: 2. support,3.02,self-supporting,-,-,
21,Height: 3. typical maximum (cm),3.05,100,-,-,
22,Height: 4. typical minimum (cm),3.06,20,-,-,
23,Spread,3.07,height = width,-,-,
24,Heterophylly,3.08,none,-,-,
25,Leaf shape: 1. type,3.09,simple,-,-,
26,Leaf shape: 2. outline,3.1,entire,-,-,
27,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
28,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
29,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
30,Leaf shape: 6. petiole,3.14,sheathing,-,-,
31,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
32,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
33,Leaf area (cm2),3.17,1-10,-,-,
34,Stomata: 1. surfaces present,3.19,upper,-,-,
35,Stomata: 1. surfaces present,3.19,upper,-,-,
36,Stomata: 2. density on lower surface(no/mm2),3.2,0,-,-,
37,Stomata: 2. density on lower surface(no/mm2),3.2,0,-,-,
38,Stomata: 3. density on upper surface (no/mm2),3.21,100,-,-,
39,Stomata: 3. density on upper surface (no/mm2),3.21,130,-,-,
40,Root depth: 2. depth (cm),3.26,>100,-,-,
41,Photosynthetic pathway,4.02,C3,-,-,
42,Heavy metal resistance,4.05,none,-,-,
43,Carnivory,4.06,does not kill insects,-,-,
44,Nutrition,4.07,autotrophic,-,-,
45,Life-form,5.01,hemicryptophyte,-,-,
46,Longevity of stems (yrs),5.02,<1,-,-,
47,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
48,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
49,Flowering time: 1. earliest month,5.07,6,-,-,
50,Flowering time: 2. latest month,5.08,7,-,-,
51,Pollen vector,5.15,wind,-,-,
52,Dicliny,5.16,monoecious,-,-,
53,Dichogamy,5.17,protogynous,-,-,
54,Fertilization,5.19,normally cross,-,-,
55,Chromosome number(s): 1. number,5.25,58,,-,
56,Chromosome number(s): 1. number,5.25,c. 56,,-,
57,Time of seed dispersal (season),5.28,summer,-,-,
58,Time of seed dispersal (season),5.28,summer,late,-,
59,Annual seed dispersal,5.29,regular,-,-,
60,Dispersule size - length of longest axis (mm),5.3,3.5,utricle,-,
61,Dispersule size - length of longest axis (mm),5.3,4.5,utricle,-,
62,Seed size - length of longest axis (mm),5.31,1.7,"nut, utricle 3.5mm long",-,
63,Seed size - length of longest axis (mm),5.31,1.7,"nut, utricle 4.5mm long",-,
64,Seed weight: 3. mean (mg),5.34,1.2,nut and utricle,-,
65,Seed weight: 3. mean (mg),5.34,1.8272,,,
66,Seed production: 3. typical range (/plant),5.37,100-1000,-,-,
67,Seed production: 3. typical range (/plant),5.37,1000-10000,-,-,
68,Dispersal agent,5.38,unspecialised,-,-,
69,Time of germination (season),5.39,not observed,-,-,
70,Time of germination (season),5.39,spring,-,-,
71,Normal method of propagation,5.52,seed,-,-,
72,Seedbank type,5.53,long-term persistent,-,-,
