,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Shade,1.1,mid,,-,
2,Status,2.01,native,-,-,
3,Typical abundance where naturally occurring,2.02,scattered,-,-,
4,First historical record: 1. date,2.04,1696,-,-,
5,First historical record: 2. site,2.05,Essex,-,-,
6,Range: 3. continents where native,2.11,Europe,-,-,
7,SN Index,2.13,1.47,-,-,
8,EW Index,2.14,4.38,-,-,
9,number of European countries in which native,2.17,18,-,-,
10,Stems: 1. woodiness,3.01,non-woody,-,-,
11,Stems: 2. support,3.02,self-supporting,-,-,
12,Height: 3. typical maximum (cm),3.05,70,-,-,
13,Height: 4. typical minimum (cm),3.06,30,-,-,
14,Spread,3.07,height = width,-,-,
15,Heterophylly,3.08,none,-,-,
16,Leaf shape: 1. type,3.09,simple,-,-,
17,Leaf shape: 2. outline,3.1,entire,-,-,
18,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
19,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
20,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
21,Leaf shape: 6. petiole,3.14,sheathing,-,-,
22,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
23,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
24,Leaf area (cm2),3.17,10-100,-,-,
25,Photosynthetic pathway,4.02,C3,-,-,
26,Heavy metal resistance,4.05,none,-,-,
27,Carnivory,4.06,does not kill insects,-,-,
28,Nutrition,4.07,autotrophic,-,-,
29,Life-form,5.01,hemicryptophyte,-,-,
30,Longevity of stems (yrs),5.02,<1,-,-,
31,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
32,Flowering time: 1. earliest month,5.07,5,-,-,
33,Flowering time: 2. latest month,5.08,6,-,-,
34,Pollen vector,5.15,wind,-,-,
35,Dicliny,5.16,monoecious,-,-,
36,Dichogamy,5.17,protogynous,-,-,
37,Fertilization,5.19,normally cross,-,-,
38,Chromosome number(s): 1. number,5.25,66,,-,
39,Dispersule size - length of longest axis (mm),5.3,3.5,utricle,-,
40,Seed size - length of longest axis (mm),5.31,1.5,nut,-,
41,Seed weight: 3. mean (mg),5.34,0.56,,,
42,Time of germination (season),5.39,spring,late,-,
43,Time of germination (season),5.39,summer,early,-,
44,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
45,Maximum seedbank density (m2),5.54,27,-,-,
46,Minimum seedbank density (m2),5.55,27,-,-,
47,Mean seedbank density (m2),5.56,27,-,-,
48,Flower colour,5.58,brown,green,,
49,Petal no,5.59,0,,,
50,Petal (sepal) size (cm),5.6,0,,,
51,Stigma number,5.61,3,,,
52,Stamen number,5.62,2,3,,
53,Sepal number,5.63,0,,,
54,Carpel/Style number,5.64,3,,,
55,Inflorescence type,5.65,spikes,,"male terminal, others female",
56,"Glume, upper",5.66,0.25,,"female, obovate, ovate-lanceolate, acuminate",
57,"Glume, upper",5.66,0.5,0.45-0.55,"male, narrowly obovate, acuminate",
58,Physical defences on leaves,6.02,glabrous,-,-,
59,Physical defences on stems,6.03,glabrous,-,-,
60,Rarity Status,7.02,Present,,,
61,Change Index,7.03,0.60,,,
62,Biome,7.04,Temperate,,,
63,Eastern Limit,7.05,Suboceanic,,,
64,Continentality,7.06,Not continental,,,
65,Northern Limit in Britain,7.07,No,,,
66,"Northern European Limit (Lat,5C band)",7.08,55-60,,,
67,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
68,Southern European Limit,7.1,No,,,
69,January mean temperature,7.11,3.8,,,
70,July mean temperature,7.12,16,,,
71,Annual precipitation,7.13,841,,,
72,Ellenberg Indicator: Light,7.14,3,,,
73,Ellenberg Indicator: Light,7.14,3,,Data calculated for the Czech Republic,
74,Ellenberg Indicator: Light,7.14,3,,Data calculated for Europe,
75,Ellenberg : Moisture,7.15,7,,Data calculated for the Czech Republic,
76,Ellenberg : Moisture,7.15,7,,Data calculated for Europe,
77,Ellenberg : Moisture,7.15,8,,,
78,Ellenberg: pH,7.16,7,,,
79,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
80,Ellenberg: pH,7.16,7,,Data calculated for Europe,
81,Ellenberg Indicator: Nitrogen,7.17,6,,,
82,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for Europe,
83,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for the Czech Republic,
84,Ellenberg Indicator: Salt,7.18,0,,,
85,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
86,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
87,Life Form: normal state,7.19,Hemicryptophyte,,,
88,Clonality: normal state,7.21,Tussock forming graminoid,,,
89,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
90,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
91,Ellenberg: Continetality,7.24,1,,Data calculated for Europe,
