,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Water nutrients,1.01A,mesotrophic,-,-,
2,Water nutrients,1.01A,oligotrophic,-,-,
3,Soil pH: 1. extreme maximum,1.06,6.14,-,-,
4,Water pH: 1. extreme maximum,1.06A,6.21,-,-,
5,Soil pH: 2. extreme minimum,1.07,4.7,-,-,
6,Water pH: 2. extreme minimum,1.07A,4.64,-,-,
7,Soil pH: 3. typical maximum,1.08,5.83,-,-,
8,Water pH: 3. typical maximum,1.08A,5.76,-,-,
9,Soil pH: 4. typical minimum,1.09,4.95,-,-,
10,Water pH: 4. typical minimum,1.09A,4.7,-,-,
11,Shade,1.10,none,,-,
12,Altitude: 1. maximum recorded (m),1.12,457,-,-,
13,Altitude: 4. typical minimum (m),1.14,0,-,-,
14,Flow,1.15A,nil,-,-,
15,Flow,1.15A,slight,-,-,
16,Status,2.01,native,-,-,
17,Typical abundance where naturally occurring,2.02,frequent,-,-,
18,Dynamics,2.03,declining,-,-,
19,First historical record: 1. date,2.04,1699,-,-,
20,Range: 3. continents where native,2.11,Asia,-,-,
21,Range: 3. continents where native,2.11,Europe,-,-,
22,Range: 3. continents where native,2.11,North America,-,-,
23,SN Index,2.13,3.5,-,-,
24,EW Index,2.14,4.21,-,-,
25,number of European countries in which native,2.17,21,-,-,
26,Stems: 1. woodiness,3.01,non-woody,-,-,
27,Stems: 2. support,3.02,self-supporting,-,-,
28,Height: 3. typical maximum (cm),3.05,120,-,-,
29,Height: 4. typical minimum (cm),3.06,30,-,-,
30,Spread,3.07,height = width,-,-,
31,Heterophylly,3.08,none,-,-,
32,Leaf shape: 1. type,3.09,simple,-,-,
33,Leaf shape: 2. outline,3.10,toothed,-,-,
34,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
35,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
36,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
37,Leaf shape: 6. petiole,3.14,sheathing,-,-,
38,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
39,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
40,Leaf area (cm2),3.17,10-100,-,-,
41,Photosynthetic pathway,4.02,C3,-,-,
42,Heavy metal resistance,4.05,none,-,-,
43,Carnivory,4.06,does not kill insects,-,-,
44,Nutrition,4.07,autotrophic,-,-,
45,Life-form,5.01,helophyte,-,-,
46,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
47,Vegetative reproduction/persistence: 2. pattern,5.06,diffuse ramets,-,-,
48,Flowering time: 1. earliest month,5.07,6,-,-,
49,Flowering time: 2. latest month,5.08,6,-,-,
50,Pollen vector,5.15,wind,-,-,
51,Dicliny,5.16,monoecious,-,-,
52,Dichogamy,5.17,protogynous,-,-,
53,Fertilization,5.19,normally cross,-,-,
54,Chromosome number(s): 1. number,5.25,70,,-,
