,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Shade,1.1,none,-,-,
3,Status,2.01,naturalised,-,-,
4,Typical abundance where naturally occurring,2.02,scattered,-,-,
5,Dynamics,2.03,declining,-,-,
6,Range: 3. continents where native,2.11,Asia,-,-,
7,Range: 3. continents where native,2.11,Europe,-,-,
8,SN Index,2.13,1.4,-,-,
9,EW Index,2.14,3.57,-,-,
10,number of European countries in which native,2.17,14,-,-,
11,Stems: 1. woodiness,3.01,non-woody,-,-,
12,Stems: 2. support,3.02,self-supporting,-,-,
13,Height: 1. extreme maximum (cm),3.03,100,,,
14,Height: 3. typical maximum (cm),3.05,60,-,-,
15,Height: 4. typical minimum (cm),3.06,20,-,-,
16,Spread,3.07,height = width,-,-,
17,Heterophylly,3.08,developmental,-,-,
18,Leaf shape: 1. type,3.09,simple,-,-,
19,Leaf shape: 2. outline,3.1,entire,-,-,
20,Leaf shape: 2. outline,3.1,lobed and toothed,-,-,
21,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
22,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,,,
23,Leaf shape: 4. length versus breadth,3.12,>3x as long as broad,5-15 cm length,,
24,Leaf shape: 5. leaf base,3.13,not applicable,compound leaves,-,
25,Leaf shape: 6. petiole,3.14,petiolate,-,-,
26,Leaf shape: 6. petiole,3.14,sessile,-,-,
27,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
28,Stomata: 1. surfaces present,3.19,both,,,
29,Stomata: 2. density on lower surface(no/mm2),3.2,196.67,,,
30,Stomata: 3. density on upper surface (no/mm2),3.21,190,,,
31,Photosynthetic pathway,4.02,C3,-,-,
32,Heavy metal resistance,4.05,none,-,-,
33,Carnivory,4.06,does not kill insects,-,-,
34,Nutrition,4.07,autotrophic,-,-,
35,Life-form,5.01,therophyte,-,-,
36,Longevity of stems (yrs),5.02,<1,-,-,
37,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
38,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
39,Flowering time: 1. earliest month,5.07,7,-,-,
40,Flowering time: 2. latest month,5.08,9,-,-,
41,Pollen vector,5.15,insect,-,-,
42,Dicliny,5.16,hermaphrodite,-,-,
43,Chromosome number(s): 1. number,5.25,16,,-,
44,2C DNA content (pg),5.26,1.74,2n=16,,
45,Appendages on dispersal unit,5.27,pappus,only on seeds from central flowers,-,
46,Dispersule size - length of longest axis (mm),5.3,6.0,,-,
47,Seed size - length of longest axis (mm),5.31,3.0,achene,-,
48,Seed weight: 3. mean (mg),5.34,3,,,
49,Seed production: 2. typical range (/flower),5.36,10-100,-,-,
50,Seed viability,5.49,some non-viable,-,-,
51,Normal method of propagation,5.52,seed,-,-,
52,Seedbank type,5.53,short-term persistent,-,-,
53,Flower colour,5.58,yellow,,,
54,Petal no,5.59,5,many,flowers mistaken for petals,
55,Petal (sepal) size (cm),5.6,1.65,1.3-2.0,tubular,
56,Stigma number,5.61,2,,,
57,Stamen number,5.62,5,,fused into a tube,
58,Sepal number,5.63,0,many,sepaloid phyllaries,
59,Carpel/Style number,5.64,1,,,
60,Inflorescence type,5.65,capitulum,,"solitary, open array",
61,Physical defences on leaves,6.02,soft hairs,-,-,
62,Physical defences on stems,6.03,soft hairs,-,-,
63,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
64,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
65,Ellenberg : Moisture,7.15,3,,Data calculated for the Czech Republic,
66,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
67,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
68,Ellenberg: pH,7.16,7,,Data calculated for Europe,
69,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
70,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for Europe,
71,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
72,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
73,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
74,Ellenberg: Temperature,7.23,8,,Data calculated for the Czech Republic,
75,Ellenberg: Continetality,7.24,6,,Data calculated for Europe,
