,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Shade,1.1,none,-,-,
2,Altitude: 1. maximum recorded (m),1.12,1210,-,-,
3,Altitude: 1. maximum recorded (m),1.12,1213,-,-,
4,Altitude: 2. minimum recorded (m),1.13,300,-,-,
5,Altitude: 2. minimum recorded (m),1.13,451,-,-,
6,Status,2.01,native,-,-,
7,Typical abundance where naturally occurring,2.02,scattered,-,-,
8,Dynamics,2.03,stable,-,-,
9,First historical record: 1. date,2.04,1688,-,-,
10,Range: 3. continents where native,2.11,Europe,-,-,
11,Range: 3. continents where native,2.11,North America,-,-,
12,SN Index,2.13,7.76,-,-,
13,EW Index,2.14,3.62,-,-,
14,British distribution (post 1949 records),2.15,40,-,-,
15,number of European countries in which native,2.17,19,-,-,
16,Stems: 1. woodiness,3.01,non-woody,-,-,
17,Stems: 2. support,3.02,decumbent,-,-,
18,Height: 3. typical maximum (cm),3.05,15,-,-,
19,Spread,3.07,height < width,-,-,
20,Heterophylly,3.08,none,-,-,
21,Leaf shape: 1. type,3.09,simple,-,-,
22,Leaf shape: 2. outline,3.1,entire,-,-,
23,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
24,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
25,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
26,Leaf shape: 6. petiole,3.14,sessile,-,-,
27,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
28,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
29,Leaf area (cm2),3.17,0.1-1,-,-,
30,Stomata: 1. surfaces present,3.19,both,,-,
31,Stomata: 2. density on lower surface(no/mm2),3.2,28,,-,
32,Stomata: 3. density on upper surface (no/mm2),3.21,60,,-,
33,Photosynthetic pathway,4.02,C3,-,-,
34,Heavy metal resistance,4.05,none,-,-,
35,Carnivory,4.06,does not kill insects,-,-,
36,Nutrition,4.07,autotrophic,-,-,
37,Life-form,5.01,chamaephyte,-,-,
38,Flowering time: 1. earliest month,5.07,6,-,-,
39,Flowering time: 2. latest month,5.08,8,-,-,
40,Pollen vector,5.15,insect,-,-,
41,Dicliny,5.16,gynodioecious,,-,
42,Dicliny,5.16,hermaphrodite,-,-,
43,Dichogamy,5.17,protandrous,-,-,
44,Fertilization,5.19,cross or automatic self,-,-,
45,Incompatibility systems,5.22,none,-,-,
46,Chromosome number(s): 1. number,5.25,108,,-,
47,Chromosome number(s): 1. number,5.25,54,,-,
48,Chromosome number(s): 1. number,5.25,72,-,-,
49,Chromosome number(s): 1. number,5.25,c. 54,,-,
50,2C DNA content (pg),5.26,3.70,2n=72,,
51,Dispersule size - length of longest axis (mm),5.3,1.2,seed,-,
52,Seed size - length of longest axis (mm),5.31,1.2,seed,-,
53,Seed weight: 3. mean (mg),5.34,0.2363,,,
54,Normal method of propagation,5.52,seed and vegetative,-,-,
55,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
56,Maximum seedbank density (m2),5.54,132,-,-,
57,Minimum seedbank density (m2),5.55,41,-,-,
58,Mean seedbank density (m2),5.56,87,-,-,
59,Flower colour,5.58,white,,,
60,Petal no,5.59,5,,,
61,Petal (sepal) size (cm),5.6,1.75,1.5-2,,
62,Stigma number,5.61,5,,,
63,Stamen number,5.62,10,,,
64,Sepal number,5.63,5,,,
65,Carpel/Style number,5.64,5,,,
66,Inflorescence type,5.65,cyme,,,
67,Physical defences on leaves,6.02,glandular hairs,few,-,
68,Physical defences on leaves,6.02,soft hairs,-,-,
69,Physical defences on stems,6.03,glandular hairs,-,-,
70,Physical defences on stems,6.03,soft hairs,-,-,
71,Physical defences on flowers/fruits,6.04,soft hairs,sepals,-,
72,Rarity Status,7.02,Scarce,,,
73,Change Index,7.03,-0.84,,,
74,Biome,7.04,Arctic Montane,,,
75,Eastern Limit,7.05,European,,,
76,Continentality,7.06,Not continental,,,
77,Northern Limit in Britain,7.07,No,,,
78,"Northern European Limit (Lat,5C band)",7.08,>65,,,
79,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
80,Southern European Limit,7.1,No,,,
81,January mean temperature,7.11,0.40,,,
82,July mean temperature,7.12,11,,,
83,Annual precipitation,7.13,2003,,,
84,Ellenberg Indicator: Light,7.14,9,,,
85,Ellenberg : Moisture,7.15,5,,,
86,Ellenberg: pH,7.16,6,,,
87,Ellenberg Indicator: Nitrogen,7.17,2,,,
88,Ellenberg Indicator: Salt,7.18,0,,,
89,Life Form: normal state,7.19,Chamaephyte,,,
90,Clonality: normal state,7.21,Shortly creeping and rooting at nodes,,,
