,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Shade,1.1,none,-,-,
2,Altitude: 1. maximum recorded (m),1.12,15,-,-,
3,Altitude: 2. minimum recorded (m),1.13,15,-,-,
4,Status,2.01,native,-,-,
5,Typical abundance where naturally occurring,2.02,scattered,-,-,
6,SN Index,2.13,10,-,-,
7,number of European countries in which native,2.17,1,-,-,
8,Leaf area (cm2),3.17,<0.1,-,-,
9,Photosynthetic pathway,4.02,C3,-,-,
10,Heavy metal resistance,4.05,none,-,-,
11,Carnivory,4.06,does not kill insects,-,-,
12,Nutrition,4.07,autotrophic,-,-,
13,Chromosome number(s): 1. number,5.25,108,-,-,
14,Conservation Status,7.01,Vulnerable,,,
15,Rarity Status,7.02,Rare,,,
16,Biome,7.04,Boreal montane,,,
17,Eastern Limit,7.05,Oceanic,,,
18,Continentality,7.06,Not continental,,,
19,Northern Limit in Britain,7.07,No,,,
20,Southern European Limit,7.1,No Data,,,
21,January mean temperature,7.11,3,,,
22,July mean temperature,7.12,11.5,,,
23,Annual precipitation,7.13,1256,,,
24,Ellenberg Indicator: Light,7.14,9,,,
25,Ellenberg : Moisture,7.15,3,,,
26,Ellenberg: pH,7.16,5,,,
27,Ellenberg Indicator: Nitrogen,7.17,1,,,
28,Ellenberg Indicator: Salt,7.18,0,,,
29,Life Form: normal state,7.19,Chamaephyte,,,
30,Clonality: normal state,7.21,Little or no vegetative spread,,,
