,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 2. minimum recorded (m),1.13,0,-,-,
4,Altitude: 4. typical minimum (m),1.14,0,-,-,
5,Status,2.01,native,-,-,
6,Typical abundance where naturally occurring,2.02,scattered,-,-,
7,Dynamics,2.03,fluctuating,-,-,
8,First historical record: 1. date,2.04,1795,-,-,
9,First historical record: 2. site,2.05,"Croydon, Surrey",-,-,
10,Range: 3. continents where native,2.11,Europe,-,-,
11,SN Index,2.13,.97,-,-,
12,EW Index,2.14,6.38,-,-,
13,British distribution (post 1949 records),2.15,39,-,-,
14,number of European countries in which native,2.17,28,-,-,
15,Stems: 1. woodiness,3.01,non-woody,-,-,
16,Stems: 2. support,3.02,self-supporting,-,-,
17,Height: 3. typical maximum (cm),3.05,12,-,-,
18,Height: 4. typical minimum (cm),3.06,2,-,-,
19,Spread,3.07,height > width,-,-,
20,Heterophylly,3.08,none,-,-,
21,Leaf shape: 1. type,3.09,simple,-,-,
22,Leaf shape: 2. outline,3.1,entire,-,-,
23,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
24,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
25,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
26,Leaf shape: 6. petiole,3.14,sessile,-,-,
27,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
28,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
29,Leaf area (cm2),3.17,0.1-1,-,-,
30,Photosynthetic pathway,4.02,C3,-,-,
31,Heavy metal resistance,4.05,none,-,-,
32,Carnivory,4.06,does not kill insects,-,-,
33,Nutrition,4.07,autotrophic,-,-,
34,Life-form,5.01,therophyte,-,-,
35,Longevity of stems (yrs),5.02,<1,-,-,
36,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
37,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
38,Flowering time: 1. earliest month,5.07,4,-,-,
39,Flowering time: 2. latest month,5.08,5,-,-,
40,Pollen vector,5.15,selfed,-,-,
41,Dicliny,5.16,gynodioecious,,-,
42,Dicliny,5.16,hermaphrodite,-,-,
43,Fertilization,5.19,normally self,-,-,
44,Incompatibility systems,5.22,none,-,-,
45,Chromosome number(s): 1. number,5.25,90,-,-,
46,Time of seed dispersal (season),5.28,summer,-,-,
47,Dispersule size - length of longest axis (mm),5.3,0.6,seed,-,
48,Seed size - length of longest axis (mm),5.31,0.6,seed,-,
49,Seed weight: 3. mean (mg),5.34,0.15,,,
50,Time of germination (season),5.39,autumn,,-,
51,Time of germination (season),5.39,autumn,-,-,
52,Time of germination (season),5.39,summer,late,-,
53,Normal method of propagation,5.52,seed,-,-,
54,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
55,Seedbank type,5.53,transient,-,-,
56,Maximum seedbank density (m2),5.54,48,-,-,
57,Minimum seedbank density (m2),5.55,48,-,-,
58,Mean seedbank density (m2),5.56,48,-,-,
59,Flower colour,5.58,white,,,
60,Petal no,5.59,5,,,
61,Petal (sepal) size (cm),5.6,0.45,0.4-0.5,,
62,Stigma number,5.61,5,,,
63,Stamen number,5.62,5,,,
64,Sepal number,5.63,5,,,
65,Carpel/Style number,5.64,5,,,
66,Inflorescence type,5.65,cyme,,,
67,Physical defences on leaves,6.02,hairy,-,-,
68,Physical defences on stems,6.03,glandular hairs,-,-,
69,Physical defences on stems,6.03,hairy,-,-,
70,Physical defences on flowers/fruits,6.04,glandular hairs,sepals,-,
71,Rarity Status,7.02,Scarce,,,
72,Change Index,7.03,-0.17,,,
73,Biome,7.04,Temperate,,,
74,Eastern Limit,7.05,European,,,
75,Continentality,7.06,Not continental,,,
76,Northern Limit in Britain,7.07,No,,,
77,"Northern European Limit (Lat,5C band)",7.08,60-65,,,
78,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
79,Southern European Limit,7.1,No,,,
80,January mean temperature,7.11,4.1,,,
81,July mean temperature,7.12,16,,,
82,Annual precipitation,7.13,806,,,
83,Ellenberg Indicator: Light,7.14,8,,,
84,Ellenberg Indicator: Light,7.14,9,,Data calculated for the Czech Republic,
85,Ellenberg Indicator: Light,7.14,,,Data calculated for Europe,
86,Ellenberg : Moisture,7.15,2,,,
87,Ellenberg : Moisture,7.15,3,,Data calculated for the Czech Republic,
88,Ellenberg : Moisture,7.15,,,Data calculated for Europe,
89,Ellenberg: pH,7.16,8,,,
90,Ellenberg: pH,7.16,8,,Data calculated for the Czech Republic,
91,Ellenberg: pH,7.16,,,Data calculated for Europe,
92,Ellenberg Indicator: Nitrogen,7.17,1,,,
93,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for the Czech Republic,
94,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
95,Ellenberg Indicator: Salt,7.18,0,,,
96,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
97,Ellenberg Indicator: Salt,7.18,,,Data calculated for Europe,
98,Life Form: normal state,7.19,Therophyte,,,
99,Clonality: normal state,7.21,Little or no vegetative spread,,,
100,Ellenberg: Temperature,7.23,8,,Data calculated for the Czech Republic,
101,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
102,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
