,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil moisture: 2. drainage,1.03,free draining,,,
1,Shade,1.1,none,,,
2,Status,2.01,naturalised,,,
3,Range: 3. continents where native,2.11,Europe,,,
4,Stems: 1. woodiness,3.01,non woody,,,
5,Stems: 2. support,3.02,prostrate,,,
6,Height: 1. extreme maximum (cm),3.03,40,,,
7,Height: 3. typical maximum (cm),3.05,30,,,
8,Height: 4. typical minimum (cm),3.06,15,,,
9,Spread,3.07,height<,,,
10,Heterophylly,3.08,none,,,
11,Leaf shape: 1. type,3.09,simple,,,
12,Leaf shape: 6. petiole,3.14,sessile,,,
13,Root system,3.24,adventitious,,,
14,Carnivory,4.06,does not kill insects,,,
15,Nutrition,4.07,autotrophic,,,
16,Response to frost (non-woody tissue),4.09,resistant,,,
17,Life-form,5.01,chamaephyte,,,
18,Flowering time: 1. earliest month,5.07,5,,,
19,Flowering time: 2. latest month,5.08,8,,,
20,Flowering time: 3. peak month,5.09,7,,,
21,Pollen vector,5.15,insects,,,
22,Dicliny,5.16,hermaphrodite,,,
23,Dichogamy,5.17,homogamous,,,
24,Dichogamy,5.17,protandrous,,,
25,Chromosome number(s): 1. number,5.25,72,,,
26,Seed size - length of longest axis (mm),5.31,4,,,
27,Seed weight: 3. mean (mg),5.34,0.9,,,
28,Flower colour,5.58,white,,,
29,Petal no,5.59,5,,,
30,Petal (sepal) size (cm),5.6,0.75,0.6-0.9,,
31,Stigma number,5.61,5,,,
32,Stamen number,5.62,10,,,
33,Sepal number,5.63,5,,,
34,Carpel/Style number,5.64,5,,,
35,Inflorescence type,5.65,cyme,,,
36,Physical defences on leaves,6.02,dense hairs,,,
37,Physical defences on stems,6.03,dense hairs,,,
38,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
39,Ellenberg Indicator: Light,7.14,,,Data calculated for Europe,
40,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
41,Ellenberg : Moisture,7.15,,,Data calculated for Europe,
42,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
43,Ellenberg: pH,7.16,,,Data calculated for Europe,
44,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for the Czech Republic,
45,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
46,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
47,Ellenberg Indicator: Salt,7.18,,,Data calculated for Europe,
48,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
49,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
50,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
