,Name,Number,Value,Modifier,Notes,Subspecies
0,Water nutrients,1.01A,eutrophic,-,-,
1,Water nutrients,1.01A,eutrophic,-,-,
2,Water nutrients,1.01A,mesotrophic,-,-,
3,Salinity,1.05,brackish,-,-,
4,Salinity,1.05,fresh,-,-,
5,Salinity,1.05,fresh,-,-,
6,Shade,1.10,none,-,-,
7,Altitude: 2. minimum recorded (m),1.13,0,-,-,
8,Altitude: 4. typical minimum (m),1.14,0,-,-,
9,Flow,1.15A,nil,-,-,
10,Flow,1.15A,nil,-,-,
11,Flow,1.15A,slight,-,-,
12,Flow,1.15A,slight,-,-,
13,Status,2.01,native,-,-,
14,Dynamics,2.03,increasing,-,-,
15,First historical record: 1. date,2.04,1660,-,-,
16,Range: 3. continents where native,2.11,Africa,-,-,
17,Range: 3. continents where native,2.11,Asia,-,-,
18,Range: 3. continents where native,2.11,Europe,-,-,
19,Range: 3. continents where native,2.11,North America,-,-,
20,SN Index,2.13,1.95,-,-,
21,EW Index,2.14,3.51,-,-,
22,British distribution (post 1949 records),2.15,385,-,-,
23,number of European countries in which native,2.17,31,-,-,
24,Stems: 1. woodiness,3.01,non-woody,-,-,
25,Leaf position,3.02A,submerged,-,-,
26,Height: 3. typical maximum (cm),3.05,100,,,
27,Height: 4. typical minimum (cm),3.06,20,,,
28,Spread,3.07,not applicable,aquatic,-,
29,Heterophylly,3.08,none,-,-,
30,Leaf shape: 1. type,3.09,compound,-,-,
31,Leaf shape: 2. outline,3.10,entire,-,-,
32,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
33,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
34,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
35,Leaf shape: 6. petiole,3.14,sessile,-,-,
36,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
37,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
38,Stomata: 1. surfaces present,3.19,none,-,-,
39,Root system,3.24,absent,-,-,
40,Photosynthetic pathway,4.02,C3,-,-,
41,Heavy metal resistance,4.05,none,-,-,
42,Carnivory,4.06,does not kill insects,-,-,
43,Nutrition,4.07,autotrophic,-,-,
44,Life-form,5.01,hydrophyte,-,-,
45,Longevity of stems (yrs),5.02,<1,-,-,
46,Vegetative reproduction/persistence: 1. method,5.05,fragmenting,,,
47,Vegetative reproduction/persistence: 2. pattern,5.06,ramets not connected,,,
48,Flowering time: 1. earliest month,5.07,7,-,-,
49,Flowering time: 2. latest month,5.08,9,-,-,
50,Pollen: 2. diameter (um),5.13,45,-,-,
51,Pollen: 2. diameter (um),5.13,62.5,-,-,
52,Pollen vector,5.15,water,-,-,
53,Dicliny,5.16,monoecious,-,-,
54,Dichogamy,5.17,protogynous,-,-,
55,Chromosome number(s): 1. number,5.25,34,,-,
56,2C DNA content (pg),5.26,1.38,,,
57,Dispersule size - length of longest axis (mm),5.30,4.0,nut,-,
58,Seed size - length of longest axis (mm),5.31,4.0,nut,-,
59,Seedbank type,5.53,transient,-,-,
60,Flower colour,5.58,green,,,
61,Petal no,5.59,8,numerous,,
62,Petal (sepal) size (cm),5.60,0.2,,,
63,Stigma number,5.61,1,,,
64,Stamen number,5.62,17,10-25,,
65,Sepal number,5.63,0,,,
66,Carpel/Style number,5.64,1,,,
67,Inflorescence type,5.65,solitary,,"sessile, axillary",
68,Physical defences on leaves,6.02,glabrous,,,
69,Physical defences on stems,6.03,glabrous,,,
70,Physical defences on flowers/fruits,6.04,spines,,,
71,Physical defences on buds,6.05,glabrous,,,
72,Rarity Status,7.02,Present,,,
73,Change Index,7.03,0.87,,,
74,Biome,7.04,Southern Temperate,,,
75,Eastern Limit,7.05,Circumpolar,,,
76,Continentality,7.06,Not continental,,,
77,Northern Limit in Britain,7.07,No,,,
78,"Northern European Limit (Lat,5C band)",7.08,>65,,,
79,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
80,Southern European Limit,7.10,No,,,
81,January mean temperature,7.11,3.7,,,
82,July mean temperature,7.12,16,,,
83,Annual precipitation,7.13,770,,,
84,Ellenberg Indicator: Light,7.14,6,,Data calculated for the Czech Republic,
85,Ellenberg Indicator: Light,7.14,6,,Data calculated for Europe,
86,Ellenberg Indicator: Light,7.14,7,,,
87,Ellenberg : Moisture,7.15,12,,,
88,Ellenberg : Moisture,7.15,12,,Data calculated for the Czech Republic,
89,Ellenberg : Moisture,7.15,12~,,Data calculated for Europe,
90,Ellenberg: pH,7.16,7,,,
91,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
92,Ellenberg: pH,7.16,8,,Data calculated for Europe,
93,Ellenberg Indicator: Nitrogen,7.17,7,,,
94,Ellenberg Indicator: Nitrogen,7.17,8,,Data calculated for the Czech Republic,
95,Ellenberg Indicator: Nitrogen,7.17,8,,Data calculated for Europe,
96,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
97,Ellenberg Indicator: Salt,7.18,1,,,
98,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
99,Life Form: normal state,7.19,Perennial hydrophyte,,,
100,Clonality: normal state,7.21,Irregularly fragmenting (mainly water plants),,,
101,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
102,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
103,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
