,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Soil nutrients,1.01,very fertile,-,-,
3,Soil nutrients,1.01,very infertile,-,-,
4,Shade,1.1,none,-,-,
5,Altitude: 1. maximum recorded (m),1.12,340,-,-,
6,Altitude: 2. minimum recorded (m),1.13,0,-,-,
7,Altitude: 4. typical minimum (m),1.14,0,-,-,
8,Status,2.01,native,-,-,
9,Typical abundance where naturally occurring,2.02,scattered,-,-,
10,Range: 3. continents where native,2.11,Asia,-,-,
11,Range: 3. continents where native,2.11,Europe,-,-,
12,SN Index,2.13,2.49,-,-,
13,EW Index,2.14,4.04,-,-,
14,number of European countries in which native,2.17,26,-,-,
15,Stems: 1. woodiness,3.01,non-woody,-,-,
16,Stems: 2. support,3.02,self-supporting,-,-,
17,Height: 3. typical maximum (cm),3.05,25,-,-,
18,Height: 4. typical minimum (cm),3.06,8,-,-,
19,Spread,3.07,height = width,-,-,
20,Heterophylly,3.08,none,-,-,
21,Leaf shape: 1. type,3.09,simple,-,-,
22,Leaf shape: 2. outline,3.1,entire,-,-,
23,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
24,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
25,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
26,Leaf shape: 6. petiole,3.14,petiolate,-,-,
27,Leaf area (cm2),3.17,0.1-1,-,-,
28,Leaf longevity: 1. type,3.22,aestival,-,-,
29,Photosynthetic pathway,4.02,C3,-,-,
30,Heavy metal resistance,4.05,none,-,-,
31,Carnivory,4.06,does not kill insects,-,-,
32,Nutrition,4.07,autotrophic,-,-,
33,Life-form,5.01,therophyte,-,-,
34,Longevity of stems (yrs),5.02,<1,-,-,
35,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
36,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
37,Flowering time: 1. earliest month,5.07,5,-,-,
38,Flowering time: 2. latest month,5.08,10,-,-,
39,Pollen: 2. diameter (um),5.13,25,-,-,
40,Pollen vector,5.15,selfed,-,-,
41,Dicliny,5.16,hermaphrodite,-,-,
42,Fertilization,5.19,normally self,-,-,
43,Incompatibility systems,5.22,none,-,-,
44,Pollen/ovule ratio,5.23,344.4,,-,
45,Chromosome number(s): 1. number,5.25,14,,-,
46,Time of seed dispersal (season),5.28,autumn,-October,-,
47,Time of seed dispersal (season),5.28,summer,-,-,
48,Dispersule size - length of longest axis (mm),5.3,1.1,seed,-,
49,Seed size - length of longest axis (mm),5.31,1.1,seed,-,
50,Seed weight: 3. mean (mg),5.34,0.07,-,-,
51,Seed weight: 3. mean (mg),5.34,0.08,,,
52,Seed production: 1. maximum (/flower),5.35,103,-,-,
53,Seed production: 2. typical range (/flower),5.36,10-100,-,-,
54,Seed production: 3. typical range (/plant),5.37,1000-10000,-,-,
55,Dispersal agent,5.38,wind,-,-,
56,Time of germination (season),5.39,spring,-,-,
57,Maximum temperature at which 50% seeds germinate,5.42,35,-,-,
58,Minimum temperature at which 50% seeds germinate,5.44,12,-,-,
59,Germination requirements 1. chilling,5.45,absolute,-,-,
60,Germination type,5.48,epigeal,-,-,
61,Seedbank longevity,5.5,1-5 yrs,-,-,
62,Normal method of propagation,5.52,seed,-,-,
63,Seedbank type,5.53,long-term persistent,-,-,
64,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
65,Seedbank type,5.53,short-term persistent,-,-,
66,Seedbank type,5.53,transient,-,-,
67,Maximum seedbank density (m2),5.54,1377,-,-,
68,Minimum seedbank density (m2),5.55,6,-,-,
69,Mean seedbank density (m2),5.56,260.75,-,-,
70,Flower colour,5.58,purple,"pale purple, cream",,
71,Petal no,5.59,5,,2 lipped,
72,Petal (sepal) size (cm),5.6,0.7,0.6-0.8,,
73,Stigma number,5.61,1,,,
74,Stamen number,5.62,4,,,
75,Sepal number,5.63,5,,,
76,Carpel/Style number,5.64,1,,,
77,Inflorescence type,5.65,solitary,,axillary,
78,Physical defences on leaves,6.02,glandular hairs,-,-,
79,Physical defences on stems,6.03,glandular hairs,-,-,
80,Change Index,7.03,-0.63,,,
81,Biome,7.04,Temperate,,,
82,Eastern Limit,7.05,European,,,
83,Continentality,7.06,Not continental,,,
84,Northern Limit in Britain,7.07,No,,,
85,Southern European Limit,7.1,No Data,,,
86,January mean temperature,7.11,3.6,,,
87,July mean temperature,7.12,15,,,
88,Annual precipitation,7.13,899,,,
89,Ellenberg Indicator: Light,7.14,8,,,
90,Ellenberg : Moisture,7.15,4,,,
91,Ellenberg: pH,7.16,7,,,
92,Ellenberg Indicator: Nitrogen,7.17,4,,,
93,Ellenberg Indicator: Salt,7.18,0,,,
94,Life Form: normal state,7.19,Therophyte,,,
95,Clonality: normal state,7.21,Little or no vegetative spread,,,
