,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 2. minimum recorded (m),1.13,0,-,-,
4,Altitude: 4. typical minimum (m),1.14,0,-,-,
5,Status,2.01,native,-,-,
6,First historical record: 1. date,2.04,1713,-,-,
7,First historical record: 2. site,2.05,London,-,-,
8,Range: 3. continents where native,2.11,Africa,-,-,
9,Range: 3. continents where native,2.11,Asia,-,-,
10,Range: 3. continents where native,2.11,Europe,-,-,
11,SN Index,2.13,1.62,-,-,
12,EW Index,2.14,2.4,-,-,
13,number of European countries in which native,2.17,18,-,-,
14,Stems: 1. woodiness,3.01,non-woody,-,-,
15,Stems: 2. support,3.02,decumbent,-,-,
16,Stems: 2. support,3.02,self-supporting,-,-,
17,Height: 3. typical maximum (cm),3.05,90,-,-,
18,Height: 4. typical minimum (cm),3.06,30,-,-,
19,Spread,3.07,height = width,-,-,
20,Heterophylly,3.08,developmental,-,-,
21,Leaf shape: 1. type,3.09,simple,-,-,
22,Leaf shape: 2. outline,3.1,lobed and toothed,-,-,
23,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
24,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
25,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
26,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
27,Leaf shape: 5. leaf base,3.13,truncate,-,-,
28,Stomata: 1. surfaces present,3.19,both,-,-,
29,Stomata: 2. density on lower surface(no/mm2),3.2,63,-,-,
30,Stomata: 3. density on upper surface (no/mm2),3.21,39,-,-,
31,Photosynthetic pathway,4.02,C3,-,-,
32,Heavy metal resistance,4.05,none,-,-,
33,Carnivory,4.06,does not kill insects,-,-,
34,Nutrition,4.07,autotrophic,-,-,
35,Life-form,5.01,therophyte,-,-,
36,Longevity of stems (yrs),5.02,<1,-,-,
37,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
38,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
39,Flowering time: 1. earliest month,5.07,7,-,-,
40,Flowering time: 2. latest month,5.08,9,-,-,
41,Pollen vector,5.15,wind,-,-,
42,Dicliny,5.16,gynomonoecious,-,-,
43,Dichogamy,5.17,markedly protogynous,-,-,
44,Chromosome number(s): 1. number,5.25,18,,-,
45,2C DNA content (pg),5.26,1.33,2n=18,,
46,Dispersule size - length of longest axis (mm),5.3,1.2,seed,-,
47,Seed size - length of longest axis (mm),5.31,1.2,seed,-,
48,Seed weight: 3. mean (mg),5.34,0.369,,,
49,Seed weight: 3. mean (mg),5.34,0.61,,,
50,Time of germination (season),5.39,autumn,-October,-,
51,Time of germination (season),5.39,spring,-,-,
52,Time of germination (season),5.39,summer,-,-,
53,Germination requirements 1. chilling,5.45,partial,,-,
54,Germination requirements 2. light,5.46,partial,,-,
55,Germination requirements 3. temperature fluctuation,5.47,partial,,-,
56,Normal method of propagation,5.52,seed,-,-,
57,Seedbank type,5.53,long-term persistent,-,-,
58,Flower colour,5.58,green,0,,
59,Petal no,5.59,3,2-5,tepals,
60,Petal (sepal) size (cm),5.6,0.3,,,
61,Stigma number,5.61,2,3-5,,
62,Stamen number,5.62,2,3,,
63,Sepal number,5.63,0,,tepals,
64,Carpel/Style number,5.64,2,,,
65,Inflorescence type,5.65,cyme,,"small, (glomerules) in branched inflorescences",
66,Physical defences on leaves,6.02,soft hairs,-,-,
67,Physical defences on stems,6.03,soft hairs,-,-,
68,Change Index,7.03,1.90,,,
69,Biome,7.04,Temperate,,,
70,Eastern Limit,7.05,Euro-Siberian,,,
71,Continentality,7.06,Not continental,,,
72,Northern Limit in Britain,7.07,No,,,
73,Southern European Limit,7.1,No Data,,,
74,January mean temperature,7.11,3.9,,,
75,July mean temperature,7.12,16,,,
76,Annual precipitation,7.13,745,,,
77,Ellenberg Indicator: Light,7.14,7,,,
78,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
79,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
80,Ellenberg : Moisture,7.15,6,,,
81,Ellenberg : Moisture,7.15,6,,Data calculated for the Czech Republic,
82,Ellenberg : Moisture,7.15,6,,Data calculated for Europe,
83,Ellenberg: pH,7.16,6,,,
84,Ellenberg: pH,7.16,7x,,Data calculated for the Czech Republic,
85,Ellenberg: pH,7.16,,,Data calculated for Europe,
86,Ellenberg Indicator: Nitrogen,7.17,7,,,
87,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for Europe,
88,Ellenberg Indicator: Nitrogen,7.17,9,,Data calculated for the Czech Republic,
89,Ellenberg Indicator: Salt,7.18,0,,,
90,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
91,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
92,Life Form: normal state,7.19,Therophyte,,,
93,Clonality: normal state,7.21,Little or no vegetative spread,,,
94,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
95,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
96,Ellenberg: Continetality,7.24,7,,Data calculated for Europe,
