,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Shade,1.1,none,,-,
2,Altitude: 2. minimum recorded (m),1.13,0,-,-,
3,Altitude: 4. typical minimum (m),1.14,0,-,-,
4,Status,2.01,native,-,-,
5,Range: 3. continents where native,2.11,Africa,-,-,
6,Range: 3. continents where native,2.11,Asia,-,-,
7,Range: 3. continents where native,2.11,Europe,-,-,
8,SN Index,2.13,2.29,-,-,
9,EW Index,2.14,1.88,-,-,
10,number of European countries in which native,2.17,22,-,-,
11,Stems: 1. woodiness,3.01,non-woody,-,-,
12,Stems: 2. support,3.02,decumbent,-,-,
13,Stems: 2. support,3.02,self-supporting,-,-,
14,Height: 3. typical maximum (cm),3.05,150,-,-,
15,Height: 4. typical minimum (cm),3.06,30,-,-,
16,Spread,3.07,height = width,-,-,
17,Heterophylly,3.08,none,-,-,
18,Leaf shape: 1. type,3.09,simple,-,-,
19,Leaf shape: 2. outline,3.1,lobed and toothed,-,-,
20,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
21,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
22,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
23,Leaf area (cm2),3.17,1-10,-,-,
24,Photosynthetic pathway,4.02,C3,-,-,
25,Heavy metal resistance,4.05,none,-,-,
26,Carnivory,4.06,does not kill insects,-,-,
27,Nutrition,4.07,autotrophic,-,-,
28,Life-form,5.01,therophyte,-,-,
29,Longevity of stems (yrs),5.02,<1,-,-,
30,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
31,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
32,Flowering time: 1. earliest month,5.07,8,-,-,
33,Flowering time: 2. latest month,5.08,10,-,-,
34,Pollen vector,5.15,wind,-,-,
35,Dicliny,5.16,gynomonoecious,-,-,
36,Chromosome number(s): 1. number,5.25,54,-,-,
37,2C DNA content (pg),5.26,2.66,,,
38,Dispersule size - length of longest axis (mm),5.3,1.4,seed,-,
39,Seed size - length of longest axis (mm),5.31,1.4,seed,-,
40,Seed weight: 3. mean (mg),5.34,0.6,,,
41,Normal method of propagation,5.52,seed,-,-,
42,Seedbank type,5.53,transient,-,-,
43,Flower colour,5.58,green,0,,
44,Petal no,5.59,3,2-5,tepals,
45,Petal (sepal) size (cm),5.6,0.3,,,
46,Stigma number,5.61,2,3-5,,
47,Stamen number,5.62,2,3,,
48,Sepal number,5.63,0,,tepals,
49,Carpel/Style number,5.64,2,,,
50,Inflorescence type,5.65,cyme,,"small, (glomerules) in branched inflorescences",
51,Physical defences on leaves,6.02,soft hairs,-,-,
52,Physical defences on stems,6.03,soft hairs,-,-,
53,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
54,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
55,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
56,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
57,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
58,Ellenberg: pH,7.16,7,,Data calculated for Europe,
59,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for Europe,
60,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for the Czech Republic,
61,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
62,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
63,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
64,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
65,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
