,Name,Number,Value,Modifier,Notes,Subspecies
0,2C DNA content (pg),5.26,1.60,,,
1,Seed weight: 3. mean (mg),5.34,0.319,,,
2,Flower colour,5.58,green,0,,
3,Petal no,5.59,3,2-5,tepals,
4,Petal (sepal) size (cm),5.6,0.3,,,
5,Stigma number,5.61,2,3-5,,
6,Stamen number,5.62,2,3,,
7,Sepal number,5.63,0,,tepals,
8,Carpel/Style number,5.64,2,,,
9,Inflorescence type,5.65,cyme,,"small, (glomerules) in branched inflorescences",
10,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
11,Ellenberg Indicator: Light,7.14,9,,Data calculated for Europe,
12,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
13,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
14,Ellenberg: pH,7.16,6x,,Data calculated for the Czech Republic,
15,Ellenberg: pH,7.16,,,Data calculated for Europe,
16,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
17,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for Europe,
18,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
19,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
20,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
21,Ellenberg: Temperature,7.23,7x,,Data calculated for the Czech Republic,
22,Ellenberg: Continetality,7.24,7,,Data calculated for Europe,
