,Name,Number,Value,Modifier,Notes,Subspecies
0,Stomata: 1. surfaces present,3.19,both,,,
1,Stomata: 2. density on lower surface(no/mm2),3.2,154.99,�9.4,,
2,Stomata: 3. density on upper surface (no/mm2),3.21,95.4,�10.3,,
3,Chromosome number(s): 1. number,5.25,16,,,
4,2C DNA content (pg),5.26,1.90,2n=16,,
5,Seed weight: 3. mean (mg),5.34,377.2,,,
6,Flower colour,5.58,white,pale purple,,
7,Petal no,5.59,5,2 fused,,
8,Petal (sepal) size (cm),5.6,1.15,1.1-2,standard,
9,Stigma number,5.61,1,,,
10,Stamen number,5.62,10,9 fused,,
11,Sepal number,5.63,white,5,,
12,Carpel/Style number,5.64,5,,,
13,Inflorescence type,5.65,solitary,,axillary,
