,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Shade,1.1,none,-,-,
2,Altitude: 1. maximum recorded (m),1.12,750,-,-,
3,Altitude: 2. minimum recorded (m),1.13,170,-,-,
4,Status,2.01,native,-,-,
5,Range: 3. continents where native,2.11,Europe,-,-,
6,number of European countries in which native,2.17,9,-,-,
7,Stems: 1. woodiness,3.01,non-woody,-,-,
8,Stems: 2. support,3.02,procumbent,-,-,
9,Height: 3. typical maximum (cm),3.05,25,-,-,
10,Spread,3.07,height = width,-,-,
11,Heterophylly,3.08,none,-,-,
12,Leaf shape: 1. type,3.09,simple,-,-,
13,Leaf shape: 2. outline,3.1,entire,-,-,
14,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
15,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
16,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
17,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
18,Leaf shape: 5. leaf base,3.13,cordate,-,-,
19,Leaf shape: 5. leaf base,3.13,sagittate,-,-,
20,Leaf shape: 6. petiole,3.14,clasping,-,-,
21,Leaf shape: 6. petiole,3.14,petiolate,-,-,
22,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
23,Photosynthetic pathway,4.02,C3,-,-,
24,Heavy metal resistance,4.05,local metallophyte,"Pb, Zn and Cd",-,
25,Carnivory,4.06,does not kill insects,-,-,
26,Nutrition,4.07,autotrophic,-,-,
27,Life-form,5.01,hemicryptophyte,-,-,
28,Longevity of stems (yrs),5.02,<1,-,-,
29,Flowering time: 1. earliest month,5.07,5,-,-,
30,Flowering time: 2. latest month,5.08,8,-,-,
31,Pollen vector,5.15,insect,-,-,
32,Dicliny,5.16,hermaphrodite,-,-,
33,Dichogamy,5.17,homogamous,-,-,
34,Fertilization,5.19,cross and self,-,-,
35,Incompatibility systems,5.22,none,-,-,
36,Chromosome number(s): 1. number,5.25,12,,-,
37,Chromosome number(s): 1. number,5.25,28,-,-,
38,2C DNA content (pg),5.26,0.80,2n=12,,
39,Seed weight: 3. mean (mg),5.34,0.6908,,,
40,Flower colour,5.58,white,"lilac, mauve",,
41,Petal no,5.59,4,,,
42,Petal (sepal) size (cm),5.6,0.325,0.25-0.4,,
43,Stigma number,5.61,2,capitate,,
44,Stamen number,5.62,6,,,
45,Sepal number,5.63,4,,,
46,Carpel/Style number,5.64,1,,,
47,Inflorescence type,5.65,raceme,,,
48,Physical defences on leaves,6.02,glabrous,-,-,
49,Physical defences on stems,6.03,glabrous,-,-,
50,Rarity Status,7.02,Scarce,,,
51,Biome,7.04,Arctic Montane,,,
52,Eastern Limit,7.05,European,,,
53,Continentality,7.06,Not continental,,,
54,Northern Limit in Britain,7.07,Yes,,,
55,"Northern European Limit (Lat,5C band)",7.08,55-60,,,
56,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
57,Southern European Limit,7.1,No,,,
58,January mean temperature,7.11,1.5,,,
59,July mean temperature,7.12,13,,,
60,Annual precipitation,7.13,1567,,,
61,Ellenberg Indicator: Light,7.14,8,,,
62,Ellenberg : Moisture,7.15,7,,,
63,Ellenberg: pH,7.16,8,,,
64,Ellenberg Indicator: Nitrogen,7.17,3,,,
65,Ellenberg Indicator: Salt,7.18,0,,,
66,Life Form: normal state,7.19,Hemicryptophyte,,,
67,Clonality: normal state,7.21,Little or no vegetative spread,,,
