,Name,Number,Value,Modifier,Notes,Subspecies
0,Seed weight: 3. mean (mg),5.34,6,,,
1,Flower colour,5.58,white,purple,,
2,Petal no,5.59,4,,,
3,Petal (sepal) size (cm),5.6,2,1.5-2.5,,
4,Stigma number,5.61,1,,,
5,Stamen number,5.62,2,,,
6,Sepal number,5.63,2,,,
7,Carpel/Style number,5.64,1,,,
8,Inflorescence type,5.65,raceme,,"bracteate, terminal",
9,Ellenberg Indicator: Light,7.14,3,,Data calculated for Europe,
10,Ellenberg Indicator: Light,7.14,4,,Data calculated for the Czech Republic,
11,Ellenberg : Moisture,7.15,6,,Data calculated for the Czech Republic,
12,Ellenberg : Moisture,7.15,6,,Data calculated for Europe,
13,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
14,Ellenberg: pH,7.16,8,,Data calculated for Europe,
15,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for the Czech Republic,
16,Ellenberg Indicator: Nitrogen,7.17,8,,Data calculated for Europe,
17,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
18,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
19,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
20,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
21,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
