,Name,Number,Value,Modifier,Notes,Subspecies
0,Pollen: 2. diameter (um),5.13,33,,,
1,2C DNA content (pg),5.26,1.22,,,
2,Seed weight: 3. mean (mg),5.34,2.42,,,
3,Flower colour,5.58,white,purple,,
4,Petal no,5.59,4,,,
5,Petal (sepal) size (cm),5.6,2,1.5-2.5,,
6,Stigma number,5.61,2,,,
7,Stamen number,5.62,2,,,
8,Sepal number,5.63,2,,,
9,Carpel/Style number,5.64,1,,,
10,Inflorescence type,5.65,raceme,,"bracteate, terminal",
11,Ellenberg Indicator: Light,7.14,3,,Data calculated for Europe,
12,Ellenberg Indicator: Light,7.14,4,,Data calculated for the Czech Republic,
13,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
14,Ellenberg : Moisture,7.15,5,,Data calculated for Europe,
15,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
16,Ellenberg: pH,7.16,7,,Data calculated for Europe,
17,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for the Czech Republic,
18,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for Europe,
19,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
20,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
21,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
22,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
23,Ellenberg: Continetality,7.24,5,,Data calculated for Europe,
