,Name,Number,Value,Modifier,Notes,Subspecies
0,Status,2.01,naturalised,-,-,
1,Range: 3. continents where native,2.11,Asia,-,-,
2,Height: 3. typical maximum (cm),3.05,200,-,-,
3,Leaf shape: 1. type,3.09,simple,-,-,
4,Leaf shape: 2. outline,3.1,entire,-,-,
5,Photosynthetic pathway,4.02,C3,-,-,
6,Heavy metal resistance,4.05,none,-,-,
7,Carnivory,4.06,does not kill insects,-,-,
8,Nutrition,4.07,autotrophic,-,-,
9,2C DNA content (pg),5.26,2.73,,,
10,Dispersule size - length of longest axis (mm),5.3,10.0,fruit (7)9-12mm,-,
11,Seed weight: 3. mean (mg),5.34,22.6,,,
12,Normal method of propagation,5.52,seed,-,-,
13,Flower colour,5.58,pink,,,
14,Petal no,5.59,5,,,
15,Petal (sepal) size (cm),5.6,0.3,0.2-0.4,,
16,Stigma number,5.61,2,5,,
17,Stamen number,5.62,20,15,,
18,Sepal number,5.63,5,,,
19,Carpel/Style number,5.64,2,5,,
20,Inflorescence type,5.65,cluster,2-3 fls,,
