,Name,Number,Value,Modifier,Notes,Subspecies
0,Waterlogging tolerance,1.021,1.04,�,,
1,Shade tolerance,1.101,1.93,�,,
2,Status,2.01,naturalised,-,-,
3,First historical record: 1. date,2.04,1824,date of introduction,-,
4,Range: 3. continents where native,2.11,Asia,-,-,
5,Range: 4. continents where introduced,2.12,Europe,-,-,
6,SN Index,2.13,3.15,-,-,
7,EW Index,2.14,6.6,-,-,
8,Stems: 1. woodiness,3.01,woody,-,-,
9,Stems: 2. support,3.02,self-supporting,-,-,
10,Height: 3. typical maximum (cm),3.05,100,-,-,
11,Spread,3.07,height < width,-,-,
12,Heterophylly,3.08,none,-,-,
13,Leaf shape: 1. type,3.09,simple,-,-,
14,Leaf shape: 2. outline,3.1,entire,-,-,
15,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
16,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
17,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
18,Leaf shape: 6. petiole,3.14,petiolate,-,-,
19,Leaf shape: 7. minimum petiole length (mm),3.15,1,-,-,
20,Leaf shape: 8. maximum petiole length (mm),3.16,2,-,-,
21,Leaf longevity: 1. type,3.22,evergreen,-,-,
22,Photosynthetic pathway,4.02,C3,-,-,
23,Heavy metal resistance,4.05,none,-,-,
24,Carnivory,4.06,does not kill insects,-,-,
25,Nutrition,4.07,autotrophic,-,-,
26,Drought Tolerance,4.081,3.46,�,,
27,Life-form,5.01,phanerophyte,-,-,
28,Mono/poly-carpic,5.04,polycarpic,-,-,
29,Flowering time: 1. earliest month,5.07,5,-,-,
30,Flowering time: 2. latest month,5.08,6,-,-,
31,Pollen vector,5.15,insect,-,-,
32,Dicliny,5.16,hermaphrodite,-,-,
33,Chromosome number(s): 1. number,5.25,68,,-,
34,Normal method of propagation,5.52,seed,-,-,
35,Flower colour,5.58,white,,,
36,Petal no,5.59,5,,,
37,Petal (sepal) size (cm),5.6,0.55,,,
38,Stigma number,5.61,2,5,,
39,Stamen number,5.62,20,15,,
40,Sepal number,5.63,5,,,
41,Carpel/Style number,5.64,2,5,,
42,Inflorescence type,5.65,solitary,,,
43,Physical defences on leaves,6.02,glabrous,upper epidermis,-,
44,Physical defences on leaves,6.02,stiff hairs,lower epidermis,-,
45,Physical defences on leaves,6.02,thick cuticle,-,-,
46,Physical defences on stems,6.03,stiff hairs,-,-,
47,Biome,7.04,Mediterranean,,,
48,Eastern Limit,7.05,Hyperoceanic,,,
49,Continentality,7.06,Not continental,,,
50,Northern Limit in Britain,7.07,No,,,
51,Southern European Limit,7.1,No Data,,,
52,January mean temperature,7.11,3.9,,,
53,July mean temperature,7.12,15,,,
54,Annual precipitation,7.13,1194,,,
55,Ellenberg Indicator: Light,7.14,7,,,
56,Ellenberg : Moisture,7.15,3,,,
57,Ellenberg: pH,7.16,7,,,
58,Ellenberg Indicator: Nitrogen,7.17,4,,,
59,Ellenberg Indicator: Salt,7.18,0,,,
60,Life Form: normal state,7.19,Nanophanerophyte,,,
61,Clonality: normal state,7.21,Little or no vegetative spread,,,
