,Name,Number,Value,Modifier,Notes,Subspecies
0,Range: 1. european countries where native,2.09,Esp,"Mediterranean, Black Sea, Caucasus",,
1,Range: 3. continents where native,2.11,Europe,,,
2,Range: 4. continents where introduced,2.12,"N.America, S. America, Australasia, Asia(Japan)",,,
3,Stems: 1. woodiness,3.01,not woody,self supporting,,
4,Stems: 2. support,3.02,self supporting,,,
5,Height: 3. typical maximum (cm),3.05,75,,,
6,Spread,3.07,ht = width,,,
7,Leaf shape: 1. type,3.09,simple,,,
8,Leaf shape: 2. outline,3.1,dentate,to pinnately lobed,,
9,Leaf shape: 3. pointed/round,3.11,acute,,,
10,Leaf shape: 3. pointed/round,3.11,obtuse,,,
11,Leaf shape: 4. length versus breadth,3.12,>3 x as long as broad,,,
12,Leaf shape: 5. leaf base,3.13,cuneate,,,
13,Leaf shape: 5. leaf base,3.13,saggitate,,,
14,Leaf shape: 6. petiole,3.14,petiolate,basal lvs,,
15,Leaf shape: 6. petiole,3.14,sessile,stem lvs,,
16,Leaf area (cm2),3.17,10-100,,,
17,Root system,3.24,tap,,,
18,Root depth: 1. type,3.25,shallow,,,
19,Nutrition,4.07,autotrophic,,,
20,Life-form,5.01,Therophyte,,,
21,Longevity of stems (yrs),5.02,1-2,,,
22,Mono/poly-carpic,5.04,monocarpic,,,
23,Pollen vector,5.15,insect,,,
24,Dicliny,5.16,hermaphrodite,,,
25,Chromosome number(s): 1. number,5.25,6,,,
26,Chromosome number(s): 1. number,5.25,8,,,
27,2C DNA content (pg),5.26,4.6,,,
28,2C DNA content (pg),5.26,4.65,2n=8,,
29,Appendages on dispersal unit,5.27,pappus,,,
30,Dispersule size - length of longest axis (mm),5.3,19,,,
31,Seed size - length of longest axis (mm),5.31,4.5,4-5,,
32,Seed weight: 3. mean (mg),5.34,0.1832,,,
33,Seed weight: 3. mean (mg),5.34,1.832,,,
34,Dispersal agent,5.38,wind,,,
35,Normal method of propagation,5.52,seed,,,
36,Flower colour,5.58,yellow,,,
37,Petal no,5.59,5,many,flowers mistaken for petals,
38,Petal (sepal) size (cm),5.6,0.9,0.8-1.0,ligulate,
39,Stigma number,5.61,2,,,
40,Stamen number,5.62,5,,fused into a tube,
41,Sepal number,5.63,0,many,sepaloid phyllaries,
42,Carpel/Style number,5.64,1,,,
43,Inflorescence type,5.65,capitulum,,"terminal, branched corymb",
44,Physical defences on leaves,6.02,hairs,,,
45,Physical defences on stems,6.03,hairs,,,
46,Physical defences on buds,6.05,hairas,,,
47,Physical defences on buds,6.05,hairs,,,
48,Ellenberg Indicator: Light,7.14,9,,Data calculated for the Czech Republic,
49,Ellenberg Indicator: Light,7.14,9,,Data calculated for Europe,
50,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
51,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
52,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
53,Ellenberg: pH,7.16,7,,Data calculated for Europe,
54,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for Europe,
55,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
56,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
57,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
58,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
59,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
60,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
