,Name,Number,Value,Modifier,Notes,Subspecies
0,Status,2.01,naturalised,-,-,
1,Range: 3. continents where native,2.11,Africa,-,-,
2,Stems: 1. woodiness,3.01,non-woody,-,-,
3,Height: 3. typical maximum (cm),3.05,120,-,-,
4,Leaf shape: 1. type,3.09,simple,-,-,
5,Leaf shape: 2. outline,3.1,entire,-,-,
6,Photosynthetic pathway,4.02,C3,-,-,
7,Heavy metal resistance,4.05,none,-,-,
8,Carnivory,4.06,does not kill insects,-,-,
9,Nutrition,4.07,autotrophic,-,-,
10,Vegetative reproduction/persistence: 1. method,5.05,corms,-,-,
11,Vegetative reproduction/persistence: 1. method,5.05,stolons,-,-,
12,Dicliny,5.16,hermaphrodite,-,-,
13,2C DNA content (pg),5.26,1.99,,,
14,Seed weight: 3. mean (mg),5.34,7.0103093,,,
15,Flower colour,5.58,orange,red,,
16,Petal no,5.59,6,,tepals,
17,Stigma number,5.61,3,,,
18,Stamen number,5.62,3,,,
19,Sepal number,5.63,0,,tepals,
20,Carpel/Style number,5.64,3,,,
21,Inflorescence type,5.65,branched spike,,,
