,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,,,
1,Soil moisture: 2. drainage,1.03,free draining,,,
2,Shade,1.1,none,,,
3,Range: 1. european countries where native,2.09,"former Yugoslavia, Gr, Alb, Mac, Bulg",,,
4,Range: 3. continents where native,2.11,"Eu, Asia Minor",,,
5,Stems: 1. woodiness,3.01,not woody,,,
6,Stems: 2. support,3.02,self supporting,,,
7,Height: 3. typical maximum (cm),3.05,10,,,
8,Spread,3.07,height = width,,,
9,Heterophylly,3.08,none,,,
10,Leaf shape: 1. type,3.09,simple,,,
11,Leaf shape: 2. outline,3.1,entire,,,
12,Leaf shape: 3. pointed/round,3.11,pointed,,,
13,Leaf shape: 4. length versus breadth,3.12,> 3 x as long as wide,,,
14,Leaf shape: 5. leaf base,3.13,parallel sided,,,
15,Leaf shape: 6. petiole,3.14,sessile,,,
16,Leaf shape: 7. minimum petiole length (mm),3.15,0,,,
17,Leaf shape: 8. maximum petiole length (mm),3.16,0,,,
18,Leaf area (cm2),3.17,0.1-1,,,
19,Leaf longevity: 1. type,3.22,aestival,,,
20,Root system,3.24,fibrous,,,
21,Carnivory,4.06,does not kill insects,,,
22,Nutrition,4.07,autotrophic,,,
23,Response to frost (non-woody tissue),4.09,hardy,,,
24,Vegetative reproduction/persistence: 1. method,5.05,corm,,,
25,Vegetative reproduction/persistence: 2. pattern,5.06,patch,,,
26,Pollen vector,5.15,insect,,,
27,Dicliny,5.16,hermaphrodite,,,
28,Chromosome number(s): 1. number,5.25,10,,,
29,Chromosome number(s): 1. number,5.25,12,,,
30,Chromosome number(s): 1. number,5.25,12 + 3B,,,
31,Chromosome number(s): 1. number,5.25,14,,,
32,Chromosome number(s): 1. number,5.25,20,,,
33,Chromosome number(s): 1. number,5.25,20 + 3B,,,
34,2C DNA content (pg),5.26,7.80,,,
35,Seed size - length of longest axis (mm),5.31,5.1,,,
36,Petal no,5.59,6,,tepals,
37,Petal no,5.59,deep yellow,"bronze, purple",,
38,Stigma number,5.61,3,,,
39,Stamen number,5.62,3,,,
40,Sepal number,5.63,0,,tepals,
41,Carpel/Style number,5.64,3,,,
42,Inflorescence type,5.65,solitary,few,pedicel underground,
43,Physical defences on leaves,6.02,glabrous,,,
44,Physical defences on stems,6.03,glabrous,,,
45,Physical defences on flowers/fruits,6.04,glabrous,,,
46,Physical defences on buds,6.05,glabrous,,,
