,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Soil nutrients,1.01,very fertile,-,-,
3,Soil nutrients,1.01,very infertile,-,-,
4,Shade,1.1,none,-,-,
5,Altitude: 1. maximum recorded (m),1.12,91,-,-,
6,Altitude: 2. minimum recorded (m),1.13,0,-,-,
7,Altitude: 4. typical minimum (m),1.14,0,-,-,
8,Status,2.01,native,-,-,
9,Dynamics,2.03,declining,-,-,
10,First historical record: 1. date,2.04,1548,-,-,
11,Range: 3. continents where native,2.11,Africa,-,-,
12,Range: 3. continents where native,2.11,Asia,-,-,
13,Range: 3. continents where native,2.11,Europe,-,-,
14,Range: 4. continents where introduced,2.12,Africa,-,-,
15,Range: 4. continents where introduced,2.12,North America,-,-,
16,SN Index,2.13,.96,-,-,
17,EW Index,2.14,5.35,-,-,
18,number of European countries in which native,2.17,30,-,-,
19,Medicinal Use,2.18,scurvy,,,
20,Stems: 1. woodiness,3.01,non-woody,-,-,
21,Stems: 2. support,3.02,twining,-,-,
22,Spread,3.07,height = width,-,-,
23,Heterophylly,3.08,not applicable,no leaves,-,
24,Leaf shape: 1. type,3.09,absent,-,-,
25,Leaf shape: 2. outline,3.1,not applicable,no leaves,-,
26,Leaf shape: 3. pointed/round,3.11,not applicable,no leaves,-,
27,Leaf shape: 4. length versus breadth,3.12,not applicable,no leaves,-,
28,Leaf shape: 5. leaf base,3.13,not applicable,no leaves,-,
29,Leaf shape: 6. petiole,3.14,not applicable,no leaves,-,
30,Leaf shape: 7. minimum petiole length (mm),3.15,not applicable,no leaves,-,
31,Leaf shape: 8. maximum petiole length (mm),3.16,not applicable,no leaves,-,
32,Heavy metal resistance,4.05,none,-,-,
33,Carnivory,4.06,does not kill insects,-,-,
34,Nutrition,4.07,parasitic,-,-,
35,Life-form,5.01,therophyte,-,-,
36,Longevity of stems (yrs),5.02,<1,-,-,
37,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
38,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
39,Flowering time: 1. earliest month,5.07,7,-,-,
40,Flowering time: 2. latest month,5.08,9,-,-,
41,Pollen: 2. diameter (um),5.13,31,-,-,
42,Pollen vector,5.15,insect,-,-,
43,Pollen vector,5.15,selfed,-,-,
44,Dicliny,5.16,hermaphrodite,-,-,
45,Dichogamy,5.17,weakly protandrous,-,-,
46,Fertilization,5.19,cross or automatic self,-,-,
47,Cleistogamy,5.2,some cleistogamous flowers,-,-,
48,Incompatibility systems,5.22,none,-,-,
49,Chromosome number(s): 1. number,5.25,14,,-,
50,Time of seed dispersal (season),5.28,autumn,-,-,
51,Seed weight: 3. mean (mg),5.34,0.307,,,
52,Time of germination (season),5.39,spring,-,-,
53,Normal method of propagation,5.52,seed,-,-,
54,Flower colour,5.58,pink,,,
55,Petal no,5.59,5,,,
56,Stigma number,5.61,5,,,
57,Stamen number,5.62,5,,,
58,Sepal number,5.63,5,,,
59,Carpel/Style number,5.64,1,,,
60,Inflorescence type,5.65,cluster,,"axillary, sessile",
61,Rarity Status,7.02,Present,,,
62,Change Index,7.03,-1.28,,,
63,Biome,7.04,Southern Temperate,,,
64,Eastern Limit,7.05,Euro-Siberian,,,
65,Continentality,7.06,Not continental,,,
66,Northern Limit in Britain,7.07,No,,,
67,"Northern European Limit (Lat,5C band)",7.08,55-60,,,
68,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
69,Southern European Limit,7.1,No,,,
70,January mean temperature,7.11,4.3,,,
71,July mean temperature,7.12,16,,,
72,Annual precipitation,7.13,846,,,
73,Ellenberg Indicator: Light,7.14,7,,,
74,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
75,Ellenberg Indicator: Light,7.14,,,Data calculated for Europe,
76,Ellenberg : Moisture,7.15,4x,,Data calculated for the Czech Republic,
77,Ellenberg : Moisture,7.15,6,,,
78,Ellenberg : Moisture,7.15,,,Data calculated for Europe,
79,Ellenberg: pH,7.16,2,,,
80,Ellenberg: pH,7.16,7x,,Data calculated for the Czech Republic,
81,Ellenberg: pH,7.16,,,Data calculated for Europe,
82,Ellenberg Indicator: Nitrogen,7.17,2,,,
83,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for Europe,
84,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for the Czech Republic,
85,Ellenberg Indicator: Salt,7.18,0,,,
86,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
87,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
88,Life Form: normal state,7.19,Therophyte,,,
89,Clonality: normal state,7.21,Far creeping stolons in illuminated medium,,,
90,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
91,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
92,Ellenberg: Continetality,7.24,5,,Data calculated for Europe,
